"drug";"target"
"D00107";"hsa:2280"
"D00780";"hsa:3350"
"D00563";"hsa:3269"
"D02340";"hsa:1815"
"D00619";"hsa:3767"
"D00501";"hsa:134"
"D02362";"hsa:1129"
"D02253";"hsa:1139"
"D05113";"hsa:4986"
"D00790";"hsa:1129"
"D00619";"hsa:776"
"D00303";"hsa:1128"
"D00631";"hsa:9254"
"D00711";"hsa:1131"
"D01603";"hsa:155"
"D00443";"hsa:774"
"D00538";"hsa:4129"
"D03180";"hsa:1139"
"D00987";"hsa:152"
"D02176";"hsa:4353"
"D00109";"hsa:5562"
"D00228";"hsa:1815"
"D00095";"hsa:146"
"D00303";"hsa:3752"
"D00559";"hsa:3357"
"D00711";"hsa:3356"
"D00563";"hsa:152"
"D02566";"hsa:1813"
"D02340";"hsa:3354"
"D02362";"hsa:1133"
"D03742";"hsa:1139"
"D00387";"hsa:2567"
"D00387";"hsa:2567"
"D00303";"hsa:1129"
"D00095";"hsa:151"
"D00711";"hsa:1132"
"D00416";"hsa:3783"
"D05458";"hsa:4128"
"D00228";"hsa:3351"
"D00228";"hsa:1814"
"D03828";"hsa:1719"
"D00780";"hsa:3351"
"D00542";"hsa:3763"
"D00732";"hsa:6531"
"D00987";"hsa:153"
"D00711";"hsa:3357"
"D00014";"hsa:2878"
"D02340";"hsa:3352"
"D01453";"hsa:5136"
"D00483";"hsa:3350"
"D00563";"hsa:153"
"D04625";"hsa:154"
"D01603";"hsa:154"
"D02362";"hsa:1132"
"D00790";"hsa:1132"
"D00501";"hsa:135"
"D02566";"hsa:1129"
"D04292";"hsa:57053"
"D00678";"hsa:3350"
"D00711";"hsa:1133"
"D00184";"hsa:5478"
"D00415";"hsa:3355"
"D01370";"hsa:6240"
"D00228";"hsa:1813"
"D00780";"hsa:3352"
"D00676";"hsa:3350"
"D00790";"hsa:1133"
"D01565";"hsa:5465"
"D00809";"hsa:3362"
"D00711";"hsa:3358"
"D02272";"hsa:3757"
"D00109";"hsa:3551"
"D01462";"hsa:3352"
"D00014";"hsa:2877"
"D03742";"hsa:1141"
"D00095";"hsa:150"
"D00387";"hsa:2561"
"D00387";"hsa:2561"
"D00456";"hsa:4988"
"D00454";"hsa:3361"
"D02566";"hsa:1131"
"D00448";"hsa:5319"
"D00987";"hsa:151"
"D00882";"hsa:3757"
"D00228";"hsa:1812"
"D01565";"hsa:5468"
"D00228";"hsa:3358"
"D00809";"hsa:3363"
"D00014";"hsa:2880"
"D01462";"hsa:3351"
"D00387";"hsa:2562"
"D00387";"hsa:2562"
"D00816";"hsa:151"
"D00678";"hsa:3360"
"D00593";"hsa:3767"
"D00675";"hsa:3355"
"D00335";"hsa:5468"
"D00014";"hsa:2882"
"D00228";"hsa:3357"
"D00823";"hsa:6532"
"D04034";"hsa:1815"
"D00014";"hsa:2879"
"D00816";"hsa:152"
"D00270";"hsa:3757"
"D02566";"hsa:1128"
"D05156";"hsa:1588"
"D00506";"hsa:2904"
"D00387";"hsa:2563"
"D00387";"hsa:2563"
"D00542";"hsa:2555"
"D00228";"hsa:3356"
"D00903";"hsa:41"
"D00996";"hsa:5053"
"D04034";"hsa:1816"
"D04034";"hsa:1816"
"D01111";"hsa:6833"
"D00349";"hsa:9254"
"D00456";"hsa:3350"
"D00506";"hsa:2903"
"D00387";"hsa:2557"
"D00387";"hsa:2557"
"D00809";"hsa:1128"
"D00740";"hsa:116443"
"D03274";"hsa:6609"
"D00816";"hsa:153"
"D02207";"hsa:43"
"D00542";"hsa:2556"
"D01699";"hsa:1132"
"D00367";"hsa:6532"
"D00377";"hsa:4353"
"D00740";"hsa:3780"
"D00505";"hsa:18"
"D00387";"hsa:2558"
"D00387";"hsa:2558"
"D00809";"hsa:1129"
"D00987";"hsa:150"
"D00542";"hsa:2557"
"D00097";"hsa:1645"
"D00109";"hsa:1909"
"D01699";"hsa:1133"
"D00283";"hsa:152"
"D00809";"hsa:4985"
"D00228";"hsa:3363"
"D00617";"hsa:1133"
"D00169";"hsa:3785"
"D00454";"hsa:59340"
"D00416";"hsa:81033"
"D02357";"hsa:3351"
"D00387";"hsa:2559"
"D00387";"hsa:2559"
"D00615";"hsa:774"
"D00809";"hsa:1131"
"D01453";"hsa:5158"
"D02566";"hsa:1132"
"D01269";"hsa:1129"
"D00120";"hsa:5595"
"D01370";"hsa:50484"
"D01164";"hsa:151"
"D00542";"hsa:2558"
"D00882";"hsa:3783"
"D00994";"hsa:590"
"D00228";"hsa:3362"
"D00559";"hsa:150"
"D01253";"hsa:2566"
"D00066";"hsa:4306"
"D00812";"hsa:1813"
"D00563";"hsa:6532"
"D00387";"hsa:2560"
"D00387";"hsa:2560"
"D00809";"hsa:1132"
"D00454";"hsa:3363"
"D01269";"hsa:1131"
"D00474";"hsa:55879"
"D02566";"hsa:1133"
"D00809";"hsa:3351"
"D04034";"hsa:1812"
"D04034";"hsa:1812"
"D00816";"hsa:6530"
"D04034";"hsa:146"
"D01164";"hsa:152"
"D01118";"hsa:1129"
"D00563";"hsa:6531"
"D01164";"hsa:3359"
"D04034";"hsa:3363"
"D00615";"hsa:759"
"D01269";"hsa:1132"
"D02914";"hsa:774"
"D00338";"hsa:2570"
"D00809";"hsa:3352"
"D01854";"hsa:5468"
"D04034";"hsa:1813"
"D00394";"hsa:3269"
"D00780";"hsa:1815"
"D01692";"hsa:146"
"D00887";"hsa:1803"
"D05156";"hsa:1141"
"D00387";"hsa:2554"
"D00387";"hsa:2554"
"D00691";"hsa:5150"
"D01448";"hsa:148"
"D01269";"hsa:1133"
"D00740";"hsa:27094"
"D00338";"hsa:2569"
"D02357";"hsa:3355"
"D00454";"hsa:3351"
"D02163";"hsa:1812"
"D01253";"hsa:2567"
"D00780";"hsa:1816"
"D01854";"hsa:6833"
"D04034";"hsa:1814"
"D01462";"hsa:1816"
"D02914";"hsa:6609"
"D00387";"hsa:2555"
"D00387";"hsa:2555"
"D00812";"hsa:1133"
"D03274";"hsa:3358"
"D03274";"hsa:3358"
"D04983";"hsa:635"
"D01453";"hsa:5150"
"D02914";"hsa:783"
"D03742";"hsa:6530"
"D00338";"hsa:2567"
"D00338";"hsa:2567"
"D03274";"hsa:1131"
"D00454";"hsa:3352"
"D00882";"hsa:27345"
"D00394";"hsa:3350"
"D00809";"hsa:147"
"D01603";"hsa:153"
"D00528";"hsa:3708"
"D01462";"hsa:1815"
"D02349";"hsa:43"
"D00594";"hsa:6833"
"D00373";"hsa:3356"
"D00711";"hsa:3351"
"D02173";"hsa:1144"
"D03274";"hsa:3357"
"D00228";"hsa:146"
"D02150";"hsa:5594"
"D00387";"hsa:2556"
"D00387";"hsa:2556"
"D00740";"hsa:27345"
"D00809";"hsa:148"
"D00809";"hsa:3356"
"D00336";"hsa:3767"
"D00336";"hsa:3767"
"D02566";"hsa:3356"
"D00780";"hsa:152"
"D03274";"hsa:1812"
"D03274";"hsa:1812"
"D00394";"hsa:153"
"D03165";"hsa:150"
"D01462";"hsa:1814"
"D02173";"hsa:1140"
"D00711";"hsa:3352"
"D02173";"hsa:1141"
"D02176";"hsa:7498"
"D00904";"hsa:5320"
"D00812";"hsa:1131"
"D03274";"hsa:3356"
"D03274";"hsa:3356"
"D01453";"hsa:5152"
"D00542";"hsa:116443"
"D04034";"hsa:3358"
"D04034";"hsa:3358"
"D00338";"hsa:2566"
"D00338";"hsa:2566"
"D00987";"hsa:154"
"D02357";"hsa:3354"
"D00373";"hsa:1812"
"D00812";"hsa:154"
"D00536";"hsa:2904"
"D00882";"hsa:27094"
"D00711";"hsa:1128"
"D00647";"hsa:3768"
"D00563";"hsa:6530"
"D00711";"hsa:3354"
"D00798";"hsa:147"
"D00640";"hsa:3757"
"D00645";"hsa:476"
"D00812";"hsa:1132"
"D01453";"hsa:5151"
"D00487";"hsa:590"
"D00338";"hsa:2563"
"D00338";"hsa:2563"
"D00338";"hsa:2564"
"D00338";"hsa:2564"
"D00809";"hsa:3358"
"D00045";"hsa:140"
"D00426";"hsa:3352"
"D00536";"hsa:2903"
"D00816";"hsa:6532"
"D00538";"hsa:6331"
"D01462";"hsa:1812"
"D01295";"hsa:1128"
"D00812";"hsa:1128"
"D00711";"hsa:3355"
"D02173";"hsa:1145"
"D03274";"hsa:3363"
"D00338";"hsa:55879"
"D00538";"hsa:6335"
"D02357";"hsa:3350"
"D00338";"hsa:2562"
"D00338";"hsa:2562"
"D00454";"hsa:3357"
"D01122";"hsa:5327"
"D00423";"hsa:3615"
"D04716";"hsa:1136"
"D00120";"hsa:231"
"D01453";"hsa:5146"
"D01295";"hsa:1129"
"D00780";"hsa:151"
"D00228";"hsa:3269"
"D00812";"hsa:1129"
"D00816";"hsa:1131"
"D03274";"hsa:3362"
"D04034";"hsa:3362"
"D00338";"hsa:2561"
"D00338";"hsa:2561"
"D00005";"hsa:51"
"D02357";"hsa:3357"
"D00790";"hsa:3269"
"D00809";"hsa:3269"
"D00454";"hsa:3354"
"D01453";"hsa:5145"
"D00270";"hsa:1815"
"D01692";"hsa:3757"
"D00816";"hsa:1132"
"D00528";"hsa:5150"
"D00790";"hsa:3358"
"D02357";"hsa:3358"
"D00633";"hsa:3363"
"D00274";"hsa:3359"
"D00443";"hsa:367"
"D01295";"hsa:1132"
"D02340";"hsa:150"
"D00559";"hsa:151"
"D02914";"hsa:781"
"D01242";"hsa:1133"
"D00816";"hsa:1133"
"D00816";"hsa:146"
"D02566";"hsa:3358"
"D00300";"hsa:1129"
"D00045";"hsa:134"
"D00338";"hsa:2560"
"D00338";"hsa:2560"
"D00790";"hsa:3357"
"D00987";"hsa:3358"
"D01453";"hsa:472"
"D00812";"hsa:3350"
"D00559";"hsa:152"
"D00373";"hsa:1813"
"D00464";"hsa:2559"
"D00464";"hsa:2559"
"D00483";"hsa:3351"
"D00812";"hsa:146"
"D01295";"hsa:1131"
"D04292";"hsa:1137"
"D01242";"hsa:1132"
"D00798";"hsa:148"
"D00613";"hsa:146"
"D00633";"hsa:3350"
"D00799";"hsa:1813"
"D01164";"hsa:3351"
"D00338";"hsa:2559"
"D00631";"hsa:5136"
"D00416";"hsa:90134"
"D04034";"hsa:3269"
"D01453";"hsa:5142"
"D01453";"hsa:5142"
"D00377";"hsa:5468"
"D00045";"hsa:136"
"D00336";"hsa:10060"
"D00464";"hsa:2560"
"D00464";"hsa:2560"
"D00780";"hsa:146"
"D02253";"hsa:2905"
"D00563";"hsa:3357"
"D04292";"hsa:1138"
"D00617";"hsa:783"
"D02340";"hsa:1129"
"D00338";"hsa:2558"
"D00338";"hsa:2558"
"D00548";"hsa:151"
"D00987";"hsa:3356"
"D02356";"hsa:3767"
"D00274";"hsa:3356"
"D00255";"hsa:3757"
"D00812";"hsa:3269"
"D00633";"hsa:1815"
"D01453";"hsa:5141"
"D03180";"hsa:2891"
"D00464";"hsa:2557"
"D00464";"hsa:2557"
"D00546";"hsa:55879"
"D01295";"hsa:1133"
"D00903";"hsa:240"
"D00045";"hsa:135"
"D04292";"hsa:1139"
"D00465";"hsa:1131"
"D03165";"hsa:3350"
"D02340";"hsa:1128"
"D00338";"hsa:2557"
"D00394";"hsa:150"
"D00987";"hsa:3357"
"D03274";"hsa:1128"
"D00633";"hsa:1814"
"D04292";"hsa:590"
"D04034";"hsa:3350"
"D00464";"hsa:2558"
"D00464";"hsa:2558"
"D01453";"hsa:5144"
"D04034";"hsa:59340"
"D00563";"hsa:154"
"D02110";"hsa:5468"
"D01332";"hsa:8622"
"D00079";"hsa:5733"
"D00809";"hsa:3736"
"D00633";"hsa:1621"
"D04292";"hsa:1140"
"D02253";"hsa:2906"
"D00228";"hsa:3350"
"D00542";"hsa:2903"
"D00506";"hsa:2898"
"D00816";"hsa:1128"
"D00809";"hsa:3785"
"D01242";"hsa:1128"
"D02149";"hsa:5053"
"D02566";"hsa:3363"
"D00338";"hsa:2556"
"D00338";"hsa:2556"
"D00617";"hsa:781"
"D04034";"hsa:147"
"D04034";"hsa:147"
"D00542";"hsa:116444"
"D00812";"hsa:6532"
"D02566";"hsa:146"
"D00633";"hsa:1813"
"D00454";"hsa:3274"
"D00711";"hsa:1813"
"D00319";"hsa:781"
"D01453";"hsa:5143"
"D00464";"hsa:2555"
"D00464";"hsa:2555"
"D02110";"hsa:5465"
"D00228";"hsa:147"
"D00697";"hsa:55879"
"D00615";"hsa:783"
"D04292";"hsa:1141"
"D04034";"hsa:148"
"D04034";"hsa:148"
"D00816";"hsa:1129"
"D00544";"hsa:55879"
"D00338";"hsa:2555"
"D00338";"hsa:2555"
"D00136";"hsa:1812"
"D00270";"hsa:1131"
"D00633";"hsa:1812"
"D00633";"hsa:1812"
"D00454";"hsa:3350"
"D02340";"hsa:152"
"D00950";"hsa:367"
"D01453";"hsa:5137"
"D00542";"hsa:51305"
"D00464";"hsa:2556"
"D00464";"hsa:2556"
"D00544";"hsa:2567"
"D02340";"hsa:151"
"D00809";"hsa:4986"
"D01242";"hsa:1131"
"D04292";"hsa:1144"
"D01453";"hsa:50940"
"D00987";"hsa:3351"
"D00615";"hsa:781"
"D00809";"hsa:4988"
"D04292";"hsa:55584"
"D04292";"hsa:1145"
"D01242";"hsa:1129"
"D00319";"hsa:9254"
"D00397";"hsa:1131"
"D00014";"hsa:2098"
"D00987";"hsa:3352"
"D00816";"hsa:154"
"D00270";"hsa:1128"
"D00617";"hsa:1131"
"D00270";"hsa:59340"
"D00387";"hsa:2569"
"D01453";"hsa:5140"
"D00550";"hsa:2570"
"D00394";"hsa:3356"
"D00711";"hsa:4985"
"D00617";"hsa:1132"
"D02253";"hsa:2898"
"D00324";"hsa:2908"
"D01071";"hsa:2898"
"D00336";"hsa:3764"
"D00319";"hsa:4306"
"D00387";"hsa:2570"
"D02340";"hsa:153"
"D00809";"hsa:4915"
"D00646";"hsa:1132"
"D01453";"hsa:5138"
"D01713";"hsa:3363"
"D00711";"hsa:4986"
"D01603";"hsa:3758"
"D00141";"hsa:5465"
"D00095";"hsa:155"
"D00505";"hsa:84706"
"D00303";"hsa:3751"
"D00394";"hsa:151"
"D02110";"hsa:5320"
"D00617";"hsa:1128"
"D00646";"hsa:1133"
"D00809";"hsa:4914"
"D00882";"hsa:3782"
"D03165";"hsa:1814"
"D00633";"hsa:1816"
"D00633";"hsa:1816"
"D00882";"hsa:3778"
"D00394";"hsa:3358"
"D00691";"hsa:134"
"D00711";"hsa:4988"
"D01253";"hsa:2559"
"D00035";"hsa:5479"
"D00141";"hsa:5468"
"D00105";"hsa:8856"
"D00674";"hsa:3351"
"D00443";"hsa:1585"
"D00617";"hsa:1129"
"D01453";"hsa:135"
"D00319";"hsa:783"
"D03165";"hsa:1815"
"D03274";"hsa:147"
"D03274";"hsa:147"
"D01122";"hsa:5468"
"D00035";"hsa:5478"
"D03274";"hsa:148"
"D03274";"hsa:148"
"D01253";"hsa:2558"
"D00438";"hsa:779"
"D00740";"hsa:6531"
"D00106";"hsa:5739"
"D00228";"hsa:150"
"D00228";"hsa:150"
"D00633";"hsa:6532"
"D02101";"hsa:4986"
"D03165";"hsa:1812"
"D00646";"hsa:1131"
"D01699";"hsa:1128"
"D00499";"hsa:2904"
"D00812";"hsa:3358"
"D02721";"hsa:5142"
"D01242";"hsa:1813"
"D00418";"hsa:5742"
"D00228";"hsa:148"
"D00228";"hsa:148"
"D02253";"hsa:2902"
"D01453";"hsa:134"
"D00549";"hsa:6329"
"D02101";"hsa:4988"
"D00816";"hsa:3358"
"D01692";"hsa:147"
"D00809";"hsa:150"
"D00097";"hsa:5743"
"D01699";"hsa:1129"
"D00732";"hsa:116443"
"D01180";"hsa:2100"
"D00438";"hsa:782"
"D02721";"hsa:5143"
"D00537";"hsa:2563"
"D01253";"hsa:2560"
"D00464";"hsa:2569"
"D00816";"hsa:1813"
"D00416";"hsa:3779"
"D00674";"hsa:3352"
"D00228";"hsa:6531"
"D00228";"hsa:151"
"D00499";"hsa:2906"
"D00740";"hsa:3783"
"D03580";"hsa:4988"
"D00697";"hsa:2564"
"D00694";"hsa:2559"
"D05740";"hsa:3355"
"D02721";"hsa:5144"
"D00426";"hsa:150"
"D00537";"hsa:2564"
"D00464";"hsa:2570"
"D01253";"hsa:2562"
"D00812";"hsa:3356"
"D02910";"hsa:9254"
"D01242";"hsa:148"
"D01462";"hsa:152"
"D00845";"hsa:4985"
"D00336";"hsa:3762"
"D05353";"hsa:495"
"D00697";"hsa:2563"
"D00694";"hsa:2560"
"D00537";"hsa:2561"
"D00765";"hsa:3359"
"D00499";"hsa:2903"
"D03274";"hsa:1816"
"D03274";"hsa:1816"
"D01253";"hsa:2561"
"D03165";"hsa:3352"
"D00816";"hsa:155"
"D00609";"hsa:81033"
"D01462";"hsa:151"
"D02163";"hsa:1813"
"D00987";"hsa:1815"
"D00443";"hsa:6716"
"D00035";"hsa:5033"
"D00499";"hsa:2905"
"D00697";"hsa:2562"
"D00636";"hsa:8912"
"D03580";"hsa:4985"
"D00537";"hsa:2562"
"D00438";"hsa:784"
"D00126";"hsa:1080"
"D01164";"hsa:1815"
"D03274";"hsa:1815"
"D00319";"hsa:8912"
"D01253";"hsa:2564"
"D00809";"hsa:3274"
"D00464";"hsa:2567"
"D00464";"hsa:2567"
"D00691";"hsa:135"
"D00336";"hsa:1374"
"D02321";"hsa:3757"
"D00228";"hsa:59340"
"D03180";"hsa:2898"
"D01364";"hsa:476"
"D00987";"hsa:1816"
"D00987";"hsa:1816"
"D00438";"hsa:785"
"D03580";"hsa:4986"
"D00697";"hsa:2561"
"D00694";"hsa:2561"
"D00882";"hsa:3781"
"D00636";"hsa:153"
"D01164";"hsa:1816"
"D00474";"hsa:2563"
"D00145";"hsa:7298"
"D03274";"hsa:1814"
"D00537";"hsa:2567"
"D00542";"hsa:2562"
"D02910";"hsa:3757"
"D02566";"hsa:147"
"D00809";"hsa:3350"
"D01253";"hsa:2563"
"D00373";"hsa:148"
"D00506";"hsa:2554"
"D00136";"hsa:3356"
"D00036";"hsa:3939"
"D03274";"hsa:146"
"D01180";"hsa:2099"
"D00812";"hsa:147"
"D01242";"hsa:3356"
"D00442";"hsa:6755"
"D00464";"hsa:2564"
"D00464";"hsa:2564"
"D00799";"hsa:148"
"D00740";"hsa:4129"
"D00499";"hsa:2902"
"D00251";"hsa:4048"
"D00619";"hsa:6532"
"D01450";"hsa:5731"
"D00474";"hsa:2562"
"D00694";"hsa:2555"
"D01071";"hsa:2891"
"D00542";"hsa:2563"
"D03274";"hsa:1813"
"D03165";"hsa:3351"
"D00812";"hsa:148"
"D01071";"hsa:2558"
"D01462";"hsa:3350"
"D01164";"hsa:3362"
"D00426";"hsa:3350"
"D00987";"hsa:1814"
"D00464";"hsa:2566"
"D00464";"hsa:2566"
"D00454";"hsa:55879"
"D00740";"hsa:4128"
"D00816";"hsa:3356"
"D00697";"hsa:2567"
"D00506";"hsa:116444"
"D00474";"hsa:2566"
"D00394";"hsa:3352"
"D00951";"hsa:2099"
"D00694";"hsa:2556"
"D00443";"hsa:8913"
"D00542";"hsa:2564"
"D00371";"hsa:134"
"D00537";"hsa:2566"
"D02101";"hsa:4985"
"D01071";"hsa:2559"
"D00126";"hsa:5468"
"D03165";"hsa:3357"
"D02558";"hsa:590"
"D02340";"hsa:59340"
"D01164";"hsa:3363"
"D03165";"hsa:1816"
"D00845";"hsa:4986"
"D00141";"hsa:5320"
"D02721";"hsa:5141"
"D00563";"hsa:3363"
"D00464";"hsa:2562"
"D00464";"hsa:2562"
"D01253";"hsa:55879"
"D00506";"hsa:116443"
"D00903";"hsa:6329"
"D03365";"hsa:1588"
"D00474";"hsa:2564"
"D00694";"hsa:2557"
"D00443";"hsa:8912"
"D00542";"hsa:2566"
"D02086";"hsa:1956"
"D01071";"hsa:2556"
"D03165";"hsa:3358"
"D00373";"hsa:147"
"D00426";"hsa:3269"
"D00987";"hsa:1812"
"D00987";"hsa:1812"
"D00228";"hsa:2564"
"D01071";"hsa:1139"
"D00780";"hsa:148"
"D00464";"hsa:2563"
"D00464";"hsa:2563"
"D00371";"hsa:135"
"D00697";"hsa:2566"
"D00697";"hsa:2566"
"D00228";"hsa:152"
"D00882";"hsa:3780"
"D00798";"hsa:3757"
"D01462";"hsa:3358"
"D01164";"hsa:1812"
"D02335";"hsa:4835"
"D01745";"hsa:1814"
"D00694";"hsa:2558"
"D00537";"hsa:2556"
"D00474";"hsa:2560"
"D00904";"hsa:41"
"D00329";"hsa:2570"
"D00394";"hsa:148"
"D01071";"hsa:2557"
"D00542";"hsa:2559"
"D00697";"hsa:2556"
"D00228";"hsa:2566"
"D01332";"hsa:5151"
"D02362";"hsa:3356"
"D00005";"hsa:5447"
"D00185";"hsa:2100"
"D00394";"hsa:6531"
"D02272";"hsa:3775"
"D00499";"hsa:2898"
"D01462";"hsa:3357"
"D00987";"hsa:146"
"D00394";"hsa:1129"
"D00809";"hsa:3786"
"D00474";"hsa:2559"
"D00474";"hsa:2559"
"D00594";"hsa:5468"
"D00537";"hsa:2557"
"D00542";"hsa:2560"
"D00454";"hsa:152"
"D00609";"hsa:3757"
"D03165";"hsa:3356"
"D00809";"hsa:59340"
"D01253";"hsa:2555"
"D00211";"hsa:1595"
"D00619";"hsa:6331"
"D05461";"hsa:7153"
"D00697";"hsa:2555"
"D00394";"hsa:3359"
"D01164";"hsa:1131"
"D01071";"hsa:1137"
"D00464";"hsa:2561"
"D00464";"hsa:2561"
"D00394";"hsa:1128"
"D00185";"hsa:2099"
"D00791";"hsa:1813"
"D01462";"hsa:3356"
"D00394";"hsa:147"
"D00474";"hsa:2561"
"D00563";"hsa:146"
"D00654";"hsa:771"
"D00095";"hsa:5053"
"D00560";"hsa:3757"
"D00654";"hsa:768"
"D00228";"hsa:2567"
"D00543";"hsa:2560"
"D00499";"hsa:2891"
"D04034";"hsa:3757"
"D04375";"hsa:151"
"D01164";"hsa:1132"
"D00780";"hsa:147"
"D00791";"hsa:1812"
"D00537";"hsa:2555"
"D01453";"hsa:3710"
"D00394";"hsa:1132"
"D00426";"hsa:151"
"D00228";"hsa:3359"
"D00542";"hsa:2561"
"D00704";"hsa:2555"
"D03165";"hsa:3363"
"D00377";"hsa:3551"
"D00549";"hsa:6326"
"D01253";"hsa:2557"
"D00816";"hsa:147"
"D00812";"hsa:151"
"D00649";"hsa:5328"
"D04006";"hsa:5142"
"D02234";"hsa:1129"
"D00711";"hsa:3350"
"D01164";"hsa:1133"
"D00563";"hsa:4986"
"D00619";"hsa:785"
"D00394";"hsa:1131"
"D00426";"hsa:152"
"D00543";"hsa:2743"
"D00537";"hsa:2560"
"D01453";"hsa:8654"
"D03274";"hsa:3757"
"D00474";"hsa:2556"
"D00474";"hsa:2556"
"D00812";"hsa:152"
"D00816";"hsa:148"
"D00619";"hsa:784"
"D02362";"hsa:6530"
"D00697";"hsa:2560"
"D01253";"hsa:2556"
"D00228";"hsa:2561"
"D04006";"hsa:5141"
"D02234";"hsa:1131"
"D00732";"hsa:57053"
"D00443";"hsa:783"
"D03365";"hsa:1137"
"D00169";"hsa:3786"
"D00543";"hsa:2561"
"D01453";"hsa:8622"
"D00474";"hsa:2555"
"D00474";"hsa:2555"
"D02234";"hsa:3356"
"D00697";"hsa:2559"
"D02340";"hsa:6532"
"D00619";"hsa:783"
"D01164";"hsa:3352"
"D03180";"hsa:2560"
"D00228";"hsa:2562"
"D00443";"hsa:782"
"D00335";"hsa:6833"
"D00005";"hsa:4128"
"D00394";"hsa:1133"
"D00651";"hsa:768"
"D02289";"hsa:2908"
"D00443";"hsa:781"
"D00543";"hsa:2562"
"D00537";"hsa:2558"
"D03415";"hsa:3757"
"D00474";"hsa:2558"
"D00474";"hsa:2558"
"D02253";"hsa:2563"
"D00109";"hsa:1645"
"D03365";"hsa:1138"
"D03830";"hsa:786"
"D00619";"hsa:782"
"D00704";"hsa:2558"
"D00283";"hsa:1814"
"D00697";"hsa:2558"
"D00697";"hsa:2558"
"D00228";"hsa:2563"
"D03180";"hsa:2559"
"D01164";"hsa:3354"
"D00631";"hsa:8912"
"D02234";"hsa:1128"
"D03180";"hsa:2557"
"D00809";"hsa:6532"
"D00415";"hsa:3350"
"D00617";"hsa:147"
"D00543";"hsa:2563"
"D00642";"hsa:3775"
"D01825";"hsa:2908"
"D00537";"hsa:2559"
"D00651";"hsa:771"
"D00443";"hsa:785"
"D02253";"hsa:2564"
"D00790";"hsa:1128"
"D00270";"hsa:147"
"D00270";"hsa:147"
"D00474";"hsa:2557"
"D00474";"hsa:2557"
"D00546";"hsa:2561"
"D01108";"hsa:782"
"D00394";"hsa:1812"
"D03365";"hsa:1139"
"D00704";"hsa:2559"
"D00615";"hsa:55799"
"D01332";"hsa:5144"
