"target";"drug"
"hsa:2559";"D01071"
"hsa:6328";"D00537"
"hsa:778";"D00631"
"hsa:6331";"D00552"
"hsa:2100";"D00312"
"hsa:5320";"D00169"
"hsa:2908";"D00690"
"hsa:146";"D00095"
"hsa:55879";"D01253"
"hsa:6326";"D00552"
"hsa:3764";"D00631"
"hsa:30814";"D02341"
"hsa:2556";"D00387"
"hsa:5732";"D00079"
"hsa:6263";"D02347"
"hsa:3768";"D02910"
"hsa:2564";"D02253"
"hsa:2563";"D00506"
"hsa:1129";"D00525"
"hsa:3768";"D00631"
"hsa:3767";"D00418"
"hsa:6326";"D00303"
"hsa:6331";"D00537"
"hsa:148";"D02349"
"hsa:2554";"D00506"
"hsa:155";"D00095"
"hsa:155";"D03490"
"hsa:778";"D00619"
"hsa:6329";"D00533"
"hsa:5322";"D00169"
"hsa:6335";"D00252"
"hsa:1586";"D00351"
"hsa:495";"D05353"
"hsa:5732";"D02725"
"hsa:2100";"D00962"
"hsa:147";"D02910"
"hsa:765";"D02441"
"hsa:55879";"D00387"
"hsa:5137";"D01453"
"hsa:2563";"D00387"
"hsa:8911";"D01243"
"hsa:3350";"D01358"
"hsa:1141";"D02204"
"hsa:134";"D00371"
"hsa:4985";"D00838"
"hsa:1133";"D00525"
"hsa:2560";"D00387"
"hsa:6329";"D05077"
"hsa:81579";"D00169"
"hsa:2554";"D00387"
"hsa:6329";"D06172"
"hsa:6329";"D00733"
"hsa:1141";"D00611"
"hsa:2560";"D02253"
"hsa:8622";"D01453"
"hsa:8913";"D00631"
"hsa:5732";"D01891"
"hsa:2100";"D00554"
"hsa:1131";"D01118"
"hsa:3350";"D01462"
"hsa:6532";"D00367"
"hsa:3359";"D06396"
"hsa:2908";"D00325"
"hsa:146";"D02910"
"hsa:200909";"D04370"
"hsa:8911";"D00631"
"hsa:135";"D01453"
"hsa:6328";"D00533"
"hsa:64600";"D04028"
"hsa:146";"D01386"
"hsa:10846";"D01453"
"hsa:6326";"D00538"
"hsa:1145";"D00765"
"hsa:6334";"D05077"
"hsa:1133";"D00715"
"hsa:170572";"D00456"
"hsa:2100";"D00898"
"hsa:6323";"D00733"
"hsa:2890";"D00537"
"hsa:3352";"D00674"
"hsa:2562";"D00387"
"hsa:6326";"D00553"
"hsa:6334";"D06172"
"hsa:2908";"D00328"
"hsa:148";"D01386"
"hsa:3784";"D00631"
"hsa:1132";"D00232"
"hsa:776";"D01969"
"hsa:2559";"D00464"
"hsa:2560";"D01071"
"hsa:2899";"D00537"
"hsa:170572";"D00563"
"hsa:2562";"D00506"
"hsa:285242";"D00563"
"hsa:2908";"D01367"
"hsa:3352";"D02357"
"hsa:2567";"D01071"
"hsa:377677";"D02441"
"hsa:3358";"D01358"
"hsa:5142";"D01453"
"hsa:50940";"D00528"
"hsa:1132";"D00270"
"hsa:2908";"D01825"
"hsa:775";"D00537"
"hsa:2905";"D05453"
"hsa:6334";"D00537"
"hsa:3762";"D00636"
"hsa:1813";"D03274"
"hsa:3757";"D03037"
"hsa:590";"D02558"
"hsa:3351";"D02357"
"hsa:3351";"D00674"
"hsa:4985";"D05113"
"hsa:6335";"D05077"
"hsa:3356";"D03274"
"hsa:2901";"D00537"
"hsa:1813";"D00373"
"hsa:6833";"D00379"
"hsa:64600";"D00169"
"hsa:3741";"D00631"
"hsa:3751";"D00730"
"hsa:1813";"D00633"
"hsa:779";"D00631"
"hsa:2908";"D02289"
"hsa:2908";"D00324"
"hsa:147";"D03415"
"hsa:3356";"D04034"
"hsa:1813";"D04034"
"hsa:3357";"D00270"
"hsa:81033";"D00638"
"hsa:55879";"D00506"
"hsa:1813";"D00798"
"hsa:64600";"D02341"
"hsa:6833";"D00594"
"hsa:3767";"D00631"
"hsa:6323";"D00552"
"hsa:6530";"D00809"
"hsa:50487";"D02341"
"hsa:6532";"D00823"
"hsa:1133";"D00397"
"hsa:4986";"D00498"
"hsa:147";"D00636"
"hsa:776";"D00619"
"hsa:5143";"D01453"
"hsa:2100";"D00185"
"hsa:1132";"D00715"
"hsa:2556";"D01071"
"hsa:6530";"D00812"
"hsa:6335";"D00537"
"hsa:6326";"D00733"
"hsa:146";"D02349"
"hsa:1133";"D00232"
"hsa:1133";"D00524"
"hsa:1129";"D01118"
"hsa:1813";"D00791"
"hsa:6335";"D06172"
"hsa:1132";"D01103"
"hsa:2560";"D00464"
"hsa:134";"D02769"
"hsa:148";"D00560"
"hsa:6833";"D00335"
"hsa:4988";"D03580"
"hsa:154";"D02349"
"hsa:6530";"D00816"
"hsa:1131";"D03274"
"hsa:5151";"D01453"
"hsa:6323";"D00303"
"hsa:11238";"D02441"
"hsa:2555";"D06106"
"hsa:1129";"D04034"
"hsa:134";"D00045"
"hsa:6332";"D01243"
"hsa:90134";"D00638"
"hsa:6262";"D02347"
"hsa:1140";"D00765"
"hsa:135";"D00371"
"hsa:2893";"D00537"
"hsa:2904";"D05453"
"hsa:2567";"D00387"
"hsa:2566";"D00387"
"hsa:1140";"D00759"
"hsa:1132";"D00779"
"hsa:134";"D04006"
"hsa:1131";"D04034"
"hsa:6329";"D00110"
"hsa:3767";"D00380"
"hsa:1133";"D00270"
"hsa:153";"D00636"
"hsa:50487";"D00169"
"hsa:776";"D03830"
"hsa:2561";"D06106"
"hsa:3350";"D00674"
"hsa:6532";"D00816"
"hsa:55879";"D00464"
"hsa:1140";"D00760"
"hsa:2564";"D01071"
"hsa:135";"D02017"
"hsa:2556";"D06106"
"hsa:3358";"D00270"
"hsa:2557";"D00506"
"hsa:2562";"D02253"
"hsa:2561";"D02253"
"hsa:3350";"D02357"
"hsa:1813";"D02163"
"hsa:3360";"D02092"
"hsa:1814";"D00633"
"hsa:153";"D00640"
"hsa:6326";"D05077"
"hsa:1132";"D01118"
"hsa:26279";"D04028"
"hsa:2561";"D00387"
"hsa:136";"D01453"
"hsa:1813";"D00799"
"hsa:776";"D00616"
"hsa:1815";"D00059"
"hsa:3358";"D02357"
"hsa:5141";"D01453"
"hsa:5739";"D00106"
"hsa:1813";"D02729"
"hsa:1133";"D01103"
"hsa:5150";"D01453"
