"drug";"target"
"D00543";"hsa:2567"
"D01453";"hsa:5141"
"D00812";"hsa:1557"
"D00810";"hsa:4353"
"D00279";"hsa:1580"
"D00326";"hsa:3356"
"D00358";"hsa:6332"
"D02409";"hsa:1267"
"D00354";"hsa:6263"
"D00524";"hsa:783"
"D00279";"hsa:1549"
"D00711";"hsa:2567"
"D00418";"hsa:3785"
"D01256";"hsa:2893"
"D00483";"hsa:113"
"D02461";"hsa:5310"
"D00295";"hsa:111"
"D02356";"hsa:4048"
"D00279";"hsa:1576"
"D00506";"hsa:2936"
"D00535";"hsa:6529"
"D00711";"hsa:4986"
"D00319";"hsa:9420"
"D00998";"hsa:4593"
"D00354";"hsa:6262"
"D00279";"hsa:6646"
"D00217";"hsa:2876"
"D00542";"hsa:2559"
"D01453";"hsa:781"
"D01358";"hsa:154"
"D00711";"hsa:2566"
"D00217";"hsa:586"
"D00524";"hsa:782"
"D01358";"hsa:3358"
"D00418";"hsa:3784"
"D00827";"hsa:4353"
"D01256";"hsa:2895"
"D01453";"hsa:5143"
"D00524";"hsa:781"
"D01453";"hsa:27092"
"D00281";"hsa:3350"
"D02409";"hsa:5140"
"D00279";"hsa:1577"
"D00295";"hsa:112"
"D00506";"hsa:55879"
"D03879";"hsa:111"
"D00319";"hsa:260293"
"D00711";"hsa:4985"
"D00711";"hsa:55584"
"D02356";"hsa:57053"
"D00418";"hsa:3752"
"D00542";"hsa:2560"
"D03991";"hsa:6336"
"D00326";"hsa:2908"
"D01390";"hsa:114"
"D04034";"hsa:84695"
"D00136";"hsa:148"
"D01453";"hsa:5137"
"D00418";"hsa:3783"
"D00217";"hsa:587"
"D00281";"hsa:3351"
"D01453";"hsa:5138"
"D00810";"hsa:4881"
"D02409";"hsa:5141"
"D00524";"hsa:779"
"D03879";"hsa:112"
"D00798";"hsa:1814"
"D00354";"hsa:6261"
"D00566";"hsa:4881"
"D00506";"hsa:2098"
"D01390";"hsa:1181"
"D00711";"hsa:55879"
"D02066";"hsa:10161"
"D03879";"hsa:109"
"D01390";"hsa:113"
"D00281";"hsa:107"
"D00418";"hsa:3736"
"D01390";"hsa:115"
"D01453";"hsa:5030"
"D03991";"hsa:6338"
"D00711";"hsa:2569"
"D02066";"hsa:786"
"D01453";"hsa:776"
"D00619";"hsa:10369"
"D02409";"hsa:5138"
"D02418";"hsa:8288"
"D02110";"hsa:5733"
"D00711";"hsa:4988"
"D03880";"hsa:115"
"D00509";"hsa:113"
"D00528";"hsa:8989"
"D00631";"hsa:6324"
"D00512";"hsa:1553"
"D01256";"hsa:2899"
"D00740";"hsa:8989"
"D03274";"hsa:4128"
"D00332";"hsa:2555"
"D02066";"hsa:1181"
"D03880";"hsa:114"
"D01453";"hsa:5140"
"D00136";"hsa:2916"
"D04985";"hsa:2556"
"D00354";"hsa:59284"
"D00683";"hsa:153"
"D00798";"hsa:1816"
"D00566";"hsa:1432"
"D00279";"hsa:1558"
"D00542";"hsa:2556"
"D00524";"hsa:6261"
"D01969";"hsa:774"
"D00528";"hsa:8913"
"D00136";"hsa:147"
"D02092";"hsa:3360"
"D00354";"hsa:10369"
"D00688";"hsa:155"
"D00619";"hsa:4593"
"D00509";"hsa:22954"
"D00281";"hsa:3355"
"D00998";"hsa:55584"
"D00136";"hsa:2917"
"D02409";"hsa:4051"
"D00528";"hsa:7155"
"D00326";"hsa:3358"
"D02066";"hsa:783"
"D00279";"hsa:1559"
"D00528";"hsa:8973"
"D00619";"hsa:109"
"D01453";"hsa:5028"
"D00639";"hsa:1544"
"D00827";"hsa:3551"
"D00711";"hsa:2564"
"D00619";"hsa:111"
"D00536";"hsa:2918"
"D00358";"hsa:6338"
"D02418";"hsa:5743"
"D00631";"hsa:6262"
"D00235";"hsa:196883"
"D02461";"hsa:3359"
"D02409";"hsa:5137"
"D00136";"hsa:2914"
"D00319";"hsa:1595"
"D00387";"hsa:2555"
"D01453";"hsa:64805"
"D00542";"hsa:2557"
"D00279";"hsa:1555"
"D00524";"hsa:59284"
"D00136";"hsa:111"
"D00483";"hsa:112"
"D02409";"hsa:51302"
"D00524";"hsa:5332"
"D00354";"hsa:55503"
"D00740";"hsa:8913"
"D02356";"hsa:107"
"D00740";"hsa:3359"
"D00418";"hsa:54207"
"D00358";"hsa:6339"
"D00281";"hsa:108"
