drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00002;hsa8854;0.280257;0;0;0;0 
D00002;hsa219;0.260228;0;0;0;0 
D00002;hsa3614;0.255083;0;0;0;0 
D00002;hsa223;0.097245;0;0;0;0 
D00002;hsa1610;0.091382;0;0;0;0 
D00002;hsa51181;0.090988;0;0;0;0 
D00002;hsa10901;0.090104;0;0;0;0 
D00002;hsa1429;0.089452;0;0;0;0 
D00002;hsa7498;0.087759;0;0;0;0 
D00002;hsa1728;0.085884;0;0;0;0 
D00005;hsa36;0.246608;0;0;0;0 
D00005;hsa4128;0.228247;1;0;1;0 
D00005;hsa2328;0.166698;0;0;0;0 
D00005;hsa107;0.151194;0;0;0;0 
D00005;hsa217;0.086297;0;0;0;0 
D00005;hsa645;0.086202;0;0;0;0 
D00005;hsa55312;0.086202;0;0;0;0 
D00005;hsa64802;0.085565;0;0;0;0 
D00005;hsa6652;0.085565;0;0;0;0 
D00005;hsa124;0.085565;0;0;0;0 
D00007;hsa32;0.211440;0;0;0;0 
D00007;hsa18;0.105312;0;0;0;0 
D00007;hsa55;0.079992;0;0;0;0 
D00007;hsa54;0.079992;0;0;0;0 
D00007;hsa53;0.079992;0;0;0;0 
D00007;hsa52;0.079992;0;0;0;0 
D00007;hsa51205;0.079992;0;0;0;0 
D00007;hsa93650;0.079992;0;0;0;0 
D00007;hsa4552;0.073229;0;0;0;0 
D00007;hsa4548;0.073229;0;0;0;0 
D00014;hsa1636;0.180966;0;0;0;0 
D00014;hsa5972;0.053506;0;0;0;0 
D00014;hsa7299;0.049044;0;0;0;0 
D00014;hsa6716;0.049044;0;0;0;0 
D00014;hsa11330;0.044055;0;0;0;0 
D00014;hsa1504;0.044055;0;0;0;0 
D00014;hsa4759;0.043638;0;0;0;0 
D00014;hsa10825;0.043638;0;0;0;0 
D00014;hsa129807;0.043638;0;0;0;0 
D00014;hsa4758;0.043638;0;0;0;0 
D00018;hsa2548;0.087141;0;0;0;0 
D00018;hsa2595;0.087141;0;0;0;0 
D00018;hsa8972;0.087141;0;0;0;0 
D00018;hsa4128;0.063020;0;0;0;0 
D00018;hsa279;0.052988;0;0;0;0 
D00018;hsa4129;0.046885;0;0;0;0 
D00018;hsa116447;0.037475;0;0;0;0 
D00018;hsa8940;0.037475;0;0;0;0 
D00018;hsa7150;0.037475;0;0;0;0 
D00018;hsa7156;0.037475;0;0;0;0 
D00021;hsa5742;0.298461;0;0;0;0 
D00021;hsa5743;0.252098;0;0;0;0 
D00021;hsa4129;0.204867;0;0;0;0 
D00021;hsa4128;0.143957;0;0;0;0 
D00021;hsa240;0.105779;0;0;0;0 
D00021;hsa4048;0.086648;0;0;0;0 
D00021;hsa242;0.086648;0;0;0;0 
D00021;hsa239;0.086648;0;0;0;0 
D00021;hsa3067;0.084785;0;0;0;0 
D00021;hsa3034;0.084785;0;0;0;0 
D00027;hsa32;0.210624;0;0;0;0 
D00027;hsa7298;0.171204;0;0;0;0 
D00027;hsa7084;0.159826;0;0;0;0 
D00027;hsa7083;0.159826;0;0;0;0 
D00027;hsa151531;0.159826;0;0;0;0 
D00027;hsa7378;0.159826;0;0;0;0 
D00027;hsa7372;0.159826;0;0;0;0 
D00027;hsa1733;0.128701;0;0;0;0 
D00027;hsa1734;0.128701;0;0;0;0 
D00027;hsa1735;0.128701;0;0;0;0 
D00029;hsa231;0.141068;0;0;0;0 
D00029;hsa1636;0.069786;0;0;0;0 
D00029;hsa51601;0.066916;0;0;0;0 
D00029;hsa3156;0.051739;0;0;0;0 
D00029;hsa10825;0.045947;0;0;0;0 
D00029;hsa4758;0.045947;0;0;0;0 
D00029;hsa129807;0.045947;0;0;0;0 
D00029;hsa4759;0.045947;0;0;0;0 
D00029;hsa2548;0.044774;0;0;0;0 
D00029;hsa2595;0.044774;0;0;0;0 
D00032;hsa7054;0.115560;0;0;0;0 
D00032;hsa4129;0.108532;0;0;0;0 
D00032;hsa5742;0.106833;0;0;0;0 
D00032;hsa4128;0.092222;0;0;0;0 
D00032;hsa5743;0.087937;0;0;0;0 
D00032;hsa2193;0.084785;0;0;0;0 
D00032;hsa5053;0.084785;0;0;0;0 
D00032;hsa10667;0.084785;0;0;0;0 
D00032;hsa10056;0.084785;0;0;0;0 
D00032;hsa6898;0.083739;0;0;0;0 
D00035;hsa1636;0.121540;0;0;0;0 
D00035;hsa1553;0.078705;0;0;0;0 
D00035;hsa1549;0.076817;0;0;0;0 
D00035;hsa5742;0.074201;0;0;0;0 
D00035;hsa5743;0.061080;0;0;0;0 
D00035;hsa586;0.059904;0;0;0;0 
D00035;hsa18;0.057497;0;0;0;0 
D00035;hsa5328;0.053863;0;0;0;0 
D00035;hsa5340;0.053863;0;0;0;0 
D00035;hsa587;0.049146;0;0;0;0 
D00036;hsa4129;0.193790;0;0;0;0 
D00036;hsa4128;0.152224;0;0;0;0 
D00036;hsa1549;0.085896;0;0;0;0 
D00036;hsa4837;0.083397;0;0;0;0 
D00036;hsa23475;0.083397;0;0;0;0 
D00036;hsa51181;0.082346;0;0;0;0 
D00036;hsa1553;0.079135;0;0;0;0 
D00036;hsa1557;0.069318;0;0;0;0 
D00036;hsa3290;0.063024;0;0;0;0 
D00036;hsa3291;0.063024;0;0;0;0 
D00037;hsa57016;0.183743;0;0;0;0 
D00037;hsa1645;0.096346;0;0;0;0 
D00037;hsa10327;0.095483;0;0;0;0 
D00037;hsa4311;0.091905;0;0;0;0 
D00037;hsa3416;0.091905;0;0;0;0 
D00037;hsa1363;0.091905;0;0;0;0 
D00037;hsa50940;0.066270;0;0;0;0 
D00037;hsa51205;0.054885;0;0;0;0 
D00037;hsa52;0.054885;0;0;0;0 
D00037;hsa53;0.054885;0;0;0;0 
D00038;hsa5742;0.334763;0;0;0;0 
D00038;hsa5743;0.237679;0;0;0;0 
D00038;hsa4837;0.156441;0;0;0;0 
D00038;hsa23475;0.156441;0;0;0;0 
D00038;hsa240;0.138612;0;0;0;0 
D00038;hsa242;0.129642;0;0;0;0 
D00038;hsa4048;0.129642;0;0;0;0 
D00038;hsa239;0.129642;0;0;0;0 
D00038;hsa247;0.121718;0;0;0;0 
D00038;hsa4129;0.119552;0;0;0;0 
D00039;hsa587;0.158040;0;0;0;0 
D00039;hsa6897;0.146277;0;0;0;0 
D00039;hsa834;0.110953;0;0;0;0 
D00039;hsa36;0.086617;0;0;0;0 
D00039;hsa3376;0.086617;0;0;0;0 
D00039;hsa38;0.082781;0;0;0;0 
D00039;hsa56922;0.081947;0;0;0;0 
D00039;hsa35;0.058950;0;0;0;0 
D00039;hsa64087;0.058617;0;0;0;0 
D00039;hsa34;0.053616;0;0;0;0 
D00041;hsa586;0.270180;0;0;0;0 
D00041;hsa10295;0.256091;0;0;0;0 
D00041;hsa57176;0.146277;0;0;0;0 
D00041;hsa4329;0.146277;0;0;0;0 
D00041;hsa27034;0.145553;0;0;0;0 
D00041;hsa587;0.123903;0;0;0;0 
D00041;hsa38;0.116426;0;0;0;0 
D00041;hsa3376;0.109815;0;0;0;0 
D00041;hsa36;0.109815;0;0;0;0 
D00041;hsa5742;0.103713;0;0;0;0 
D00043;hsa1504;0.459333;0;0;0;0 
D00043;hsa1990;0.434180;1;0;0;1 
D00043;hsa11330;0.421444;1;0;0;1 
D00043;hsa5624;0.346256;0;0;0;0 
D00043;hsa1991;0.313853;1;0;0;1 
D00043;hsa2147;0.241242;1;0;0;1 
D00043;hsa5169;0.135697;0;0;0;0 
D00043;hsa1056;0.101950;0;0;0;0 
D00043;hsa5168;0.101447;0;0;0;0 
D00043;hsa1571;0.072193;0;0;0;0 
D00045;hsa4860;0.242412;0;0;0;0 
D00045;hsa132;0.173410;0;0;0;0 
D00045;hsa5837;0.102356;0;0;0;0 
D00045;hsa5836;0.102356;0;0;0;0 
D00045;hsa353;0.102356;0;0;0;0 
D00045;hsa5834;0.102356;0;0;0;0 
D00045;hsa55902;0.102356;0;0;0;0 
D00045;hsa5562;0.102356;0;0;0;0 
D00045;hsa2180;0.102356;0;0;0;0 
D00045;hsa84532;0.102356;0;0;0;0 
D00049;hsa1610;0.160887;0;0;0;0 
D00049;hsa25824;0.147438;0;0;0;0 
D00049;hsa240;0.107165;0;0;0;0 
D00049;hsa4129;0.092263;0;0;0;0 
D00049;hsa683;0.083397;0;0;0;0 
D00049;hsa4128;0.082581;0;0;0;0 
D00049;hsa1549;0.081995;0;0;0;0 
D00049;hsa1553;0.080534;0;0;0;0 
D00049;hsa5742;0.071283;0;0;0;0 
D00049;hsa231;0.063195;0;0;0;0 
D00050;hsa5136;0.164967;0;0;0;0 
D00050;hsa5141;0.164967;0;0;0;0 
D00050;hsa8622;0.164967;0;0;0;0 
D00050;hsa5151;0.164967;0;0;0;0 
D00050;hsa5149;0.164967;0;0;0;0 
D00050;hsa5147;0.164967;0;0;0;0 
D00050;hsa5144;0.164967;0;0;0;0 
D00050;hsa5143;0.164967;0;0;0;0 
D00050;hsa5142;0.164967;0;0;0;0 
D00050;hsa5148;0.164967;0;0;0;0 
D00052;hsa8654;0.110962;0;0;0;0 
D00052;hsa231;0.108256;0;0;0;0 
D00052;hsa100;0.092044;0;0;0;0 
D00052;hsa9955;0.091905;0;0;0;0 
D00052;hsa1360;0.091905;0;0;0;0 
D00052;hsa1431;0.091905;0;0;0;0 
D00052;hsa4191;0.091905;0;0;0;0 
D00052;hsa50;0.091905;0;0;0;0 
D00052;hsa635;0.091905;0;0;0;0 
D00052;hsa7371;0.091905;0;0;0;0 
D00054;hsa107;0.214152;0;0;0;0 
D00054;hsa30;0.160032;0;0;0;0 
D00054;hsa132;0.117249;0;0;0;0 
D00054;hsa27115;0.080464;0;0;0;0 
D00054;hsa5140;0.078713;0;0;0;0 
D00054;hsa5151;0.078713;0;0;0;0 
D00054;hsa5137;0.078713;0;0;0;0 
D00054;hsa5142;0.078713;0;0;0;0 
D00054;hsa5143;0.078713;0;0;0;0 
D00054;hsa5144;0.078713;0;0;0;0 
D00055;hsa1806;0.171909;0;0;0;0 
D00055;hsa31;0.126335;0;0;0;0 
D00055;hsa5742;0.107865;0;0;0;0 
D00055;hsa5743;0.102834;0;0;0;0 
D00055;hsa8654;0.094230;0;0;0;0 
D00055;hsa5144;0.093323;0;0;0;0 
D00055;hsa8622;0.093323;0;0;0;0 
D00055;hsa10846;0.093323;0;0;0;0 
D00055;hsa5136;0.093323;0;0;0;0 
D00055;hsa5147;0.093323;0;0;0;0 
D00065;hsa6897;0.109815;0;0;0;0 
D00065;hsa57176;0.086617;0;0;0;0 
D00065;hsa4329;0.086617;0;0;0;0 
D00065;hsa834;0.085980;0;0;0;0 
D00065;hsa56922;0.083398;0;0;0;0 
D00065;hsa27034;0.082504;0;0;0;0 
D00065;hsa4548;0.081859;0;0;0;0 
D00065;hsa4552;0.081859;0;0;0;0 
