drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00049;hsa8843;0.277361;1;0;1;0 
D00049;hsa150;0.076796;0;0;0;0 
D00049;hsa3577;0.049405;0;0;0;0 
D00049;hsa1128;0.047695;0;0;0;0 
D00049;hsa152;0.043487;0;0;0;0 
D00049;hsa2918;0.043144;0;0;0;0 
D00049;hsa2550;0.036577;0;0;0;0 
D00049;hsa222545;0.036015;0;0;0;0 
D00049;hsa2913;0.031704;0;0;0;0 
D00049;hsa2912;0.031704;0;0;0;0 
D00059;hsa153;0.205275;0;0;0;0 
D00059;hsa154;0.194815;0;0;0;0 
D00059;hsa148;0.165008;0;0;0;0 
D00059;hsa150;0.131787;0;0;0;0 
D00059;hsa1816;0.119217;1;1;1;0 
D00059;hsa146;0.116811;0;0;0;0 
D00059;hsa147;0.116520;0;0;0;0 
D00059;hsa151;0.107893;0;0;0;0 
D00059;hsa155;0.105151;0;0;0;0 
D00059;hsa1814;0.099515;1;1;1;0 
D00079;hsa5731;0.323761;1;0;1;0 
D00079;hsa5732;0.235564;1;1;1;0 
D00079;hsa5733;0.146072;1;0;1;0 
D00079;hsa5737;0.107673;0;0;0;0 
D00079;hsa64805;0.097560;0;0;0;0 
D00079;hsa5729;0.059748;0;0;0;0 
D00079;hsa6915;0.027626;0;0;0;0 
D00079;hsa222545;0.024327;0;0;0;0 
D00079;hsa6010;0.023665;0;0;0;0 
D00079;hsa9052;0.023115;0;0;0;0 
D00094;hsa150;0.128841;0;0;0;0 
D00094;hsa3269;0.081364;0;0;0;0 
D00094;hsa146;0.069919;0;0;0;0 
D00094;hsa147;0.066083;0;0;0;0 
D00094;hsa151;0.063859;0;0;0;0 
D00094;hsa152;0.062110;0;0;0;0 
D00094;hsa5739;0.060199;0;0;0;0 
D00094;hsa148;0.059168;0;0;0;0 
D00094;hsa134;0.053682;0;0;0;0 
D00094;hsa3577;0.049805;0;0;0;0 
D00095;hsa155;0.440812;1;1;1;0 
D00095;hsa150;0.341315;1;1;1;0 
D00095;hsa151;0.304746;1;1;1;0 
D00095;hsa152;0.276397;1;1;1;0 
D00095;hsa147;0.272305;1;1;1;0 
D00095;hsa146;0.267585;1;1;1;0 
D00095;hsa1812;0.066893;0;0;0;0 
D00095;hsa3274;0.054484;0;0;0;0 
D00095;hsa3356;0.050081;0;0;0;0 
D00095;hsa3360;0.049639;0;0;0;0 
D00106;hsa5739;0.374565;1;1;1;0 
D00106;hsa5731;0.264481;0;0;0;0 
D00106;hsa9934;0.099403;0;0;0;0 
D00106;hsa5732;0.096823;0;0;0;0 
D00106;hsa5737;0.093302;0;0;0;0 
D00106;hsa5733;0.034811;0;0;0;0 
D00106;hsa1129;0.030412;0;0;0;0 
D00106;hsa222545;0.029915;0;0;0;0 
D00106;hsa5724;0.028723;0;0;0;0 
D00106;hsa57105;0.022318;0;0;0;0 
D00110;hsa1128;0.324690;1;0;1;0 
D00110;hsa1129;0.272261;1;0;1;0 
D00110;hsa1131;0.190650;0;0;0;0 
D00110;hsa1133;0.158214;0;0;0;0 
D00110;hsa1132;0.152913;0;0;0;0 
D00110;hsa1816;0.122359;0;0;0;0 
D00110;hsa3577;0.107402;0;0;0;0 
D00110;hsa4988;0.101667;0;0;0;0 
D00110;hsa4985;0.096868;0;0;0;0 
D00110;hsa1813;0.095738;0;0;0;0 
D00113;hsa4986;0.117964;0;0;0;0 
D00113;hsa3269;0.093141;0;0;0;0 
D00113;hsa11255;0.090851;0;0;0;0 
D00113;hsa4988;0.087348;0;0;0;0 
D00113;hsa1812;0.072157;0;0;0;0 
D00113;hsa1814;0.064571;0;0;0;0 
D00113;hsa3350;0.048659;0;0;0;0 
D00113;hsa1813;0.043575;0;0;0;0 
D00113;hsa59340;0.038392;0;0;0;0 
D00113;hsa151;0.034263;0;0;0;0 
D00136;hsa1129;0.200530;0;0;0;0 
D00136;hsa152;0.197745;0;0;0;0 
D00136;hsa148;0.171547;1;0;0;1 
D00136;hsa1128;0.160103;0;0;0;0 
D00136;hsa1812;0.159331;1;0;1;0 
D00136;hsa146;0.145994;1;0;0;1 
D00136;hsa147;0.138809;1;0;0;1 
D00136;hsa3356;0.137891;1;0;1;0 
D00136;hsa1815;0.126583;0;0;0;0 
D00136;hsa3350;0.110958;0;0;0;0 
D00139;hsa150;0.130569;0;0;0;0 
D00139;hsa148;0.121780;0;0;0;0 
D00139;hsa151;0.111171;0;0;0;0 
D00139;hsa1812;0.110526;0;0;0;0 
D00139;hsa146;0.101768;0;0;0;0 
D00139;hsa147;0.099335;0;0;0;0 
D00139;hsa3269;0.098615;0;0;0;0 
D00139;hsa1813;0.076658;0;0;0;0 
D00139;hsa152;0.071760;0;0;0;0 
D00139;hsa3356;0.070113;0;0;0;0 
D00180;hsa5729;0.155128;0;0;0;0 
D00180;hsa5733;0.145969;0;0;0;0 
D00180;hsa5737;0.097760;0;0;0;0 
D00180;hsa6915;0.097758;0;0;0;0 
D00180;hsa64805;0.076177;0;0;0;0 
D00180;hsa6010;0.067933;0;0;0;0 
D00180;hsa554;0.036416;0;0;0;0 
D00180;hsa222545;0.021655;0;0;0;0 
D00180;hsa155;0.018516;0;0;0;0 
D00180;hsa185;0.017767;0;0;0;0 
D00225;hsa3269;0.160464;0;0;0;0 
D00225;hsa148;0.128838;0;0;0;0 
D00225;hsa146;0.126391;0;0;0;0 
D00225;hsa147;0.118288;0;0;0;0 
D00225;hsa3356;0.110060;0;0;0;0 
D00225;hsa151;0.102795;0;0;0;0 
D00225;hsa1812;0.090938;0;0;0;0 
D00225;hsa150;0.085571;0;0;0;0 
D00225;hsa1813;0.080089;0;0;0;0 
D00225;hsa1816;0.075669;0;0;0;0 
D00227;hsa136;0.225451;0;0;0;0 
D00227;hsa3269;0.068558;0;0;0;0 
D00227;hsa3577;0.058022;0;0;0;0 
D00227;hsa1813;0.057458;0;0;0;0 
D00227;hsa3356;0.055585;0;0;0;0 
D00227;hsa10800;0.041840;0;0;0;0 
D00227;hsa3360;0.037484;0;0;0;0 
D00227;hsa3274;0.035696;0;0;0;0 
D00227;hsa5729;0.034922;0;0;0;0 
D00227;hsa57105;0.034519;0;0;0;0 
D00232;hsa1132;0.221135;1;1;0;0 
D00232;hsa1133;0.212663;1;1;0;0 
D00232;hsa1814;0.076181;0;0;0;0 
D00232;hsa8843;0.073406;0;0;0;0 
D00232;hsa11255;0.058392;0;0;0;0 
D00232;hsa5732;0.056932;0;0;0;0 
D00232;hsa153;0.055194;0;0;0;0 
D00232;hsa3269;0.053571;0;0;0;0 
D00232;hsa1813;0.047178;0;0;0;0 
D00232;hsa222545;0.041035;0;0;0;0 
D00234;hsa1813;0.211190;0;0;0;0 
D00234;hsa1814;0.200670;0;0;0;0 
D00234;hsa1816;0.179661;0;0;0;0 
D00234;hsa1812;0.165506;0;0;0;0 
D00234;hsa3356;0.116150;0;0;0;0 
D00234;hsa146;0.102625;0;0;0;0 
