drug;hits;possible_hits;ndcg;recall;total_known_targets
D00035;0;0;nan;nan;0 
D00110;4;7;0.445359;0.571429;7 
D00136;0;10;0.000000;0.000000;10 
D00195;0;0;nan;nan;0 
D00219;1;1;0.630930;1.000000;1 
D00225;0;0;nan;nan;0 
D00227;0;0;nan;nan;0 
D00228;1;10;0.220092;0.062500;16 
D00234;0;0;nan;nan;0 
D00252;4;4;1.000000;1.000000;4 
D00274;0;1;0.000000;0.000000;1 
D00283;0;0;nan;nan;0 
D00293;0;0;nan;nan;0 
D00294;1;1;0.500000;1.000000;1 
D00303;4;6;0.775148;0.666667;6 
D00319;9;10;0.779908;0.391304;23 
D00326;0;1;0.000000;0.000000;1 
D00329;1;1;1.000000;1.000000;1 
D00331;0;0;nan;nan;0 
D00332;1;10;0.069431;0.047619;21 
D00335;1;1;1.000000;1.000000;1 
D00336;2;4;0.636682;0.500000;4 
D00338;9;10;0.921602;0.600000;15 
D00340;0;0;nan;nan;0 
D00345;0;0;nan;nan;0 
D00349;1;1;0.500000;1.000000;1 
D00351;0;0;nan;nan;0 
D00354;6;10;0.631624;0.162162;37 
D00358;1;9;0.148297;0.111111;9 
D00364;0;0;nan;nan;0 
D00367;1;1;1.000000;1.000000;1 
D00373;0;1;0.000000;0.000000;1 
D00379;1;1;0.630930;1.000000;1 
D00380;1;1;1.000000;1.000000;1 
D00392;0;0;nan;nan;0 
D00394;2;2;0.564092;1.000000;2 
D00418;0;10;0.000000;0.000000;72 
D00437;0;1;0.000000;0.000000;1 
D00438;1;4;0.390380;0.250000;4 
D00451;0;0;nan;nan;0 
D00456;4;4;1.000000;1.000000;4 
D00464;10;10;1.000000;0.666667;15 
D00474;5;10;0.470556;0.294118;17 
D00477;2;10;0.330138;0.200000;10 
D00480;0;0;nan;nan;0 
D00495;0;0;nan;nan;0 
D00499;1;10;0.094788;0.100000;10 
D00504;0;0;nan;nan;0 
D00512;4;4;0.760640;1.000000;4 
D00513;0;0;nan;nan;0 
D00519;0;0;nan;nan;0 
D00521;0;0;nan;nan;0 
D00524;0;10;0.000000;0.000000;27 
D00528;0;10;0.000000;0.000000;36 
D00530;0;0;nan;nan;0 
D00533;0;6;0.000000;0.000000;6 
D00536;1;10;0.078398;0.032258;31 
D00537;8;10;0.866948;0.258065;31 
D00538;5;5;1.000000;1.000000;5 
D00539;0;0;nan;nan;0 
D00542;4;10;0.294095;0.173913;23 
D00543;3;10;0.230474;0.187500;16 
D00544;1;10;0.073364;0.076923;13 
D00545;5;5;0.700912;1.000000;5 
D00546;9;10;0.933746;0.692308;13 
D00547;0;0;nan;nan;0 
D00548;0;0;nan;nan;0 
D00549;3;10;0.203239;0.300000;10 
D00550;1;1;1.000000;1.000000;1 
D00552;5;5;1.000000;1.000000;5 
D00553;4;6;0.724715;0.666667;6 
D00560;1;1;1.000000;1.000000;1 
D00563;7;7;0.965210;1.000000;7 
D00574;0;0;nan;nan;0 
D00593;2;2;1.000000;1.000000;2 
D00594;1;1;0.356207;1.000000;1 
D00607;0;0;nan;nan;0 
D00611;4;4;1.000000;1.000000;4 
D00615;4;5;0.760757;0.800000;5 
D00616;1;2;0.613147;0.500000;2 
D00617;2;2;0.571429;1.000000;2 
D00618;0;0;nan;nan;0 
D00619;10;10;1.000000;0.081967;122 
D00629;0;0;nan;nan;0 
D00631;4;10;0.277705;0.081633;49 
D00633;0;3;0.000000;0.000000;3 
D00636;1;10;0.094788;0.100000;10 
D00638;0;4;0.000000;0.000000;4 
D00639;2;10;0.330138;0.200000;10 
D00640;1;1;0.333333;1.000000;1 
D00642;1;2;0.204382;0.500000;2 
D00647;0;1;0.000000;0.000000;1 
D00648;0;0;nan;nan;0 
D00649;7;10;0.791727;0.225806;31 
D00650;0;0;nan;nan;0 
D00651;0;0;nan;nan;0 
D00654;0;0;nan;nan;0 
D00656;0;0;nan;nan;0 
D00658;0;0;nan;nan;0 
D00677;0;0;nan;nan;0 
D00678;0;0;nan;nan;0 
D00694;5;10;0.648932;0.384615;13 
D00697;3;10;0.400023;0.230769;13 
D00704;5;10;0.581082;0.384615;13 
D00708;0;0;nan;nan;0 
D00709;0;1;0.000000;0.000000;1 
D00711;2;10;0.314880;0.111111;18 
D00726;1;2;0.386853;0.500000;2 
D00732;1;4;0.139056;0.250000;4 
D00733;6;6;0.914703;1.000000;6 
D00735;0;0;nan;nan;0 
D00738;0;0;nan;nan;0 
D00739;0;0;nan;nan;0 
D00740;6;10;0.539987;0.133333;45 
D00741;3;3;0.618289;1.000000;3 
D00759;1;4;0.112845;0.250000;4 
D00760;0;4;0.000000;0.000000;4 
D00761;0;0;nan;nan;0 
D00765;1;5;0.113053;0.200000;5 
D00771;0;0;nan;nan;0 
D00775;2;10;0.283713;0.074074;27 
D00779;0;0;nan;nan;0 
D00791;0;0;nan;nan;0 
D00798;0;1;0.000000;0.000000;1 
D00799;0;0;nan;nan;0 
D00809;2;7;0.204250;0.285714;7 
D00812;2;2;0.624051;1.000000;2 
D00816;1;2;0.237198;0.500000;2 
D00823;0;1;0.000000;0.000000;1 
D00831;0;0;nan;nan;0 
D00960;0;0;nan;nan;0 
D00963;0;0;nan;nan;0 
D00964;0;0;nan;nan;0 
D01071;3;10;0.453743;0.176471;17 
D01108;1;3;0.234639;0.333333;3 
D01111;0;1;0.000000;0.000000;1 
D01118;0;0;nan;nan;0 
D01242;0;0;nan;nan;0 
D01243;1;2;0.386853;0.500000;2 
D01253;7;10;0.778807;0.538462;13 
D01256;4;10;0.535254;0.121212;33 
