drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00035;hsa6529;0.133968;0;0;0;0 
D00035;hsa6531;0.093371;0;0;0;0 
D00035;hsa6532;0.090496;0;0;0;0 
D00035;hsa6530;0.086644;0;0;0;0 
D00035;hsa116443;0.074353;0;0;0;0 
D00035;hsa2898;0.054976;0;0;0;0 
D00035;hsa2897;0.048156;0;0;0;0 
D00035;hsa2901;0.045590;0;0;0;0 
D00035;hsa2900;0.045590;0;0;0;0 
D00035;hsa2899;0.045590;0;0;0;0 
D00110;hsa6534;0.219012;0;0;0;0 
D00110;hsa11254;0.193818;0;0;0;0 
D00110;hsa6329;0.141996;1;1;0;0 
D00110;hsa6328;0.115663;1;1;0;0 
D00110;hsa1135;0.100688;0;0;0;0 
D00110;hsa6334;0.097741;1;1;0;0 
D00110;hsa6335;0.097347;1;1;0;0 
D00110;hsa778;0.096494;0;0;0;0 
D00110;hsa6332;0.092762;0;0;0;0 
D00110;hsa2742;0.091477;0;0;0;0 
D00136;hsa116443;0.175386;0;0;0;0 
D00136;hsa3757;0.138035;0;0;0;0 
D00136;hsa6331;0.114088;0;0;0;0 
D00136;hsa6329;0.112006;0;0;0;0 
D00136;hsa6328;0.112006;0;0;0;0 
D00136;hsa8913;0.102161;0;0;0;0 
D00136;hsa8912;0.091596;0;0;0;0 
D00136;hsa8645;0.087919;0;0;0;0 
D00136;hsa3763;0.083576;0;0;0;0 
D00136;hsa8911;0.081079;0;0;0;0 
D00195;hsa1141;0.220839;0;0;0;0 
D00195;hsa1140;0.149997;0;0;0;0 
D00195;hsa1144;0.132642;0;0;0;0 
D00195;hsa1145;0.124894;0;0;0;0 
D00195;hsa3359;0.096104;0;0;0;0 
D00195;hsa6336;0.073535;0;0;0;0 
D00195;hsa6532;0.072575;0;0;0;0 
D00195;hsa6328;0.063753;0;0;0;0 
D00195;hsa6329;0.063753;0;0;0;0 
D00195;hsa3752;0.060263;0;0;0;0 
D00219;hsa3767;0.287445;0;0;0;0 
D00219;hsa6833;0.138633;1;1;0;0 
D00219;hsa1080;0.056867;0;0;0;0 
D00219;hsa3766;0.054800;0;0;0;0 
D00219;hsa3772;0.054590;0;0;0;0 
D00219;hsa3757;0.049255;0;0;0;0 
D00219;hsa6323;0.048790;0;0;0;0 
D00219;hsa3778;0.043371;0;0;0;0 
D00219;hsa3359;0.029500;0;0;0;0 
D00219;hsa6530;0.028423;0;0;0;0 
D00225;hsa2570;0.275203;0;0;0;0 
D00225;hsa2742;0.147618;0;0;0;0 
D00225;hsa2741;0.147469;0;0;0;0 
D00225;hsa2743;0.144249;0;0;0;0 
D00225;hsa8001;0.126721;0;0;0;0 
D00225;hsa3782;0.043261;0;0;0;0 
D00225;hsa3757;0.041473;0;0;0;0 
D00225;hsa3780;0.039415;0;0;0;0 
D00225;hsa6833;0.038647;0;0;0;0 
D00225;hsa3781;0.038365;0;0;0;0 
D00227;hsa3780;0.050988;0;0;0;0 
D00227;hsa3757;0.047085;0;0;0;0 
D00227;hsa3781;0.046030;0;0;0;0 
D00227;hsa3782;0.043804;0;0;0;0 
D00227;hsa2554;0.042446;0;0;0;0 
D00227;hsa2559;0.036941;0;0;0;0 
D00227;hsa2558;0.036941;0;0;0;0 
D00227;hsa2556;0.036941;0;0;0;0 
D00227;hsa2555;0.036941;0;0;0;0 
D00227;hsa2557;0.036941;0;0;0;0 
D00228;hsa6531;0.209264;1;0;1;0 
D00228;hsa6529;0.115216;0;0;0;0 
D00228;hsa6534;0.094031;0;0;0;0 
D00228;hsa11254;0.083109;0;0;0;0 
D00228;hsa3778;0.073064;0;0;0;0 
D00228;hsa8912;0.068996;0;0;0;0 
D00228;hsa8911;0.062697;0;0;0;0 
D00228;hsa8913;0.061580;0;0;0;0 
D00228;hsa776;0.051856;0;0;0;0 
D00228;hsa773;0.051742;0;0;0;0 
D00234;hsa90134;0.103155;0;0;0;0 
D00234;hsa81033;0.093130;0;0;0;0 
D00234;hsa8911;0.085353;0;0;0;0 
D00234;hsa8912;0.078707;0;0;0;0 
D00234;hsa3758;0.072913;0;0;0;0 
D00234;hsa3781;0.071975;0;0;0;0 
D00234;hsa8913;0.071934;0;0;0;0 
D00234;hsa779;0.067322;0;0;0;0 
D00234;hsa6261;0.062118;0;0;0;0 
D00234;hsa778;0.061254;0;0;0;0 
D00252;hsa6326;0.219791;1;1;0;0 
D00252;hsa6323;0.218858;1;1;0;0 
D00252;hsa6335;0.200088;1;1;0;0 
D00252;hsa6334;0.190351;1;1;0;0 
D00252;hsa11280;0.182548;0;0;0;0 
D00252;hsa40;0.133773;0;0;0;0 
D00252;hsa41;0.129565;0;0;0;0 
D00252;hsa3782;0.069911;0;0;0;0 
D00252;hsa8912;0.066875;0;0;0;0 
D00252;hsa8913;0.063268;0;0;0;0 
D00274;hsa90134;0.103155;0;0;0;0 
D00274;hsa81033;0.093130;0;0;0;0 
D00274;hsa3758;0.061821;0;0;0;0 
D00274;hsa3738;0.047562;0;0;0;0 
D00274;hsa1141;0.044818;0;0;0;0 
D00274;hsa6331;0.042420;0;0;0;0 
D00274;hsa1144;0.041267;0;0;0;0 
D00274;hsa1140;0.041267;0;0;0;0 
D00274;hsa1137;0.041147;0;0;0;0 
D00274;hsa1135;0.041136;0;0;0;0 
D00283;hsa170572;0.229716;0;0;0;0 
D00283;hsa200909;0.123240;0;0;0;0 
D00283;hsa2554;0.082170;0;0;0;0 
D00283;hsa6532;0.079614;0;0;0;0 
D00283;hsa6530;0.077185;0;0;0;0 
D00283;hsa3781;0.057160;0;0;0;0 
D00283;hsa783;0.046270;0;0;0;0 
D00283;hsa93589;0.046270;0;0;0;0 
D00283;hsa6331;0.039815;0;0;0;0 
D00283;hsa5310;0.039726;0;0;0;0 
D00293;hsa8001;0.481819;0;0;0;0 
D00293;hsa1136;0.060750;0;0;0;0 
D00293;hsa55584;0.060750;0;0;0;0 
D00293;hsa57053;0.060750;0;0;0;0 
D00293;hsa8973;0.060750;0;0;0;0 
D00293;hsa6328;0.059247;0;0;0;0 
D00293;hsa6329;0.059247;0;0;0;0 
D00293;hsa6331;0.054493;0;0;0;0 
D00293;hsa3741;0.052116;0;0;0;0 
D00293;hsa3736;0.045053;0;0;0;0 
D00294;hsa10060;0.364745;0;0;0;0 
D00294;hsa3776;0.290468;0;0;0;0 
D00294;hsa3767;0.264002;1;1;1;0 
D00294;hsa56660;0.258522;0;0;0;0 
D00294;hsa6329;0.157648;0;0;0;0 
D00294;hsa6328;0.157648;0;0;0;0 
D00294;hsa2895;0.146998;0;0;0;0 
D00294;hsa1181;0.129862;0;0;0;0 
D00294;hsa2898;0.126362;0;0;0;0 
D00294;hsa6336;0.125916;0;0;0;0 
D00303;hsa6326;0.219791;1;1;0;0 
D00303;hsa6323;0.218858;1;1;0;0 
D00303;hsa6335;0.200088;1;1;0;0 
D00303;hsa6334;0.190351;1;1;0;0 
D00303;hsa11280;0.182548;0;0;0;0 
D00303;hsa40;0.133773;0;0;0;0 
D00303;hsa41;0.129565;0;0;0;0 
D00303;hsa8912;0.110089;0;0;0;0 
D00303;hsa775;0.110074;0;0;0;0 
D00303;hsa8913;0.109805;0;0;0;0 
D00319;hsa93589;0.216603;0;0;0;0 
D00319;hsa783;0.216603;1;0;1;1 
D00319;hsa786;0.213021;1;0;0;1 
D00319;hsa774;0.204753;1;0;0;1 
D00319;hsa8911;0.195656;1;0;0;1 
D00319;hsa8912;0.189339;1;0;1;1 
D00319;hsa777;0.184679;1;0;0;1 
D00319;hsa8913;0.183372;1;0;0;1 
D00319;hsa781;0.179996;1;0;1;1 
D00319;hsa6263;0.089520;1;0;0;1 
D00326;hsa3783;0.136489;0;0;0;0 
D00326;hsa3762;0.112580;0;0;0;0 
D00326;hsa3765;0.099284;0;0;0;0 
D00326;hsa2554;0.083089;0;0;0;0 
D00326;hsa6329;0.081716;0;0;0;0 
D00326;hsa6328;0.081716;0;0;0;0 
D00326;hsa6331;0.073112;0;0;0;0 
D00326;hsa2559;0.054623;0;0;0;0 
D00326;hsa2558;0.054623;0;0;0;0 
D00326;hsa2557;0.054623;0;0;0;0 
D00329;hsa2570;0.275203;1;0;1;0 
D00329;hsa2742;0.147618;0;0;0;0 
D00329;hsa2741;0.147469;0;0;0;0 
D00329;hsa2743;0.144249;0;0;0;0 
D00329;hsa6336;0.129742;0;0;0;0 
D00329;hsa8001;0.126721;0;0;0;0 
D00329;hsa6329;0.113742;0;0;0;0 
D00329;hsa6328;0.113742;0;0;0;0 
D00329;hsa6331;0.112315;0;0;0;0 
D00329;hsa6334;0.085461;0;0;0;0 
D00331;hsa3778;0.192975;0;0;0;0 
D00331;hsa2566;0.133434;0;0;0;0 
D00331;hsa2567;0.112744;0;0;0;0 
D00331;hsa2564;0.091726;0;0;0;0 
D00331;hsa6323;0.081336;0;0;0;0 
D00331;hsa6329;0.080247;0;0;0;0 
D00331;hsa6328;0.080247;0;0;0;0 
D00331;hsa6833;0.072592;0;0;0;0 
D00331;hsa3753;0.070682;0;0;0;0 
D00331;hsa3784;0.068571;0;0;0;0 
D00332;hsa11280;0.241568;0;0;0;0 
D00332;hsa6323;0.234030;0;0;0;0 
D00332;hsa6326;0.231109;0;0;0;0 
D00332;hsa6335;0.219852;0;0;0;0 
D00332;hsa6334;0.206630;0;0;0;0 
D00332;hsa40;0.141487;0;0;0;0 
D00332;hsa41;0.134435;0;0;0;0 
D00332;hsa116444;0.102040;1;0;1;0 
D00332;hsa3758;0.082184;0;0;0;0 
D00332;hsa6534;0.069942;0;0;0;0 
D00335;hsa6833;0.141755;1;1;1;1 
D00335;hsa3764;0.141191;0;0;0;0 
D00335;hsa1080;0.125366;0;0;0;0 
D00335;hsa3766;0.076691;0;0;0;0 
D00335;hsa3772;0.073195;0;0;0;0 
D00335;hsa3765;0.059025;0;0;0;0 
D00335;hsa3763;0.056577;0;0;0;0 
D00335;hsa3768;0.054588;0;0;0;0 
D00335;hsa3759;0.052807;0;0;0;0 
D00335;hsa3757;0.050074;0;0;0;0 
D00336;hsa10060;0.188269;1;0;1;0 
D00336;hsa3767;0.158386;1;1;1;0 
D00336;hsa3757;0.093554;0;0;0;0 
D00336;hsa2554;0.061115;0;0;0;0 
D00336;hsa3763;0.060314;0;0;0;0 
D00336;hsa3772;0.056040;0;0;0;0 
D00336;hsa3766;0.056037;0;0;0;0 
D00336;hsa3741;0.055570;0;0;0;0 
D00336;hsa3783;0.053554;0;0;0;0 
D00336;hsa3744;0.049904;0;0;0;0 
D00338;hsa2556;0.130565;1;0;1;0 
D00338;hsa2555;0.130565;1;0;1;0 
D00338;hsa2557;0.130565;1;0;1;0 
D00338;hsa2558;0.130565;1;0;1;0 
D00338;hsa2559;0.130565;1;0;1;0 
D00338;hsa2741;0.125048;0;0;0;0 
D00338;hsa2561;0.112994;1;0;1;0 
D00338;hsa55879;0.112994;1;0;1;0 
D00338;hsa2567;0.112994;1;0;1;0 
D00338;hsa2563;0.112994;1;0;1;0 
D00340;hsa2891;0.088050;0;0;0;0 
D00340;hsa2554;0.027588;0;0;0;0 
D00340;hsa285242;0.025460;0;0;0;0 
D00340;hsa9177;0.025460;0;0;0;0 
D00340;hsa6532;0.024143;0;0;0;0 
D00340;hsa3767;0.023384;0;0;0;0 
D00340;hsa3758;0.020475;0;0;0;0 
D00340;hsa6530;0.018965;0;0;0;0 
D00340;hsa3784;0.016304;0;0;0;0 
D00340;hsa6833;0.015539;0;0;0;0 
D00345;hsa3778;0.118066;0;0;0;0 
D00345;hsa3767;0.104577;0;0;0;0 
D00345;hsa2554;0.085133;0;0;0;0 
D00345;hsa3758;0.078153;0;0;0;0 
D00345;hsa6331;0.062158;0;0;0;0 
D00345;hsa6323;0.059915;0;0;0;0 
D00345;hsa9992;0.051922;0;0;0;0 
D00345;hsa9132;0.050990;0;0;0;0 
D00345;hsa3782;0.049617;0;0;0;0 
D00345;hsa3785;0.047574;0;0;0;0 
D00349;hsa773;0.324432;0;0;0;0 
D00349;hsa55799;0.197303;0;0;0;0 
D00349;hsa9254;0.179680;1;0;1;0 
D00349;hsa777;0.146408;0;0;0;0 
D00349;hsa774;0.145678;0;0;0;0 
D00349;hsa782;0.136438;0;0;0;0 
D00349;hsa5310;0.130994;0;0;0;0 
D00349;hsa6262;0.124726;0;0;0;0 
D00349;hsa6263;0.124726;0;0;0;0 
D00349;hsa6261;0.122420;0;0;0;0 
D00351;hsa90134;0.106085;0;0;0;0 
D00351;hsa81033;0.096519;0;0;0;0 
D00351;hsa2554;0.083808;0;0;0;0 
D00351;hsa6323;0.072232;0;0;0;0 
D00351;hsa1135;0.060830;0;0;0;0 
D00351;hsa3743;0.060061;0;0;0;0 
D00351;hsa6331;0.057334;0;0;0;0 
D00351;hsa6328;0.055477;0;0;0;0 
D00351;hsa6329;0.055477;0;0;0;0 
D00351;hsa3781;0.055360;0;0;0;0 
D00354;hsa6336;0.278713;1;0;0;1 
D00354;hsa6332;0.207146;1;0;0;1 
D00354;hsa11280;0.196019;0;0;0;0 
D00354;hsa8645;0.126949;0;0;0;0 
D00354;hsa6337;0.098837;0;0;0;0 
D00354;hsa51802;0.098837;0;0;0;0 
D00354;hsa9311;0.098837;1;0;0;1 
D00354;hsa55515;0.098837;1;0;0;1 
D00354;hsa6338;0.098837;1;0;0;1 
D00354;hsa6339;0.098837;1;0;0;1 
D00358;hsa11280;0.247117;0;0;0;0 
D00358;hsa6332;0.232898;1;0;0;1 
D00358;hsa6262;0.062274;0;0;0;0 
D00358;hsa6263;0.062274;0;0;0;0 
D00358;hsa6261;0.058705;0;0;0;0 
D00358;hsa3741;0.039134;0;0;0;0 
D00358;hsa8913;0.036905;0;0;0;0 
D00358;hsa83795;0.034920;0;0;0;0 
D00358;hsa8911;0.033433;0;0;0;0 
D00358;hsa8912;0.032020;0;0;0;0 
D00364;hsa3359;0.094570;0;0;0;0 
D00364;hsa6532;0.089189;0;0;0;0 
D00364;hsa778;0.082139;0;0;0;0 
D00364;hsa2554;0.070214;0;0;0;0 
D00364;hsa775;0.068776;0;0;0;0 
D00364;hsa779;0.066104;0;0;0;0 
D00364;hsa776;0.066102;0;0;0;0 
