drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00040;hsa7421;0.181129;0;0;0;0 
D00040;hsa6096;0.122815;0;0;0;0 
D00040;hsa8856;0.104920;0;0;0;0 
D00040;hsa5241;0.093158;0;0;0;0 
D00040;hsa367;0.081980;0;0;0;0 
D00040;hsa6097;0.078561;0;0;0;0 
D00040;hsa9971;0.073287;0;0;0;0 
D00040;hsa2099;0.065573;0;0;0;0 
D00040;hsa2908;0.047584;0;0;0;0 
D00040;hsa2100;0.023528;0;0;0;0 
D00066;hsa367;0.147217;0;0;0;0 
D00066;hsa2100;0.088495;0;0;0;0 
D00066;hsa4306;0.069399;1;0;1;0 
D00066;hsa2908;0.064105;0;0;0;0 
D00066;hsa8856;0.058477;0;0;0;0 
D00066;hsa2101;0.037458;0;0;0;0 
D00066;hsa2104;0.033580;0;0;0;0 
D00066;hsa2103;0.029453;0;0;0;0 
D00066;hsa6256;0.020804;0;0;0;0 
D00066;hsa6257;0.018458;0;0;0;0 
D00067;hsa2100;0.196326;1;1;0;0 
D00067;hsa367;0.111580;0;0;0;0 
D00067;hsa5241;0.077222;0;0;0;0 
D00067;hsa2101;0.026017;0;0;0;0 
D00067;hsa2104;0.024229;0;0;0;0 
D00067;hsa9970;0.022472;0;0;0;0 
D00067;hsa2103;0.020453;0;0;0;0 
D00067;hsa8856;0.017055;0;0;0;0 
D00067;hsa7421;0.016470;0;0;0;0 
D00067;hsa6256;0.014830;0;0;0;0 
D00075;hsa5241;0.311506;0;0;0;0 
D00075;hsa2099;0.268844;0;0;0;0 
D00075;hsa2908;0.100310;0;0;0;0 
D00075;hsa4306;0.045294;0;0;0;0 
D00075;hsa2100;0.026125;0;0;0;0 
D00075;hsa8856;0.021826;0;0;0;0 
D00075;hsa6095;0.020892;0;0;0;0 
D00075;hsa9971;0.011877;0;0;0;0 
D00075;hsa7421;0.011632;0;0;0;0 
D00075;hsa2101;0.009461;0;0;0;0 
D00088;hsa5241;0.241030;0;0;0;0 
D00088;hsa2099;0.192376;0;0;0;0 
D00088;hsa367;0.174391;0;0;0;0 
D00088;hsa4306;0.071486;0;0;0;0 
D00088;hsa8856;0.042169;0;0;0;0 
D00088;hsa9971;0.019457;0;0;0;0 
D00088;hsa2100;0.015733;0;0;0;0 
D00088;hsa6095;0.015296;0;0;0;0 
D00088;hsa2104;0.014625;0;0;0;0 
D00088;hsa2101;0.013831;0;0;0;0 
D00094;hsa6095;0.229381;0;0;0;0 
D00094;hsa3174;0.148478;0;0;0;0 
D00094;hsa9971;0.105715;0;0;0;0 
D00094;hsa5465;0.103974;0;0;0;0 
D00094;hsa5468;0.098941;0;0;0;0 
D00094;hsa2104;0.088852;0;0;0;0 
D00094;hsa2101;0.084759;0;0;0;0 
D00094;hsa9970;0.083299;0;0;0;0 
D00094;hsa8856;0.081602;0;0;0;0 
D00094;hsa7421;0.074805;0;0;0;0 
D00105;hsa367;0.094269;0;0;0;0 
D00105;hsa2101;0.054749;0;0;0;0 
D00105;hsa2104;0.049078;0;0;0;0 
D00105;hsa2103;0.043282;0;0;0;0 
D00105;hsa7421;0.034336;0;0;0;0 
D00105;hsa5241;0.027919;0;0;0;0 
D00105;hsa8856;0.027635;1;0;1;0 
D00105;hsa2908;0.027468;0;0;0;0 
D00105;hsa6256;0.025842;0;0;0;0 
D00105;hsa6257;0.023746;0;0;0;0 
D00129;hsa8856;0.066252;0;0;0;0 
D00129;hsa2099;0.060248;0;0;0;0 
D00129;hsa9971;0.042956;0;0;0;0 
D00129;hsa9970;0.041692;0;0;0;0 
D00129;hsa2908;0.038898;0;0;0;0 
D00129;hsa6095;0.034767;0;0;0;0 
D00129;hsa2100;0.033729;0;0;0;0 
D00129;hsa367;0.031288;0;0;0;0 
D00129;hsa5241;0.026325;0;0;0;0 
D00129;hsa5468;0.020004;0;0;0;0 
D00143;hsa5241;0.218974;0;0;0;0 
D00143;hsa2099;0.149926;0;0;0;0 
D00143;hsa6095;0.096023;0;0;0;0 
D00143;hsa367;0.095303;0;0;0;0 
D00143;hsa7421;0.070534;0;0;0;0 
D00143;hsa9970;0.061382;0;0;0;0 
D00143;hsa2908;0.052791;0;0;0;0 
D00143;hsa9971;0.047110;0;0;0;0 
D00143;hsa4306;0.043579;0;0;0;0 
D00143;hsa2100;0.023042;0;0;0;0 
D00163;hsa7421;0.118957;0;0;0;0 
D00163;hsa2099;0.113244;0;0;0;0 
D00163;hsa6095;0.073540;0;0;0;0 
D00163;hsa367;0.062910;0;0;0;0 
D00163;hsa8856;0.058603;0;0;0;0 
D00163;hsa2100;0.047811;0;0;0;0 
D00163;hsa5241;0.033156;0;0;0;0 
D00163;hsa9970;0.031365;0;0;0;0 
D00163;hsa4306;0.030835;0;0;0;0 
D00163;hsa3174;0.026775;0;0;0;0 
D00182;hsa2099;0.407315;0;0;0;0 
D00182;hsa367;0.160972;0;0;0;0 
D00182;hsa4306;0.053636;0;0;0;0 
D00182;hsa2908;0.053424;0;0;0;0 
D00182;hsa2100;0.013506;0;0;0;0 
D00182;hsa2101;0.011440;0;0;0;0 
D00182;hsa7421;0.011280;0;0;0;0 
D00182;hsa2104;0.009351;0;0;0;0 
D00182;hsa2103;0.009001;0;0;0;0 
D00182;hsa3174;0.007333;0;0;0;0 
D00187;hsa8856;0.066252;0;0;0;0 
D00187;hsa5914;0.060890;0;0;0;0 
D00187;hsa5241;0.047086;0;0;0;0 
D00187;hsa6095;0.043546;0;0;0;0 
D00187;hsa9970;0.041692;0;0;0;0 
D00187;hsa2099;0.033336;0;0;0;0 
D00187;hsa6258;0.033321;0;0;0;0 
D00187;hsa6257;0.033321;0;0;0;0 
D00187;hsa6256;0.033321;0;0;0;0 
D00187;hsa5916;0.033321;0;0;0;0 
D00188;hsa6095;0.085074;0;0;0;0 
D00188;hsa8856;0.066252;0;0;0;0 
D00188;hsa9970;0.041692;0;0;0;0 
D00188;hsa2099;0.040742;0;0;0;0 
D00188;hsa2908;0.031702;0;0;0;0 
D00188;hsa367;0.031292;0;0;0;0 
D00188;hsa9971;0.029474;0;0;0;0 
D00188;hsa5241;0.027854;0;0;0;0 
D00188;hsa2100;0.020380;0;0;0;0 
D00188;hsa5468;0.020004;0;0;0;0 
D00211;hsa7421;0.066252;0;0;0;0 
D00211;hsa9970;0.061382;0;0;0;0 
D00211;hsa2908;0.061246;0;0;0;0 
D00211;hsa5914;0.042743;0;0;0;0 
D00211;hsa6258;0.035051;0;0;0;0 
D00211;hsa6257;0.035051;0;0;0;0 
D00211;hsa6256;0.035051;0;0;0;0 
D00211;hsa5916;0.035051;0;0;0;0 
D00211;hsa5915;0.035051;0;0;0;0 
D00211;hsa2099;0.034856;0;0;0;0 
D00246;hsa5241;0.095596;0;0;0;0 
D00246;hsa2099;0.059015;0;0;0;0 
D00246;hsa4306;0.053246;0;0;0;0 
D00246;hsa367;0.039313;0;0;0;0 
D00246;hsa7421;0.036502;0;0;0;0 
D00246;hsa2100;0.032283;0;0;0;0 
D00246;hsa6095;0.022620;0;0;0;0 
D00246;hsa3174;0.014643;0;0;0;0 
D00246;hsa2104;0.014625;0;0;0;0 
D00246;hsa2101;0.013831;0;0;0;0 
D00279;hsa5468;0.123563;0;0;0;0 
D00279;hsa5914;0.090972;0;0;0;0 
D00279;hsa6258;0.089308;0;0;0;0 
D00279;hsa6257;0.089308;0;0;0;0 
D00279;hsa6256;0.089308;0;0;0;0 
D00279;hsa5916;0.089308;0;0;0;0 
D00279;hsa5915;0.089308;0;0;0;0 
D00279;hsa8856;0.086625;0;0;0;0 
D00279;hsa367;0.071761;0;0;0;0 
D00279;hsa2099;0.063912;0;0;0;0 
D00299;hsa5914;0.068286;0;0;0;0 
D00299;hsa5241;0.067359;0;0;0;0 
D00299;hsa8856;0.066252;0;0;0;0 
D00299;hsa9970;0.041692;0;0;0;0 
D00299;hsa367;0.041577;0;0;0;0 
