drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00002;hsa8654;35.947803;0;0;0;0 
D00002;hsa5149;25.038810;0;0;0;0 
D00002;hsa5148;9.747682;0;0;0;0 
D00002;hsa5140;6.713761;0;0;0;0 
D00002;hsa8622;3.226762;0;0;0;0 
D00002;hsa5138;3.036187;0;0;0;0 
D00002;hsa5743;1.314520;0;0;0;0 
D00002;hsa10846;1.027742;0;0;0;0 
D00002;hsa5152;0.699079;0;0;0;0 
D00002;hsa240;0.366868;0;0;0;0 
D00005;hsa5151;34.864524;0;0;0;0 
D00005;hsa27115;27.553610;0;0;0;0 
D00005;hsa5152;5.302881;0;0;0;0 
D00005;hsa5150;5.286026;0;0;0;0 
D00005;hsa8622;4.183149;0;0;0;0 
D00005;hsa10846;3.612705;0;0;0;0 
D00005;hsa5138;3.584232;0;0;0;0 
D00005;hsa8654;2.519921;0;0;0;0 
D00005;hsa50940;1.726578;0;0;0;0 
D00005;hsa5142;1.047624;0;0;0;0 
D00007;hsa8622;6.556667;0;0;0;0 
D00007;hsa5137;5.516900;0;0;0;0 
D00007;hsa27115;5.445956;0;0;0;0 
D00007;hsa5152;4.960348;0;0;0;0 
D00007;hsa5142;3.704787;0;0;0;0 
D00007;hsa8654;2.043232;0;0;0;0 
D00007;hsa5138;1.655690;0;0;0;0 
D00007;hsa10846;1.561733;0;0;0;0 
D00007;hsa5136;1.303508;0;0;0;0 
D00007;hsa5143;0.578420;0;0;0;0 
D00014;hsa5137;4.666644;0;0;0;0 
D00014;hsa5152;2.497961;0;0;0;0 
D00014;hsa8654;1.886742;0;0;0;0 
D00014;hsa10846;1.302289;0;0;0;0 
D00014;hsa5148;0.943489;0;0;0;0 
D00014;hsa5149;0.662107;0;0;0;0 
D00014;hsa1636;0.575541;0;0;0;0 
D00014;hsa8622;0.425034;0;0;0;0 
D00014;hsa5742;0.307872;0;0;0;0 
D00014;hsa5138;0.280363;0;0;0;0 
D00018;hsa5151;13.905093;0;0;0;0 
D00018;hsa50940;4.973213;0;0;0;0 
D00018;hsa27115;3.586216;0;0;0;0 
D00018;hsa5142;0.947747;0;0;0;0 
D00018;hsa5141;0.306483;0;0;0;0 
D00018;hsa5742;0.284479;0;0;0;0 
D00018;hsa1557;0.267270;0;0;0;0 
D00018;hsa1559;0.244980;0;0;0;0 
D00018;hsa1565;0.209289;0;0;0;0 
D00018;hsa1571;0.193759;0;0;0;0 
D00021;hsa5151;194.723564;0;0;0;0 
D00021;hsa5152;17.248310;0;0;0;0 
D00021;hsa5137;9.277557;0;0;0;0 
D00021;hsa27115;6.666792;0;0;0;0 
D00021;hsa5138;3.360746;0;0;0;0 
D00021;hsa10846;2.240078;0;0;0;0 
D00021;hsa50940;1.740402;0;0;0;0 
D00021;hsa8654;1.632483;0;0;0;0 
D00021;hsa5136;0.646009;0;0;0;0 
D00021;hsa5742;0.631300;0;0;0;0 
D00027;hsa27115;11.539547;0;0;0;0 
D00027;hsa5150;6.721485;0;0;0;0 
D00027;hsa8622;6.644080;0;0;0;0 
D00027;hsa5142;5.814208;0;0;0;0 
D00027;hsa5136;3.977484;0;0;0;0 
D00027;hsa5137;3.752905;0;0;0;0 
D00027;hsa5152;1.976373;0;0;0;0 
D00027;hsa50940;1.950128;0;0;0;0 
D00027;hsa5138;1.434145;0;0;0;0 
D00027;hsa5143;1.324844;0;0;0;0 
D00029;hsa8622;21.748648;0;0;0;0 
D00029;hsa27115;16.224672;0;0;0;0 
D00029;hsa5142;10.685749;0;0;0;0 
D00029;hsa5152;9.470816;0;0;0;0 
D00029;hsa5138;5.115484;0;0;0;0 
D00029;hsa5136;4.783788;0;0;0;0 
D00029;hsa5150;4.554699;0;0;0;0 
D00029;hsa10846;4.296850;0;0;0;0 
D00029;hsa50940;1.354321;0;0;0;0 
D00029;hsa1636;0.379724;0;0;0;0 
D00032;hsa27115;7.961331;0;0;0;0 
D00032;hsa50940;6.310211;0;0;0;0 
D00032;hsa5137;4.922359;0;0;0;0 
D00032;hsa5151;4.903127;0;0;0;0 
D00032;hsa5152;4.188488;0;0;0;0 
D00032;hsa10846;0.666480;0;0;0;0 
D00032;hsa5138;0.615634;0;0;0;0 
D00032;hsa5742;0.588529;0;0;0;0 
D00032;hsa1636;0.434028;0;0;0;0 
D00032;hsa1557;0.416805;0;0;0;0 
D00035;hsa5151;30.081515;0;0;0;0 
D00035;hsa50940;8.285772;0;0;0;0 
D00035;hsa5137;4.074306;0;0;0;0 
D00035;hsa27115;2.147752;0;0;0;0 
D00035;hsa10846;1.582704;0;0;0;0 
D00035;hsa8654;1.140744;0;0;0;0 
D00035;hsa5138;1.057345;0;0;0;0 
D00035;hsa5142;0.925739;0;0;0;0 
