drug;hits;possible_hits;ndcg;recall;total_known_targets
D00049;1;1;0.630930;1.000000;1 
D00059;2;3;0.416181;0.666667;3 
D00079;3;3;0.967468;1.000000;3 
D00094;0;0;nan;nan;0 
D00095;4;6;0.761887;0.666667;6 
D00106;1;1;1.000000;1.000000;1 
D00110;2;2;0.919721;1.000000;2 
D00113;0;0;nan;nan;0 
D00136;3;10;0.242618;0.176471;17 
D00139;0;0;nan;nan;0 
D00180;0;0;nan;nan;0 
D00225;0;0;nan;nan;0 
D00227;0;0;nan;nan;0 
D00232;2;2;1.000000;1.000000;2 
D00234;0;0;nan;nan;0 
D00235;1;1;1.000000;1.000000;1 
D00241;0;0;nan;nan;0 
D00255;1;1;1.000000;1.000000;1 
D00270;7;10;0.750637;0.411765;17 
D00274;1;1;0.315465;1.000000;1 
D00281;1;10;0.220092;0.090909;11 
D00283;5;5;1.000000;1.000000;5 
D00295;0;0;nan;nan;0 
D00300;1;1;0.430677;1.000000;1 
D00301;0;0;nan;nan;0 
D00306;0;0;nan;nan;0 
D00318;0;0;nan;nan;0 
D00332;0;0;nan;nan;0 
D00336;0;0;nan;nan;0 
D00356;0;0;nan;nan;0 
D00364;0;0;nan;nan;0 
D00371;2;2;1.000000;1.000000;2 
D00380;0;0;nan;nan;0 
D00394;10;10;1.000000;0.500000;20 
D00397;2;3;0.671386;0.666667;3 
D00400;0;0;nan;nan;0 
D00410;0;0;nan;nan;0 
D00411;0;0;nan;nan;0 
D00415;1;2;0.613147;0.500000;2 
D00419;0;0;nan;nan;0 
D00422;0;0;nan;nan;0 
D00426;6;10;0.665193;0.428571;14 
D00432;0;0;nan;nan;0 
D00437;2;2;0.650921;1.000000;2 
D00440;0;0;nan;nan;0 
D00442;2;2;1.000000;1.000000;2 
D00443;0;0;nan;nan;0 
D00451;0;0;nan;nan;0 
D00454;9;10;0.889954;0.900000;10 
D00465;1;1;1.000000;1.000000;1 
D00480;5;10;0.535709;0.500000;10 
D00483;2;10;0.142019;0.181818;11 
D00493;0;0;nan;nan;0 
D00494;0;0;nan;nan;0 
D00498;1;1;1.000000;1.000000;1 
D00499;0;0;nan;nan;0 
D00503;0;0;nan;nan;0 
D00509;8;10;0.831848;0.380952;21 
D00513;0;0;nan;nan;0 
D00514;2;2;0.591235;1.000000;2 
D00520;0;2;0.000000;0.000000;2 
D00521;0;0;nan;nan;0 
D00522;0;0;nan;nan;0 
D00523;0;0;nan;nan;0 
D00524;3;3;0.845185;1.000000;3 
D00525;3;4;0.676024;0.750000;4 
D00528;1;5;0.213986;0.200000;5 
D00540;1;1;1.000000;1.000000;1 
D00542;0;1;0.000000;0.000000;1 
D00559;5;10;0.595860;0.384615;13 
D00560;1;3;0.234639;0.333333;3 
D00563;7;10;0.709375;0.437500;16 
D00574;0;0;nan;nan;0 
D00598;0;0;nan;nan;0 
D00601;0;0;nan;nan;0 
D00604;3;10;0.469000;0.230769;13 
D00606;0;0;nan;nan;0 
D00607;0;0;nan;nan;0 
D00609;1;4;0.117516;0.250000;4 
D00613;2;3;0.292078;0.666667;3 
D00627;0;0;nan;nan;0 
D00632;1;1;1.000000;1.000000;1 
D00635;0;0;nan;nan;0 
D00645;0;0;nan;nan;0 
D00646;2;3;0.337968;0.666667;3 
D00665;0;0;nan;nan;0 
D00666;0;0;nan;nan;0 
D00673;0;0;nan;nan;0 
D00674;2;4;0.441492;0.500000;4 
D00675;1;1;0.386853;1.000000;1 
D00676;2;8;0.169895;0.250000;8 
D00682;1;1;0.630930;1.000000;1 
D00683;2;2;1.000000;1.000000;2 
D00684;0;0;nan;nan;0 
D00687;0;0;nan;nan;0 
D00688;4;7;0.617764;0.571429;7 
D00715;4;4;0.982892;1.000000;4 
D00726;1;1;0.430677;1.000000;1 
D00760;0;0;nan;nan;0 
D00765;0;0;nan;nan;0 
D00769;0;0;nan;nan;0 
D00775;0;0;nan;nan;0 
D00779;3;3;0.798861;1.000000;3 
D00780;4;10;0.340520;0.235294;17 
D00790;5;10;0.595762;0.500000;10 
D00837;1;1;1.000000;1.000000;1 
D00838;1;1;0.630930;1.000000;1 
D00845;1;2;0.193426;0.500000;2 
D00954;0;0;nan;nan;0 
D00965;0;0;nan;nan;0 
D00987;6;10;0.550113;0.315789;19 
D00996;0;0;nan;nan;0 
D01020;0;0;nan;nan;0 
D01022;0;0;nan;nan;0 
D01024;0;0;nan;nan;0 
D01051;1;1;0.630930;1.000000;1 
D01071;0;0;nan;nan;0 
D01103;4;4;0.875646;1.000000;4 
D01118;2;4;0.359148;0.500000;4 
D01126;0;0;nan;nan;0 
D01164;10;10;1.000000;0.526316;19 
D01227;0;0;nan;nan;0 
D01236;0;0;nan;nan;0 
D01242;5;10;0.547853;0.500000;10 
D01269;3;4;0.559009;0.750000;4 
D01295;3;5;0.654809;0.600000;5 
D01297;0;0;nan;nan;0 
D01324;0;0;nan;nan;0 
D01332;0;0;nan;nan;0 
D01346;0;0;nan;nan;0 
D01352;0;0;nan;nan;0 
D01358;5;10;0.554801;0.294118;17 
D01386;4;8;0.576641;0.500000;8 
D01390;2;10;0.202483;0.125000;16 
D01441;0;0;nan;nan;0 
D01454;0;0;nan;nan;0 
D01462;3;10;0.254698;0.230769;13 
D01603;3;3;0.921787;1.000000;3 
