drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00049;hsa3269;0.342167;0;0;0;0 
D00049;hsa8843;0.333997;1;0;1;0 
D00049;hsa1128;0.318457;0;0;0;0 
D00049;hsa150;0.302153;0;0;0;0 
D00049;hsa154;0.300029;0;0;0;0 
D00049;hsa3577;0.267027;0;0;0;0 
D00049;hsa1812;0.239651;0;0;0;0 
D00049;hsa2550;0.237958;0;0;0;0 
D00049;hsa153;0.236523;0;0;0;0 
D00049;hsa185;0.224809;0;0;0;0 
D00059;hsa154;0.582989;0;0;0;0 
D00059;hsa153;0.573282;0;0;0;0 
D00059;hsa1814;0.503843;1;1;1;0 
D00059;hsa155;0.485041;0;0;0;0 
D00059;hsa1816;0.438852;1;1;1;0 
D00059;hsa148;0.431554;0;0;0;0 
D00059;hsa150;0.420547;0;0;0;0 
D00059;hsa3269;0.391173;0;0;0;0 
D00059;hsa3356;0.375303;0;0;0;0 
D00059;hsa151;0.354464;0;0;0;0 
D00079;hsa5731;0.754985;1;0;1;0 
D00079;hsa5732;0.593430;1;1;1;0 
D00079;hsa5737;0.559210;0;0;0;0 
D00079;hsa5733;0.484418;1;0;1;0 
D00079;hsa64805;0.311823;0;0;0;0 
D00079;hsa153;0.288330;0;0;0;0 
D00079;hsa154;0.285353;0;0;0;0 
D00079;hsa6010;0.262417;0;0;0;0 
D00079;hsa185;0.234053;0;0;0;0 
D00079;hsa222545;0.224078;0;0;0;0 
D00094;hsa5739;0.242443;0;0;0;0 
D00094;hsa5731;0.221760;0;0;0;0 
D00094;hsa4988;0.215578;0;0;0;0 
D00094;hsa3269;0.214540;0;0;0;0 
D00094;hsa185;0.205826;0;0;0;0 
D00094;hsa1813;0.190310;0;0;0;0 
D00094;hsa134;0.182434;0;0;0;0 
D00094;hsa150;0.179921;0;0;0;0 
D00094;hsa1129;0.166301;0;0;0;0 
D00094;hsa5732;0.158985;0;0;0;0 
D00095;hsa155;0.808655;1;1;1;0 
D00095;hsa147;0.483117;1;1;1;0 
D00095;hsa146;0.468719;1;1;1;0 
D00095;hsa1812;0.460530;0;0;0;0 
D00095;hsa150;0.421938;1;1;1;0 
D00095;hsa1128;0.416662;0;0;0;0 
D00095;hsa1813;0.406258;0;0;0;0 
D00095;hsa3356;0.374863;0;0;0;0 
D00095;hsa3577;0.355516;0;0;0;0 
D00095;hsa3269;0.345153;0;0;0;0 
D00106;hsa5739;0.642331;1;1;1;0 
D00106;hsa5731;0.600394;0;0;0;0 
D00106;hsa5732;0.464962;0;0;0;0 
D00106;hsa5737;0.457123;0;0;0;0 
D00106;hsa5733;0.356542;0;0;0;0 
D00106;hsa154;0.321312;0;0;0;0 
D00106;hsa153;0.297694;0;0;0;0 
D00106;hsa1128;0.289448;0;0;0;0 
D00106;hsa1129;0.266751;0;0;0;0 
D00106;hsa4988;0.257299;0;0;0;0 
D00110;hsa1128;0.697639;1;0;1;0 
D00110;hsa1813;0.589122;0;0;0;0 
D00110;hsa1129;0.578004;1;0;1;0 
D00110;hsa4988;0.574702;0;0;0;0 
D00110;hsa1816;0.544874;0;0;0;0 
D00110;hsa1131;0.465923;0;0;0;0 
D00110;hsa4985;0.446463;0;0;0;0 
D00110;hsa3356;0.443926;0;0;0;0 
D00110;hsa1133;0.438659;0;0;0;0 
D00110;hsa1132;0.421650;0;0;0;0 
D00113;hsa3269;0.458615;0;0;0;0 
D00113;hsa4986;0.421227;0;0;0;0 
D00113;hsa4988;0.417779;0;0;0;0 
D00113;hsa154;0.402777;0;0;0;0 
D00113;hsa1812;0.395274;0;0;0;0 
D00113;hsa1813;0.394544;0;0;0;0 
D00113;hsa1814;0.369410;0;0;0;0 
D00113;hsa3356;0.366426;0;0;0;0 
D00113;hsa148;0.355371;0;0;0;0 
D00113;hsa153;0.351463;0;0;0;0 
D00136;hsa3269;0.788693;0;0;0;0 
D00136;hsa152;0.755653;0;0;0;0 
D00136;hsa1128;0.745037;0;0;0;0 
D00136;hsa1812;0.732275;1;0;1;0 
D00136;hsa1816;0.708477;0;0;0;0 
D00136;hsa3356;0.684755;1;0;1;0 
D00136;hsa1129;0.668518;0;0;0;0 
D00136;hsa148;0.624087;1;0;0;1 
D00136;hsa154;0.600828;0;0;0;0 
D00136;hsa1131;0.588766;0;0;0;0 
D00139;hsa3269;0.537017;0;0;0;0 
D00139;hsa154;0.448658;0;0;0;0 
D00139;hsa153;0.428422;0;0;0;0 
D00139;hsa1128;0.369706;0;0;0;0 
D00139;hsa3356;0.355009;0;0;0;0 
D00139;hsa1813;0.350366;0;0;0;0 
D00139;hsa155;0.336384;0;0;0;0 
D00139;hsa148;0.336126;0;0;0;0 
D00139;hsa1812;0.327032;0;0;0;0 
D00139;hsa185;0.318279;0;0;0;0 
D00180;hsa5733;0.645331;0;0;0;0 
D00180;hsa5737;0.548764;0;0;0;0 
D00180;hsa64805;0.312810;0;0;0;0 
D00180;hsa6010;0.308691;0;0;0;0 
D00180;hsa154;0.291801;0;0;0;0 
D00180;hsa153;0.290566;0;0;0;0 
D00180;hsa185;0.231165;0;0;0;0 
D00180;hsa222545;0.218875;0;0;0;0 
D00180;hsa4988;0.207434;0;0;0;0 
D00180;hsa1128;0.206337;0;0;0;0 
D00225;hsa3269;0.715086;0;0;0;0 
D00225;hsa1128;0.501429;0;0;0;0 
D00225;hsa154;0.468250;0;0;0;0 
D00225;hsa153;0.427845;0;0;0;0 
D00225;hsa1813;0.422388;0;0;0;0 
D00225;hsa3356;0.418659;0;0;0;0 
D00225;hsa1812;0.402589;0;0;0;0 
D00225;hsa185;0.383848;0;0;0;0 
D00225;hsa148;0.372603;0;0;0;0 
D00225;hsa1131;0.370594;0;0;0;0 
D00227;hsa136;0.515921;0;0;0;0 
D00227;hsa3269;0.417231;0;0;0;0 
D00227;hsa154;0.368854;0;0;0;0 
D00227;hsa150;0.351212;0;0;0;0 
D00227;hsa153;0.345971;0;0;0;0 
D00227;hsa1813;0.314356;0;0;0;0 
D00227;hsa155;0.295344;0;0;0;0 
D00227;hsa185;0.295305;0;0;0;0 
D00227;hsa148;0.293460;0;0;0;0 
D00227;hsa1128;0.287570;0;0;0;0 
D00232;hsa1132;0.521357;1;1;0;0 
D00232;hsa1133;0.501766;1;1;0;0 
D00232;hsa1813;0.315620;0;0;0;0 
D00232;hsa154;0.304875;0;0;0;0 
D00232;hsa148;0.302511;0;0;0;0 
D00232;hsa1814;0.293682;0;0;0;0 
D00232;hsa153;0.293530;0;0;0;0 
D00232;hsa8843;0.292548;0;0;0;0 
D00232;hsa155;0.276782;0;0;0;0 
D00232;hsa3269;0.258956;0;0;0;0 
D00234;hsa1813;0.590491;0;0;0;0 
D00234;hsa1128;0.572072;0;0;0;0 
D00234;hsa148;0.564815;0;0;0;0 
D00234;hsa1131;0.526510;0;0;0;0 
D00234;hsa1129;0.515466;0;0;0;0 
D00234;hsa1814;0.502678;0;0;0;0 
D00234;hsa154;0.487764;0;0;0;0 
D00234;hsa153;0.468612;0;0;0;0 
D00234;hsa3356;0.466024;0;0;0;0 
D00234;hsa1816;0.460732;0;0;0;0 
D00235;hsa155;0.751730;1;0;0;1 
D00235;hsa1128;0.434458;0;0;0;0 
D00235;hsa3360;0.389044;0;0;0;0 
D00235;hsa148;0.375300;0;0;0;0 
D00235;hsa1813;0.361203;0;0;0;0 
D00235;hsa4988;0.343815;0;0;0;0 
D00235;hsa1129;0.342208;0;0;0;0 
D00235;hsa3577;0.328383;0;0;0;0 
D00235;hsa3274;0.314159;0;0;0;0 
D00235;hsa150;0.295519;0;0;0;0 
D00241;hsa153;0.463289;0;0;0;0 
D00241;hsa154;0.461474;0;0;0;0 
D00241;hsa150;0.411379;0;0;0;0 
D00241;hsa1128;0.406913;0;0;0;0 
D00241;hsa3269;0.396948;0;0;0;0 
D00241;hsa1813;0.356562;0;0;0;0 
D00241;hsa1812;0.345190;0;0;0;0 
D00241;hsa155;0.320414;0;0;0;0 
D00241;hsa222545;0.317352;0;0;0;0 
D00241;hsa185;0.292267;0;0;0;0 
D00255;hsa152;0.834924;1;0;1;0 
D00255;hsa3269;0.773138;0;0;0;0 
D00255;hsa3356;0.702387;0;0;0;0 
D00255;hsa1813;0.666513;0;0;0;0 
D00255;hsa1128;0.638944;0;0;0;0 
D00255;hsa1814;0.553494;0;0;0;0 
D00255;hsa1812;0.552979;0;0;0;0 
D00255;hsa1129;0.549337;0;0;0;0 
D00255;hsa1816;0.541793;0;0;0;0 
D00255;hsa3358;0.505020;0;0;0;0 
D00270;hsa3269;1.000002;1;1;1;0 
D00270;hsa1128;0.790497;1;1;1;0 
D00270;hsa152;0.757717;1;1;1;0 
D00270;hsa154;0.757613;0;0;0;0 
D00270;hsa153;0.750371;0;0;0;0 
D00270;hsa148;0.698150;1;0;1;0 
D00270;hsa3358;0.653441;1;1;1;0 
D00270;hsa155;0.634801;0;0;0;0 
D00270;hsa1129;0.617489;1;1;0;0 
D00270;hsa146;0.580725;1;0;1;0 
D00274;hsa1813;0.634219;0;0;0;0 
D00274;hsa3269;0.630386;0;0;0;0 
D00274;hsa153;0.571600;0;0;0;0 
D00274;hsa154;0.560444;0;0;0;0 
D00274;hsa148;0.552900;0;0;0;0 
D00274;hsa1131;0.530568;0;0;0;0 
D00274;hsa1814;0.518170;0;0;0;0 
D00274;hsa3356;0.516764;1;0;1;0 
D00274;hsa146;0.426604;0;0;0;0 
D00274;hsa1812;0.425579;0;0;0;0 
D00281;hsa3356;0.563732;1;0;0;1 
D00281;hsa1813;0.505738;0;0;0;0 
D00281;hsa1814;0.504770;0;0;0;0 
D00281;hsa1128;0.496606;0;0;0;0 
D00281;hsa3269;0.436651;0;0;0;0 
D00281;hsa1812;0.428767;0;0;0;0 
D00281;hsa3577;0.424240;0;0;0;0 
D00281;hsa1816;0.404836;0;0;0;0 
D00281;hsa155;0.404045;0;0;0;0 
D00281;hsa1129;0.401239;0;0;0;0 
D00283;hsa1814;1.077542;1;0;1;1 
D00283;hsa152;0.958184;1;0;1;0 
D00283;hsa1131;0.815992;1;0;1;0 
D00283;hsa1132;0.777177;1;0;1;0 
D00283;hsa1133;0.765283;1;0;1;0 
D00283;hsa154;0.654323;0;0;0;0 
D00283;hsa153;0.613331;0;0;0;0 
D00283;hsa11255;0.581212;0;0;0;0 
D00283;hsa155;0.572050;0;0;0;0 
D00283;hsa3577;0.454889;0;0;0;0 
D00295;hsa153;0.361815;0;0;0;0 
D00295;hsa154;0.360655;0;0;0;0 
D00295;hsa155;0.301798;0;0;0;0 
D00295;hsa1128;0.279417;0;0;0;0 
D00295;hsa11255;0.261157;0;0;0;0 
D00295;hsa3352;0.259220;0;0;0;0 
D00295;hsa3351;0.258601;0;0;0;0 
D00295;hsa150;0.253155;0;0;0;0 
D00295;hsa3355;0.251783;0;0;0;0 
D00295;hsa59340;0.247524;0;0;0;0 
D00300;hsa1128;0.670844;0;0;0;0 
D00300;hsa154;0.613839;0;0;0;0 
D00300;hsa153;0.585002;0;0;0;0 
D00300;hsa1129;0.519359;1;0;1;0 
D00300;hsa1131;0.498942;0;0;0;0 
D00300;hsa1813;0.457543;0;0;0;0 
D00300;hsa148;0.453451;0;0;0;0 
D00300;hsa3577;0.443530;0;0;0;0 
D00300;hsa3356;0.423947;0;0;0;0 
D00300;hsa155;0.406797;0;0;0;0 
D00301;hsa1128;0.475540;0;0;0;0 
D00301;hsa3269;0.459492;0;0;0;0 
D00301;hsa1129;0.458381;0;0;0;0 
D00301;hsa4986;0.417505;0;0;0;0 
D00301;hsa1131;0.390802;0;0;0;0 
D00301;hsa154;0.390399;0;0;0;0 
D00301;hsa4985;0.319687;0;0;0;0 
D00301;hsa185;0.312017;0;0;0;0 
D00301;hsa153;0.310361;0;0;0;0 
D00301;hsa1813;0.307383;0;0;0;0 
D00306;hsa153;0.534119;0;0;0;0 
D00306;hsa154;0.501534;0;0;0;0 
D00306;hsa148;0.484932;0;0;0;0 
D00306;hsa1128;0.468954;0;0;0;0 
D00306;hsa155;0.460799;0;0;0;0 
D00306;hsa1813;0.440967;0;0;0;0 
D00306;hsa1129;0.440770;0;0;0;0 
D00306;hsa4988;0.413273;0;0;0;0 
D00306;hsa3356;0.375828;0;0;0;0 
D00306;hsa3577;0.337878;0;0;0;0 
D00318;hsa148;0.371400;0;0;0;0 
D00318;hsa3269;0.299439;0;0;0;0 
D00318;hsa150;0.264863;0;0;0;0 
D00318;hsa154;0.247998;0;0;0;0 
D00318;hsa153;0.246729;0;0;0;0 
D00318;hsa3355;0.232849;0;0;0;0 
D00318;hsa3352;0.226661;0;0;0;0 
D00318;hsa3360;0.226411;0;0;0;0 
D00318;hsa3351;0.225771;0;0;0;0 
D00318;hsa1813;0.210984;0;0;0;0 
D00332;hsa151;0.427536;0;0;0;0 
D00332;hsa152;0.365417;0;0;0;0 
D00332;hsa135;0.339438;0;0;0;0 
D00332;hsa1128;0.322312;0;0;0;0 
D00332;hsa1814;0.315116;0;0;0;0 
D00332;hsa1129;0.311037;0;0;0;0 
D00332;hsa1813;0.307668;0;0;0;0 
D00332;hsa3269;0.272407;0;0;0;0 
D00332;hsa1131;0.265684;0;0;0;0 
D00332;hsa222545;0.241573;0;0;0;0 
D00336;hsa3269;0.581852;0;0;0;0 
D00336;hsa1128;0.543456;0;0;0;0 
D00336;hsa154;0.542597;0;0;0;0 
D00336;hsa1813;0.531869;0;0;0;0 
D00336;hsa153;0.504342;0;0;0;0 
D00336;hsa3356;0.480750;0;0;0;0 
D00336;hsa1129;0.468247;0;0;0;0 
D00336;hsa3360;0.447505;0;0;0;0 
D00336;hsa148;0.437334;0;0;0;0 
D00336;hsa1814;0.435623;0;0;0;0 
D00356;hsa154;0.621532;0;0;0;0 
D00356;hsa153;0.578487;0;0;0;0 
D00356;hsa1128;0.530349;0;0;0;0 
D00356;hsa5731;0.529508;0;0;0;0 
D00356;hsa5739;0.497770;0;0;0;0 
D00356;hsa5733;0.477381;0;0;0;0 
D00356;hsa1129;0.467254;0;0;0;0 
D00356;hsa155;0.427892;0;0;0;0 
D00356;hsa4988;0.388900;0;0;0;0 
D00356;hsa5732;0.373031;0;0;0;0 
D00364;hsa1128;0.644583;0;0;0;0 
D00364;hsa1813;0.532295;0;0;0;0 
D00364;hsa1129;0.518520;0;0;0;0 
D00364;hsa1131;0.494566;0;0;0;0 
D00364;hsa3356;0.492609;0;0;0;0 
D00364;hsa1814;0.479858;0;0;0;0 
D00364;hsa4988;0.445398;0;0;0;0 
D00364;hsa148;0.426932;0;0;0;0 
D00364;hsa1812;0.424570;0;0;0;0 
D00364;hsa1816;0.382853;0;0;0;0 
D00371;hsa135;0.605538;1;1;1;0 
D00371;hsa134;0.546061;1;1;1;0 
D00371;hsa140;0.437165;0;0;0;0 
D00371;hsa3577;0.396589;0;0;0;0 
D00371;hsa3269;0.361816;0;0;0;0 
D00371;hsa154;0.300548;0;0;0;0 
D00371;hsa148;0.288726;0;0;0;0 
D00371;hsa153;0.287161;0;0;0;0 
D00371;hsa155;0.280176;0;0;0;0 
D00371;hsa1128;0.264335;0;0;0;0 
D00380;hsa154;0.584295;0;0;0;0 
D00380;hsa153;0.565132;0;0;0;0 
D00380;hsa155;0.413094;0;0;0;0 
D00380;hsa1128;0.407837;0;0;0;0 
D00380;hsa3360;0.361996;0;0;0;0 
D00380;hsa1813;0.355821;0;0;0;0 
D00380;hsa3274;0.339086;0;0;0;0 
D00380;hsa148;0.334778;0;0;0;0 
D00380;hsa1129;0.312601;0;0;0;0 
D00380;hsa4988;0.309658;0;0;0;0 
D00394;hsa3269;0.781242;1;0;1;0 
D00394;hsa1128;0.630979;1;0;1;0 
D00394;hsa154;0.584332;1;0;1;0 
D00394;hsa153;0.573191;1;0;1;0 
D00394;hsa1813;0.509245;1;0;1;0 
D00394;hsa3356;0.498549;1;0;1;0 
D00394;hsa1129;0.471390;1;0;1;0 
D00394;hsa155;0.449015;1;0;1;0 
D00394;hsa148;0.433589;1;0;1;0 
D00394;hsa1131;0.426022;1;0;1;0 
D00397;hsa1131;0.736419;1;1;1;0 
D00397;hsa3269;0.713396;0;0;0;0 
D00397;hsa154;0.613107;0;0;0;0 
D00397;hsa1133;0.600778;1;1;0;0 
D00397;hsa153;0.584829;0;0;0;0 
D00397;hsa1813;0.485867;0;0;0;0 
D00397;hsa3356;0.445357;0;0;0;0 
D00397;hsa1812;0.426196;0;0;0;0 
D00397;hsa3577;0.409028;0;0;0;0 
D00397;hsa155;0.403209;0;0;0;0 
D00400;hsa3269;0.659464;0;0;0;0 
D00400;hsa153;0.602423;0;0;0;0 
D00400;hsa154;0.598922;0;0;0;0 
D00400;hsa1128;0.476096;0;0;0;0 
D00400;hsa1813;0.450198;0;0;0;0 
D00400;hsa155;0.400670;0;0;0;0 
D00400;hsa3577;0.361697;0;0;0;0 
D00400;hsa4988;0.356777;0;0;0;0 
D00400;hsa1129;0.329445;0;0;0;0 
D00400;hsa3356;0.327629;0;0;0;0 
D00410;hsa3269;0.579870;0;0;0;0 
D00410;hsa1128;0.501991;0;0;0;0 
D00410;hsa154;0.470928;0;0;0;0 
D00410;hsa153;0.432971;0;0;0;0 
D00410;hsa1129;0.366764;0;0;0;0 
D00410;hsa3356;0.349084;0;0;0;0 
D00410;hsa1813;0.346022;0;0;0;0 
D00410;hsa1131;0.338830;0;0;0;0 
D00410;hsa4988;0.337001;0;0;0;0 
D00410;hsa185;0.319675;0;0;0;0 
D00411;hsa3269;0.621051;0;0;0;0 
D00411;hsa154;0.488211;0;0;0;0 
D00411;hsa1128;0.473446;0;0;0;0 
D00411;hsa1129;0.459011;0;0;0;0 
D00411;hsa1813;0.456383;0;0;0;0 
D00411;hsa4988;0.429894;0;0;0;0 
D00411;hsa153;0.427225;0;0;0;0 
D00411;hsa1131;0.398975;0;0;0;0 
D00411;hsa3356;0.394662;0;0;0;0 
D00411;hsa155;0.389746;0;0;0;0 
D00415;hsa3355;0.567997;1;0;1;0 
D00415;hsa1128;0.549134;0;0;0;0 
D00415;hsa153;0.530140;0;0;0;0 
D00415;hsa154;0.520080;0;0;0;0 
D00415;hsa1813;0.468606;0;0;0;0 
D00415;hsa3269;0.463347;0;0;0;0 
D00415;hsa148;0.451948;0;0;0;0 
D00415;hsa155;0.445440;0;0;0;0 
D00415;hsa3356;0.428130;0;0;0;0 
D00415;hsa1129;0.396446;0;0;0;0 
D00419;hsa5731;0.661099;0;0;0;0 
D00419;hsa5739;0.559916;0;0;0;0 
D00419;hsa5737;0.434827;0;0;0;0 
D00419;hsa154;0.332976;0;0;0;0 
D00419;hsa1129;0.326640;0;0;0;0 
D00419;hsa1128;0.317361;0;0;0;0 
D00419;hsa153;0.311619;0;0;0;0 
D00419;hsa4988;0.247537;0;0;0;0 
D00419;hsa155;0.216765;0;0;0;0 
D00419;hsa64805;0.213996;0;0;0;0 
D00422;hsa153;0.483824;0;0;0;0 
D00422;hsa154;0.478380;0;0;0;0 
D00422;hsa155;0.379023;0;0;0;0 
D00422;hsa1128;0.295964;0;0;0;0 
D00422;hsa3352;0.282837;0;0;0;0 
D00422;hsa3351;0.282292;0;0;0;0 
D00422;hsa3360;0.273158;0;0;0;0 
D00422;hsa11255;0.272069;0;0;0;0 
D00422;hsa148;0.263546;0;0;0;0 
D00422;hsa3269;0.253625;0;0;0;0 
D00426;hsa1813;0.653353;1;1;1;1 
D00426;hsa3269;0.640591;1;0;1;1 
D00426;hsa1128;0.622521;0;0;0;0 
