drug;hits;possible_hits;ndcg;recall;total_known_targets
D00035;0;0;nan;nan;0 
D00110;6;7;0.908375;0.857143;7 
D00136;0;10;0.000000;0.000000;10 
D00195;0;0;nan;nan;0 
D00219;0;1;0.000000;0.000000;1 
D00225;0;0;nan;nan;0 
D00227;0;0;nan;nan;0 
D00228;3;10;0.378599;0.187500;16 
D00234;0;0;nan;nan;0 
D00252;1;4;0.112845;0.250000;4 
D00274;1;1;0.289065;1.000000;1 
D00283;0;0;nan;nan;0 
D00293;0;0;nan;nan;0 
D00294;0;1;0.000000;0.000000;1 
D00303;1;6;0.107789;0.166667;6 
D00319;6;10;0.530244;0.260870;23 
D00326;0;1;0.000000;0.000000;1 
D00329;1;1;0.630930;1.000000;1 
D00331;0;0;nan;nan;0 
D00332;6;10;0.511453;0.285714;21 
D00335;0;1;0.000000;0.000000;1 
D00336;1;4;0.195190;0.250000;4 
D00338;1;10;0.073364;0.066667;15 
D00340;0;0;nan;nan;0 
D00345;0;0;nan;nan;0 
D00349;0;1;0.000000;0.000000;1 
D00351;0;0;nan;nan;0 
D00354;8;10;0.787774;0.216216;37 
D00358;1;9;0.148297;0.111111;9 
D00364;0;0;nan;nan;0 
D00367;1;1;1.000000;1.000000;1 
D00373;0;1;0.000000;0.000000;1 
D00379;0;1;0.000000;0.000000;1 
D00380;1;1;0.630930;1.000000;1 
D00392;0;0;nan;nan;0 
D00394;2;2;0.850345;1.000000;2 
D00418;3;10;0.424926;0.041667;72 
D00437;0;1;0.000000;0.000000;1 
D00438;2;4;0.507896;0.500000;4 
D00451;0;0;nan;nan;0 
D00456;4;4;0.955830;1.000000;4 
D00464;3;10;0.206416;0.200000;15 
D00474;1;10;0.069431;0.058824;17 
D00477;2;10;0.330138;0.200000;10 
D00480;0;0;nan;nan;0 
D00495;0;0;nan;nan;0 
D00499;1;10;0.138862;0.100000;10 
D00504;0;0;nan;nan;0 
D00512;1;4;0.112845;0.250000;4 
D00513;0;0;nan;nan;0 
D00519;0;0;nan;nan;0 
D00521;0;0;nan;nan;0 
D00524;0;10;0.000000;0.000000;27 
D00528;1;10;0.069431;0.027778;36 
D00530;0;0;nan;nan;0 
D00533;6;6;0.798265;1.000000;6 
