drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00040;hsa7421;0.643881;0;0;0;0 
D00040;hsa5241;0.605756;0;0;0;0 
D00040;hsa2099;0.528849;0;0;0;0 
D00040;hsa367;0.455675;0;0;0;0 
D00040;hsa2908;0.451853;0;0;0;0 
D00040;hsa9971;0.430316;0;0;0;0 
D00040;hsa8856;0.416619;0;0;0;0 
D00040;hsa4306;0.402989;0;0;0;0 
D00040;hsa2100;0.301381;0;0;0;0 
D00040;hsa5468;0.102835;0;0;0;0 
D00066;hsa2908;0.609975;0;0;0;0 
D00066;hsa367;0.602626;0;0;0;0 
D00066;hsa4306;0.566269;1;0;1;0 
D00066;hsa2100;0.396426;0;0;0;0 
D00066;hsa7421;0.385150;0;0;0;0 
D00066;hsa8856;0.368512;0;0;0;0 
D00066;hsa6095;0.333083;0;0;0;0 
D00066;hsa9971;0.326903;0;0;0;0 
D00066;hsa2101;0.098526;0;0;0;0 
D00066;hsa2104;0.095510;0;0;0;0 
D00067;hsa2100;0.701031;1;1;0;0 
D00067;hsa367;0.624573;0;0;0;0 
D00067;hsa5241;0.571857;0;0;0;0 
D00067;hsa2908;0.371688;0;0;0;0 
D00067;hsa4306;0.320597;0;0;0;0 
D00067;hsa7421;0.291285;0;0;0;0 
D00067;hsa8856;0.281685;0;0;0;0 
D00067;hsa6095;0.228201;0;0;0;0 
D00067;hsa9971;0.216513;0;0;0;0 
D00067;hsa9970;0.175411;0;0;0;0 
D00075;hsa5241;0.901120;0;0;0;0 
D00075;hsa2099;0.731798;0;0;0;0 
D00075;hsa2908;0.637579;0;0;0;0 
D00075;hsa4306;0.588610;0;0;0;0 
D00075;hsa7421;0.383704;0;0;0;0 
D00075;hsa8856;0.335470;0;0;0;0 
D00075;hsa9971;0.330020;0;0;0;0 
D00075;hsa6095;0.306877;0;0;0;0 
D00075;hsa2100;0.289817;0;0;0;0 
D00075;hsa9970;0.102786;0;0;0;0 
D00088;hsa5241;0.902155;0;0;0;0 
D00088;hsa2099;0.654114;0;0;0;0 
D00088;hsa367;0.624006;0;0;0;0 
D00088;hsa4306;0.601426;0;0;0;0 
D00088;hsa7421;0.345337;0;0;0;0 
D00088;hsa8856;0.333720;0;0;0;0 
D00088;hsa2100;0.307186;0;0;0;0 
D00088;hsa9971;0.290428;0;0;0;0 
D00088;hsa6095;0.285619;0;0;0;0 
D00088;hsa2101;0.097973;0;0;0;0 
D00094;hsa3174;5.428920;0;0;0;0 
D00094;hsa4306;4.752039;0;0;0;0 
D00094;hsa8856;2.885731;0;0;0;0 
D00094;hsa7421;1.702609;0;0;0;0 
D00094;hsa6095;0.820656;0;0;0;0 
D00094;hsa2101;-1.117813;0;0;0;0 
D00094;hsa2103;-1.120317;0;0;0;0 
D00094;hsa2104;-1.125942;0;0;0;0 
D00094;hsa5241;-1.243303;0;0;0;0 
D00094;hsa5468;-2.147975;0;0;0;0 
D00105;hsa367;0.589135;0;0;0;0 
D00105;hsa5241;0.536378;0;0;0;0 
D00105;hsa2908;0.379129;0;0;0;0 
D00105;hsa7421;0.343027;0;0;0;0 
D00105;hsa4306;0.317122;0;0;0;0 
D00105;hsa8856;0.299970;1;0;1;0 
D00105;hsa6095;0.263031;0;0;0;0 
D00105;hsa9971;0.253122;0;0;0;0 
D00105;hsa2101;0.170346;0;0;0;0 
D00105;hsa2104;0.165328;0;0;0;0 
D00129;hsa2099;0.447259;0;0;0;0 
D00129;hsa5241;0.429499;0;0;0;0 
D00129;hsa2908;0.366541;0;0;0;0 
D00129;hsa367;0.356271;0;0;0;0 
D00129;hsa9971;0.340962;0;0;0;0 
D00129;hsa6095;0.338795;0;0;0;0 
D00129;hsa8856;0.322354;0;0;0;0 
D00129;hsa4306;0.290517;0;0;0;0 
D00129;hsa2100;0.286638;0;0;0;0 
D00129;hsa5914;0.140884;0;0;0;0 
D00143;hsa5241;0.720648;0;0;0;0 
D00143;hsa2099;0.586043;0;0;0;0 
D00143;hsa7421;0.527645;0;0;0;0 
D00143;hsa367;0.516506;0;0;0;0 
D00143;hsa2908;0.498196;0;0;0;0 
D00143;hsa4306;0.477140;0;0;0;0 
D00143;hsa6095;0.420125;0;0;0;0 
D00143;hsa9971;0.412055;0;0;0;0 
D00143;hsa2100;0.282068;0;0;0;0 
D00143;hsa9970;0.115848;0;0;0;0 
D00163;hsa7421;0.551992;0;0;0;0 
D00163;hsa2099;0.495119;0;0;0;0 
D00163;hsa5241;0.444702;0;0;0;0 
D00163;hsa367;0.390589;0;0;0;0 
D00163;hsa2908;0.390070;0;0;0;0 
D00163;hsa6095;0.375936;0;0;0;0 
D00163;hsa8856;0.357007;0;0;0;0 
D00163;hsa4306;0.354183;0;0;0;0 
D00163;hsa2100;0.327860;0;0;0;0 
D00163;hsa5468;0.166138;0;0;0;0 
D00182;hsa2099;0.807001;0;0;0;0 
D00182;hsa367;0.589452;0;0;0;0 
D00182;hsa2908;0.554938;0;0;0;0 
D00182;hsa4306;0.523667;0;0;0;0 
D00182;hsa7421;0.340350;0;0;0;0 
D00182;hsa2100;0.287703;0;0;0;0 
D00182;hsa8856;0.273855;0;0;0;0 
D00182;hsa6095;0.237933;0;0;0;0 
D00182;hsa9971;0.236743;0;0;0;0 
D00182;hsa9970;0.107652;0;0;0;0 
D00187;hsa5241;0.421331;0;0;0;0 
