drug;hits;possible_hits;ndcg;recall;total_known_targets
D00002;0;0;nan;nan;0 
D00005;2;3;0.765361;0.666667;3 
D00007;0;0;nan;nan;0 
D00014;0;7;0.000000;0.000000;7 
D00018;0;1;0.000000;0.000000;1 
D00021;0;0;nan;nan;0 
D00027;0;0;nan;nan;0 
D00029;0;0;nan;nan;0 
D00032;0;0;nan;nan;0 
D00035;0;3;0.000000;0.000000;3 
D00036;0;1;0.000000;0.000000;1 
D00037;0;0;nan;nan;0 
D00038;0;0;nan;nan;0 
D00039;0;0;nan;nan;0 
D00041;0;0;nan;nan;0 
D00043;4;10;0.554143;0.125000;32 
D00045;0;0;nan;nan;0 
D00049;0;0;nan;nan;0 
D00050;0;0;nan;nan;0 
D00052;0;0;nan;nan;0 
D00054;0;0;nan;nan;0 
D00055;0;0;nan;nan;0 
D00065;0;0;nan;nan;0 
D00070;0;0;nan;nan;0 
D00086;0;0;nan;nan;0 
D00094;0;0;nan;nan;0 
D00097;1;10;0.220092;0.066667;15 
D00103;0;0;nan;nan;0 
D00107;1;1;0.500000;1.000000;1 
D00109;1;4;0.123151;0.250000;4 
D00118;0;0;nan;nan;0 
D00120;1;2;0.204382;0.500000;2 
D00125;0;0;nan;nan;0 
D00126;2;3;0.765361;0.666667;3 
D00127;0;0;nan;nan;0 
D00129;0;0;nan;nan;0 
D00130;0;0;nan;nan;0 
D00131;0;0;nan;nan;0 
D00132;0;0;nan;nan;0 
D00136;0;10;0.000000;0.000000;10 
D00139;1;1;1.000000;1.000000;1 
D00141;1;4;0.112845;0.250000;4 
D00142;0;0;nan;nan;0 
D00145;1;1;1.000000;1.000000;1 
D00148;0;0;nan;nan;0 
D00151;0;0;nan;nan;0 
D00153;0;0;nan;nan;0 
D00155;0;0;nan;nan;0 
D00158;0;0;nan;nan;0 
D00160;1;1;0.630930;1.000000;1 
D00168;0;0;nan;nan;0 
D00169;1;10;0.220092;0.100000;10 
D00183;0;0;nan;nan;0 
D00184;0;1;0.000000;0.000000;1 
D00185;0;0;nan;nan;0 
D00186;0;0;nan;nan;0 
D00187;0;0;nan;nan;0 
D00188;0;0;nan;nan;0 
D00196;0;0;nan;nan;0 
D00198;0;0;nan;nan;0 
D00203;0;0;nan;nan;0 
D00208;0;4;0.000000;0.000000;4 
D00216;0;1;0.000000;0.000000;1 
D00217;1;10;0.220092;0.052632;19 
D00218;0;0;nan;nan;0 
D00219;0;0;nan;nan;0 
D00222;0;0;nan;nan;0 
D00224;0;0;nan;nan;0 
D00225;0;0;nan;nan;0 
D00227;0;0;nan;nan;0 
D00231;0;0;nan;nan;0 
D00234;0;0;nan;nan;0 
D00251;0;1;0.000000;0.000000;1 
D00252;0;1;0.000000;0.000000;1 
D00270;0;10;0.000000;0.000000;10 
D00274;0;0;nan;nan;0 
D00279;2;10;0.142795;0.038462;52 
D00283;0;1;0.000000;0.000000;1 
D00285;0;0;nan;nan;0 
D00293;0;1;0.000000;0.000000;1 
D00294;0;1;0.000000;0.000000;1 
D00298;0;0;nan;nan;0 
D00300;0;0;nan;nan;0 
D00315;0;0;nan;nan;0 
D00317;0;0;nan;nan;0 
D00322;0;0;nan;nan;0 
D00324;0;0;nan;nan;0 
D00325;0;0;nan;nan;0 
D00328;0;0;nan;nan;0 
D00330;0;1;0.000000;0.000000;1 
D00332;0;0;nan;nan;0 
D00333;0;0;nan;nan;0 
D00340;1;1;0.356207;1.000000;1 
D00342;0;0;nan;nan;0 
D00359;0;0;nan;nan;0 
D00362;0;0;nan;nan;0 
D00364;0;0;nan;nan;0 
D00369;0;0;nan;nan;0 
D00371;0;0;nan;nan;0 
D00377;2;4;0.307184;0.500000;4 
D00380;0;0;nan;nan;0 
D00383;0;0;nan;nan;0 
D00387;0;0;nan;nan;0 
D00391;1;1;1.000000;1.000000;1 
D00394;0;0;nan;nan;0 
D00398;0;0;nan;nan;0 
D00401;0;0;nan;nan;0 
D00410;3;3;1.000000;1.000000;3 
D00414;0;0;nan;nan;0 
D00416;0;0;nan;nan;0 
D00417;0;0;nan;nan;0 
D00418;1;3;0.202107;0.333333;3 
D00421;0;0;nan;nan;0 
D00423;1;1;0.630930;1.000000;1 
D00425;0;0;nan;nan;0 
D00434;0;0;nan;nan;0 
D00437;3;5;0.660140;0.600000;5 
D00448;2;3;0.765361;0.666667;3 
D00449;0;0;nan;nan;0 
D00451;0;0;nan;nan;0 
D00452;0;0;nan;nan;0 
D00454;0;0;nan;nan;0 
D00455;0;0;nan;nan;0 
D00459;0;0;nan;nan;0 
D00463;0;0;nan;nan;0 
D00475;0;0;nan;nan;0 
D00487;1;1;1.000000;1.000000;1 
D00488;0;0;nan;nan;0 
D00494;0;0;nan;nan;0 
D00496;0;0;nan;nan;0 
D00501;0;3;0.000000;0.000000;3 
D00503;0;0;nan;nan;0 
D00505;0;2;0.000000;0.000000;2 
D00510;0;0;nan;nan;0 
D00512;3;3;0.851959;1.000000;3 
D00513;0;1;0.000000;0.000000;1 
D00515;0;3;0.000000;0.000000;3 
D00516;0;0;nan;nan;0 
D00518;0;0;nan;nan;0 
D00519;1;1;0.386853;1.000000;1 
D00521;0;0;nan;nan;0 
D00528;3;6;0.644824;0.500000;6 
D00530;0;0;nan;nan;0 
D00533;0;0;nan;nan;0 
D00535;0;0;nan;nan;0 
D00536;0;0;nan;nan;0 
D00537;0;0;nan;nan;0 
D00538;2;2;0.422790;1.000000;2 
