drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00002;hsa3614;0.922583;0;0;0;0 
D00002;hsa132;0.902575;0;0;0;0 
D00002;hsa5422;0.900714;0;0;0;0 
D00002;hsa4860;0.871583;0;0;0;0 
D00002;hsa8854;0.868650;0;0;0;0 
D00002;hsa100;0.856066;0;0;0;0 
D00002;hsa6240;0.843999;0;0;0;0 
D00002;hsa28;0.829067;0;0;0;0 
D00002;hsa51181;0.819407;0;0;0;0 
D00002;hsa5836;0.809112;0;0;0;0 
D00005;hsa4128;0.937311;1;0;1;0 
D00005;hsa5447;0.864692;1;0;1;0 
D00005;hsa2950;0.804579;0;0;0;0 
D00005;hsa2328;0.787079;0;0;0;0 
D00005;hsa645;0.780478;0;0;0;0 
D00005;hsa5422;0.770620;0;0;0;0 
D00005;hsa189;0.770559;0;0;0;0 
D00005;hsa107;0.768873;0;0;0;0 
D00005;hsa759;0.760409;0;0;0;0 
D00005;hsa22954;0.755488;0;0;0;0 
D00007;hsa1806;0.909824;0;0;0;0 
D00007;hsa5095;0.885557;0;0;0;0 
D00007;hsa3735;0.870907;0;0;0;0 
D00007;hsa5096;0.870582;0;0;0;0 
D00007;hsa32;0.820923;0;0;0;0 
D00007;hsa4953;0.815336;0;0;0;0 
D00007;hsa834;0.813252;0;0;0;0 
D00007;hsa56922;0.792082;0;0;0;0 
D00007;hsa51601;0.779982;0;0;0;0 
D00007;hsa4200;0.777706;0;0;0;0 
D00014;hsa1636;0.841383;0;0;0;0 
D00014;hsa759;0.783947;0;0;0;0 
D00014;hsa5743;0.781725;0;0;0;0 
D00014;hsa5742;0.780081;0;0;0;0 
D00014;hsa2147;0.771698;0;0;0;0 
D00014;hsa7498;0.762617;0;0;0;0 
D00014;hsa760;0.757378;0;0;0;0 
D00014;hsa1806;0.754997;0;0;0;0 
D00014;hsa1719;0.754310;0;0;0;0 
D00014;hsa2326;0.748416;0;0;0;0 
D00018;hsa4129;0.841152;0;0;0;0 
D00018;hsa4128;0.838986;0;0;0;0 
D00018;hsa100;0.808586;0;0;0;0 
D00018;hsa43;0.784794;0;0;0;0 
D00018;hsa759;0.777009;0;0;0;0 
D00018;hsa760;0.755973;0;0;0;0 
D00018;hsa762;0.736595;0;0;0;0 
D00018;hsa1636;0.732680;0;0;0;0 
D00018;hsa3283;0.728018;0;0;0;0 
D00018;hsa5447;0.727952;0;0;0;0 
D00021;hsa189;0.917271;0;0;0;0 
D00021;hsa4942;0.824784;0;0;0;0 
D00021;hsa3735;0.819908;0;0;0;0 
D00021;hsa1719;0.800552;0;0;0;0 
D00021;hsa1610;0.798458;0;0;0;0 
D00021;hsa231;0.787901;0;0;0;0 
D00021;hsa7498;0.778472;0;0;0;0 
D00021;hsa43;0.778044;0;0;0;0 
D00021;hsa5743;0.775513;0;0;0;0 
D00021;hsa5742;0.770479;0;0;0;0 
D00027;hsa2746;0.909086;0;0;0;0 
D00027;hsa7298;0.857410;0;0;0;0 
D00027;hsa5095;0.842909;0;0;0;0 
D00027;hsa1723;0.831017;0;0;0;0 
D00027;hsa32;0.828458;0;0;0;0 
D00027;hsa5096;0.819226;0;0;0;0 
D00027;hsa7083;0.817447;0;0;0;0 
D00027;hsa151531;0.816236;0;0;0;0 
D00027;hsa7084;0.810318;0;0;0;0 
D00027;hsa30;0.796511;0;0;0;0 
D00029;hsa51601;0.909204;0;0;0;0 
D00029;hsa6897;0.907599;0;0;0;0 
D00029;hsa1806;0.873629;0;0;0;0 
D00029;hsa2746;0.854201;0;0;0;0 
D00029;hsa586;0.837386;0;0;0;0 
D00029;hsa834;0.833664;0;0;0;0 
D00029;hsa3735;0.818977;0;0;0;0 
D00029;hsa1719;0.796059;0;0;0;0 
D00029;hsa51;0.793465;0;0;0;0 
D00029;hsa30;0.785056;0;0;0;0 
D00032;hsa5321;0.883928;0;0;0;0 
D00032;hsa5743;0.821467;0;0;0;0 
D00032;hsa5742;0.817100;0;0;0;0 
D00032;hsa3735;0.816716;0;0;0;0 
D00032;hsa759;0.763502;0;0;0;0 
D00032;hsa760;0.737175;0;0;0;0 
D00032;hsa43;0.734347;0;0;0;0 
D00032;hsa7054;0.730467;0;0;0;0 
D00032;hsa231;0.730297;0;0;0;0 
D00032;hsa1991;0.726757;0;0;0;0 
D00035;hsa51601;0.797521;0;0;0;0 
D00035;hsa1719;0.793032;0;0;0;0 
D00035;hsa7298;0.780778;0;0;0;0 
D00035;hsa5447;0.778063;0;0;0;0 
D00035;hsa50484;0.767386;0;0;0;0 
D00035;hsa759;0.761602;0;0;0;0 
D00035;hsa31;0.759859;0;0;0;0 
D00035;hsa1723;0.759123;0;0;0;0 
D00035;hsa2147;0.754123;0;0;0;0 
D00035;hsa51;0.753187;0;0;0;0 
D00036;hsa4128;0.835281;0;0;0;0 
D00036;hsa4129;0.835211;0;0;0;0 
D00036;hsa231;0.802583;0;0;0;0 
D00036;hsa30;0.784454;0;0;0;0 
D00036;hsa5743;0.780581;0;0;0;0 
D00036;hsa5742;0.779657;0;0;0;0 
D00036;hsa43;0.778723;0;0;0;0 
D00036;hsa5321;0.758486;0;0;0;0 
D00036;hsa3156;0.714767;0;0;0;0 
D00036;hsa1636;0.707163;0;0;0;0 
D00037;hsa4200;0.880765;0;0;0;0 
D00037;hsa3156;0.837744;0;0;0;0 
D00037;hsa2147;0.811471;0;0;0;0 
D00037;hsa7155;0.803148;0;0;0;0 
D00037;hsa7153;0.800632;0;0;0;0 
D00037;hsa1363;0.785668;0;0;0;0 
D00037;hsa4129;0.773717;0;0;0;0 
D00037;hsa4128;0.773303;0;0;0;0 
D00037;hsa1719;0.771567;0;0;0;0 
D00037;hsa683;0.768737;0;0;0;0 
D00038;hsa5743;0.884265;0;0;0;0 
D00038;hsa5742;0.882939;0;0;0;0 
D00038;hsa4837;0.860782;0;0;0;0 
D00038;hsa4025;0.842807;0;0;0;0 
D00038;hsa4353;0.842618;0;0;0;0 
D00038;hsa23475;0.838450;0;0;0;0 
D00038;hsa240;0.815802;0;0;0;0 
D00038;hsa10549;0.814348;0;0;0;0 
D00038;hsa8288;0.809771;0;0;0;0 
D00038;hsa1735;0.804547;0;0;0;0 
D00039;hsa834;0.944207;0;0;0;0 
D00039;hsa6897;0.934380;0;0;0;0 
D00039;hsa36;0.906898;0;0;0;0 
D00039;hsa587;0.904668;0;0;0;0 
D00039;hsa38;0.897309;0;0;0;0 
D00039;hsa3376;0.890731;0;0;0;0 
D00039;hsa31;0.873481;0;0;0;0 
D00039;hsa56922;0.819778;0;0;0;0 
D00039;hsa30;0.812113;0;0;0;0 
D00039;hsa18;0.792624;0;0;0;0 
D00041;hsa586;0.942863;0;0;0;0 
D00041;hsa10295;0.918974;0;0;0;0 
D00041;hsa834;0.915260;0;0;0;0 
D00041;hsa57176;0.909931;0;0;0;0 
D00041;hsa31;0.909461;0;0;0;0 
D00041;hsa56922;0.872199;0;0;0;0 
D00041;hsa27034;0.865449;0;0;0;0 
D00041;hsa587;0.863075;0;0;0;0 
D00041;hsa3376;0.858891;0;0;0;0 
D00041;hsa38;0.856953;0;0;0;0 
D00043;hsa2147;0.946816;1;0;0;1 
D00043;hsa1991;0.929533;1;0;0;1 
D00043;hsa11330;0.927938;1;0;0;1 
D00043;hsa1504;0.927591;0;0;0;0 
D00043;hsa1990;0.892954;1;0;0;1 
D00043;hsa231;0.879253;0;0;0;0 
D00043;hsa279;0.873068;0;0;0;0 
D00043;hsa3735;0.872600;0;0;0;0 
D00043;hsa2638;0.858274;0;0;0;0 
D00043;hsa51601;0.857415;0;0;0;0 
D00045;hsa4860;0.957905;0;0;0;0 
D00045;hsa5422;0.935212;0;0;0;0 
D00045;hsa6240;0.934085;0;0;0;0 
D00045;hsa132;0.922764;0;0;0;0 
D00045;hsa100;0.883064;0;0;0;0 
D00045;hsa5836;0.871368;0;0;0;0 
D00045;hsa5834;0.844791;0;0;0;0 
D00045;hsa353;0.840625;0;0;0;0 
D00045;hsa3028;0.833956;0;0;0;0 
D00045;hsa5837;0.833825;0;0;0;0 
D00049;hsa25824;0.872728;0;0;0;0 
D00049;hsa5743;0.861341;0;0;0;0 
D00049;hsa5742;0.859921;0;0;0;0 
D00049;hsa1610;0.850998;0;0;0;0 
D00049;hsa240;0.824890;0;0;0;0 
D00049;hsa7054;0.800019;0;0;0;0 
D00049;hsa5321;0.797437;0;0;0;0 
D00049;hsa683;0.778395;0;0;0;0 
D00049;hsa231;0.769718;0;0;0;0 
D00049;hsa3156;0.744235;0;0;0;0 
D00050;hsa30;0.930597;0;0;0;0 
D00050;hsa28;0.859347;0;0;0;0 
D00050;hsa43;0.803714;0;0;0;0 
D00050;hsa7298;0.767279;0;0;0;0 
D00050;hsa27115;0.751194;0;0;0;0 
D00050;hsa5423;0.749159;0;0;0;0 
D00050;hsa5141;0.740214;0;0;0;0 
D00050;hsa5152;0.738978;0;0;0;0 
D00050;hsa6646;0.738603;0;0;0;0 
D00050;hsa759;0.738549;0;0;0;0 
D00052;hsa100;0.862685;0;0;0;0 
D00052;hsa3283;0.806643;0;0;0;0 
D00052;hsa1636;0.802643;0;0;0;0 
D00052;hsa5321;0.801243;0;0;0;0 
D00052;hsa3156;0.787335;0;0;0;0 
D00052;hsa5972;0.775010;0;0;0;0 
D00052;hsa4881;0.753000;0;0;0;0 
D00052;hsa2159;0.737133;0;0;0;0 
D00052;hsa8654;0.731577;0;0;0;0 
D00052;hsa2135;0.727978;0;0;0;0 
D00054;hsa107;0.919333;0;0;0;0 
