drug;hits;possible_hits;ndcg;recall;total_known_targets
D00049;1;1;1.000000;1.000000;1 
D00059;2;3;0.765361;0.666667;3 
D00079;3;3;0.906025;1.000000;3 
D00094;0;0;nan;nan;0 
D00095;6;6;0.960769;1.000000;6 
D00106;1;1;1.000000;1.000000;1 
D00110;1;2;0.204382;0.500000;2 
D00113;0;0;nan;nan;0 
D00136;6;10;0.573492;0.352941;17 
D00139;0;0;nan;nan;0 
D00180;0;0;nan;nan;0 
D00225;0;0;nan;nan;0 
D00227;0;0;nan;nan;0 
D00232;2;2;0.919721;1.000000;2 
D00234;0;0;nan;nan;0 
D00235;1;1;1.000000;1.000000;1 
D00241;0;0;nan;nan;0 
D00255;1;1;1.000000;1.000000;1 
D00270;9;10;0.933746;0.529412;17 
D00274;1;1;0.356207;1.000000;1 
D00281;1;10;0.220092;0.090909;11 
D00283;5;5;1.000000;1.000000;5 
D00295;0;0;nan;nan;0 
D00300;1;1;0.630930;1.000000;1 
D00301;0;0;nan;nan;0 
D00306;0;0;nan;nan;0 
D00318;0;0;nan;nan;0 
D00332;0;0;nan;nan;0 
D00336;0;0;nan;nan;0 
D00356;0;0;nan;nan;0 
D00364;0;0;nan;nan;0 
D00371;2;2;1.000000;1.000000;2 
D00380;0;0;nan;nan;0 
D00394;9;10;0.779908;0.450000;20 
D00397;2;3;0.703918;0.666667;3 
D00400;0;0;nan;nan;0 
D00410;0;0;nan;nan;0 
D00411;0;0;nan;nan;0 
D00415;2;2;1.000000;1.000000;2 
D00419;0;0;nan;nan;0 
D00422;0;0;nan;nan;0 
D00426;9;10;0.933746;0.642857;14 
D00432;0;0;nan;nan;0 
D00437;2;2;0.381622;1.000000;2 
D00440;0;0;nan;nan;0 
D00442;2;2;0.919721;1.000000;2 
D00443;0;0;nan;nan;0 
D00451;0;0;nan;nan;0 
D00454;7;10;0.644223;0.700000;10 
D00465;1;1;1.000000;1.000000;1 
D00480;9;10;0.930569;0.900000;10 
D00483;2;10;0.139618;0.181818;11 
D00493;0;0;nan;nan;0 
D00494;0;0;nan;nan;0 
D00498;1;1;1.000000;1.000000;1 
D00499;0;0;nan;nan;0 
D00503;0;0;nan;nan;0 
D00509;7;10;0.785916;0.333333;21 
D00513;0;0;nan;nan;0 
D00514;2;2;1.000000;1.000000;2 
D00520;2;2;0.501266;1.000000;2 
D00521;0;0;nan;nan;0 
D00522;0;0;nan;nan;0 
D00523;0;0;nan;nan;0 
D00524;3;3;0.906025;1.000000;3 
D00525;4;4;0.955830;1.000000;4 
D00528;0;5;0.000000;0.000000;5 
D00540;1;1;1.000000;1.000000;1 
D00542;0;1;0.000000;0.000000;1 
D00559;6;10;0.715551;0.461538;13 
D00560;0;3;0.000000;0.000000;3 
D00563;9;10;0.930569;0.562500;16 
D00574;0;0;nan;nan;0 
D00598;0;0;nan;nan;0 
D00601;0;0;nan;nan;0 
D00604;4;10;0.517363;0.307692;13 
D00606;0;0;nan;nan;0 
D00607;0;0;nan;nan;0 
D00609;3;4;0.553486;0.750000;4 
D00613;3;3;0.505128;1.000000;3 
D00627;0;0;nan;nan;0 
D00632;1;1;1.000000;1.000000;1 
D00635;0;0;nan;nan;0 
D00645;0;0;nan;nan;0 
D00646;3;3;0.906025;1.000000;3 
D00665;0;0;nan;nan;0 
D00666;0;0;nan;nan;0 
D00673;0;0;nan;nan;0 
D00674;4;4;0.982892;1.000000;4 
D00675;1;1;1.000000;1.000000;1 
D00676;7;8;0.866851;0.875000;8 
D00682;1;1;0.430677;1.000000;1 
D00683;2;2;1.000000;1.000000;2 
D00684;0;0;nan;nan;0 
D00687;0;0;nan;nan;0 
D00688;5;7;0.729012;0.714286;7 
D00715;4;4;0.955830;1.000000;4 
D00726;1;1;1.000000;1.000000;1 
D00760;0;0;nan;nan;0 
D00765;0;0;nan;nan;0 
D00769;0;0;nan;nan;0 
D00775;0;0;nan;nan;0 
D00779;3;3;0.906025;1.000000;3 
D00780;8;10;0.835780;0.470588;17 
D00790;5;10;0.573690;0.500000;10 
D00837;1;1;1.000000;1.000000;1 
D00838;1;1;1.000000;1.000000;1 
D00845;2;2;1.000000;1.000000;2 
D00954;0;0;nan;nan;0 
D00965;0;0;nan;nan;0 
D00987;8;10;0.851236;0.421053;19 
D00996;0;0;nan;nan;0 
D01020;0;0;nan;nan;0 
D01022;0;0;nan;nan;0 
D01024;0;0;nan;nan;0 
D01051;1;1;0.500000;1.000000;1 
D01071;0;0;nan;nan;0 
D01103;4;4;0.955830;1.000000;4 
D01118;4;4;0.955830;1.000000;4 
D01126;0;0;nan;nan;0 
D01164;8;10;0.797517;0.421053;19 
D01227;0;0;nan;nan;0 
D01236;0;0;nan;nan;0 
D01242;9;10;0.933746;0.900000;10 
D01269;4;4;0.904717;1.000000;4 
D01295;3;5;0.481606;0.600000;5 
D01297;0;0;nan;nan;0 
D01324;0;0;nan;nan;0 
D01332;0;0;nan;nan;0 
D01346;0;0;nan;nan;0 
D01352;0;0;nan;nan;0 
D01358;8;10;0.860382;0.470588;17 
D01386;7;8;0.891064;0.875000;8 
D01390;1;10;0.066254;0.062500;16 
D01441;0;0;nan;nan;0 
D01454;0;0;nan;nan;0 
D01462;7;10;0.769526;0.538462;13 
D01603;3;3;0.967468;1.000000;3 
D01652;0;0;nan;nan;0 
D01692;2;2;1.000000;1.000000;2 
D01699;4;4;0.955830;1.000000;4 
D01712;1;1;1.000000;1.000000;1 
D01713;0;1;0.000000;0.000000;1 
D01717;0;0;nan;nan;0 
D01745;1;1;1.000000;1.000000;1 
D01782;0;0;nan;nan;0 
D01828;0;0;nan;nan;0 
D01871;0;0;nan;nan;0 
D01891;1;1;0.630930;1.000000;1 
D01925;0;0;nan;nan;0 
D01964;0;0;nan;nan;0 
D01965;0;0;nan;nan;0 
D01973;0;0;nan;nan;0 
D01994;0;0;nan;nan;0 
D02007;0;0;nan;nan;0 
D02066;1;10;0.066254;0.062500;16 
D02070;0;0;nan;nan;0 
D02076;0;0;nan;nan;0 
D02082;0;0;nan;nan;0 
D02147;2;2;1.000000;1.000000;2 
D02149;0;0;nan;nan;0 
D02150;0;0;nan;nan;0 
D02234;2;10;0.148764;0.133333;15 
D02237;0;1;0.000000;0.000000;1 
D02250;1;1;0.630930;1.000000;1 
D02278;0;0;nan;nan;0 
D02279;0;0;nan;nan;0 
D02327;0;0;nan;nan;0 
D02338;0;0;nan;nan;0 
D02340;9;10;0.936379;0.360000;25 
D02342;0;0;nan;nan;0 
D02349;8;8;1.000000;1.000000;8 
D02354;0;0;nan;nan;0 
D02356;0;1;0.000000;0.000000;1 
D02357;3;8;0.347541;0.375000;8 
D02358;1;1;1.000000;1.000000;1 
D02359;0;0;nan;nan;0 
D02361;0;0;nan;nan;0 
D02374;0;0;nan;nan;0 
D02566;8;10;0.841591;0.571429;14 
D02578;0;0;nan;nan;0 
D02588;0;0;nan;nan;0 
D02614;0;0;nan;nan;0 
D02671;0;0;nan;nan;0 
D02721;0;0;nan;nan;0 
D02725;1;1;1.000000;1.000000;1 
D02826;0;0;nan;nan;0 
D02884;0;0;nan;nan;0 
D02910;2;2;0.693426;1.000000;2 
D03165;8;10;0.848603;0.470588;17 
D03187;0;0;nan;nan;0 
D03210;0;0;nan;nan;0 
D03274;7;10;0.763095;0.333333;21 
D03365;0;0;nan;nan;0 
D03415;6;6;0.904540;1.000000;6 
D03442;0;0;nan;nan;0 
D03490;1;1;1.000000;1.000000;1 
D03503;0;0;nan;nan;0 
D03621;0;0;nan;nan;0 
D03642;0;0;nan;nan;0 
D03654;4;4;0.955830;1.000000;4 
D03858;0;0;nan;nan;0 
D03879;0;0;nan;nan;0 
D03880;1;1;1.000000;1.000000;1 
D03881;1;1;1.000000;1.000000;1 
D03966;0;0;nan;nan;0 
D04006;3;3;1.000000;1.000000;3 
D04034;6;10;0.699474;0.285714;21 
D04040;0;0;nan;nan;0 
D04375;2;2;1.000000;1.000000;2 
D04625;1;1;1.000000;1.000000;1 
D04716;0;0;nan;nan;0 
D04979;0;0;nan;nan;0 
D05113;2;2;1.000000;1.000000;2 
