drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00049;hsa8843;0.907703;1;0;1;0 
D00049;hsa185;0.727639;0;0;0;0 
D00049;hsa154;0.712188;0;0;0;0 
D00049;hsa153;0.689806;0;0;0;0 
D00049;hsa3577;0.665730;0;0;0;0 
D00049;hsa222545;0.624499;0;0;0;0 
D00049;hsa1813;0.613097;0;0;0;0 
D00049;hsa1128;0.605993;0;0;0;0 
D00049;hsa4988;0.603404;0;0;0;0 
D00049;hsa6010;0.597581;0;0;0;0 
D00059;hsa1814;0.931127;1;1;1;0 
D00059;hsa1816;0.881399;1;1;1;0 
D00059;hsa154;0.804541;0;0;0;0 
D00059;hsa3356;0.795459;0;0;0;0 
D00059;hsa3269;0.775413;0;0;0;0 
D00059;hsa153;0.770575;0;0;0;0 
D00059;hsa150;0.762110;0;0;0;0 
D00059;hsa151;0.751384;0;0;0;0 
D00059;hsa148;0.744280;0;0;0;0 
D00059;hsa4985;0.651287;0;0;0;0 
D00079;hsa5731;0.941942;1;0;1;0 
D00079;hsa5737;0.906000;0;0;0;0 
D00079;hsa5732;0.870486;1;1;1;0 
D00079;hsa5733;0.791449;1;0;1;0 
D00079;hsa64805;0.723763;0;0;0;0 
D00079;hsa6915;0.714098;0;0;0;0 
D00079;hsa154;0.711709;0;0;0;0 
D00079;hsa153;0.701301;0;0;0;0 
D00079;hsa3269;0.650125;0;0;0;0 
D00079;hsa4988;0.631017;0;0;0;0 
D00094;hsa185;0.773193;0;0;0;0 
D00094;hsa1128;0.720709;0;0;0;0 
D00094;hsa150;0.683609;0;0;0;0 
D00094;hsa1129;0.675475;0;0;0;0 
D00094;hsa3269;0.662581;0;0;0;0 
D00094;hsa152;0.631487;0;0;0;0 
D00094;hsa151;0.629329;0;0;0;0 
D00094;hsa154;0.617708;0;0;0;0 
D00094;hsa4988;0.601763;0;0;0;0 
D00094;hsa23620;0.578044;0;0;0;0 
D00095;hsa155;0.940071;1;1;1;0 
D00095;hsa146;0.842186;1;1;1;0 
D00095;hsa147;0.831339;1;1;1;0 
D00095;hsa3274;0.762238;0;0;0;0 
D00095;hsa150;0.676406;1;1;1;0 
D00095;hsa151;0.671383;1;1;1;0 
D00095;hsa3360;0.555688;0;0;0;0 
D00095;hsa1812;0.537359;0;0;0;0 
D00095;hsa152;0.537266;1;1;1;0 
D00095;hsa3269;0.531445;0;0;0;0 
D00106;hsa5739;0.805892;1;1;1;0 
D00106;hsa5731;0.738412;0;0;0;0 
D00106;hsa5737;0.723369;0;0;0;0 
D00106;hsa4988;0.708229;0;0;0;0 
D00106;hsa185;0.707933;0;0;0;0 
D00106;hsa134;0.679691;0;0;0;0 
D00106;hsa136;0.667929;0;0;0;0 
D00106;hsa135;0.652286;0;0;0;0 
D00106;hsa154;0.643070;0;0;0;0 
D00106;hsa1128;0.635878;0;0;0;0 
D00110;hsa4988;0.931873;0;0;0;0 
D00110;hsa1813;0.928317;0;0;0;0 
D00110;hsa4985;0.895145;0;0;0;0 
D00110;hsa1816;0.862505;0;0;0;0 
D00110;hsa3269;0.766664;0;0;0;0 
D00110;hsa3356;0.697207;0;0;0;0 
D00110;hsa1128;0.687305;1;0;1;0 
D00110;hsa154;0.679160;0;0;0;0 
D00110;hsa185;0.673399;0;0;0;0 
D00110;hsa3360;0.667280;0;0;0;0 
D00113;hsa3269;0.936278;0;0;0;0 
D00113;hsa1813;0.648265;0;0;0;0 
D00113;hsa4988;0.629282;0;0;0;0 
D00113;hsa3358;0.570224;0;0;0;0 
D00113;hsa154;0.567054;0;0;0;0 
D00113;hsa1815;0.562958;0;0;0;0 
D00113;hsa3356;0.560831;0;0;0;0 
D00113;hsa3577;0.549081;0;0;0;0 
D00113;hsa11255;0.541475;0;0;0;0 
D00113;hsa8843;0.510990;0;0;0;0 
D00136;hsa152;0.919899;0;0;0;0 
D00136;hsa1812;0.904972;1;0;1;0 
D00136;hsa148;0.901064;1;0;0;1 
D00136;hsa3356;0.885969;1;0;1;0 
D00136;hsa146;0.870714;1;0;0;1 
D00136;hsa147;0.856573;1;0;0;1 
D00136;hsa1816;0.799201;0;0;0;0 
D00136;hsa3269;0.725857;0;0;0;0 
D00136;hsa3358;0.697801;1;0;0;1 
D00136;hsa1815;0.622077;0;0;0;0 
D00139;hsa185;0.793167;0;0;0;0 
D00139;hsa154;0.667299;0;0;0;0 
D00139;hsa150;0.663563;0;0;0;0 
D00139;hsa153;0.652562;0;0;0;0 
D00139;hsa4988;0.620268;0;0;0;0 
D00139;hsa136;0.618639;0;0;0;0 
D00139;hsa134;0.596724;0;0;0;0 
D00139;hsa1813;0.595125;0;0;0;0 
D00139;hsa8843;0.582632;0;0;0;0 
D00139;hsa1234;0.582523;0;0;0;0 
D00180;hsa5733;0.942957;0;0;0;0 
D00180;hsa5737;0.939642;0;0;0;0 
D00180;hsa6915;0.820854;0;0;0;0 
D00180;hsa4988;0.680603;0;0;0;0 
D00180;hsa5729;0.677384;0;0;0;0 
D00180;hsa64805;0.654855;0;0;0;0 
D00180;hsa153;0.638273;0;0;0;0 
D00180;hsa154;0.637655;0;0;0;0 
D00180;hsa3274;0.615052;0;0;0;0 
D00180;hsa10800;0.594109;0;0;0;0 
D00225;hsa185;0.797381;0;0;0;0 
D00225;hsa150;0.680489;0;0;0;0 
D00225;hsa1813;0.663329;0;0;0;0 
D00225;hsa148;0.659882;0;0;0;0 
D00225;hsa154;0.603602;0;0;0;0 
D00225;hsa153;0.595537;0;0;0;0 
D00225;hsa4988;0.592707;0;0;0;0 
D00225;hsa8843;0.591479;0;0;0;0 
D00225;hsa151;0.590233;0;0;0;0 
D00225;hsa1234;0.589150;0;0;0;0 
D00227;hsa136;0.945137;0;0;0;0 
D00227;hsa3577;0.854606;0;0;0;0 
D00227;hsa64805;0.774109;0;0;0;0 
D00227;hsa185;0.768488;0;0;0;0 
D00227;hsa150;0.672349;0;0;0;0 
D00227;hsa154;0.642423;0;0;0;0 
D00227;hsa5731;0.615789;0;0;0;0 
D00227;hsa6915;0.611860;0;0;0;0 
D00227;hsa153;0.609565;0;0;0;0 
D00227;hsa5029;0.598478;0;0;0;0 
D00232;hsa1132;0.914212;1;1;0;0 
D00232;hsa3269;0.904487;0;0;0;0 
D00232;hsa1133;0.879230;1;1;0;0 
D00232;hsa4988;0.659388;0;0;0;0 
D00232;hsa1813;0.627981;0;0;0;0 
D00232;hsa3577;0.557906;0;0;0;0 
D00232;hsa8843;0.550128;0;0;0;0 
D00232;hsa185;0.548019;0;0;0;0 
D00232;hsa154;0.547162;0;0;0;0 
