drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00035;hsa6530;0.988934;0;0;0;0 
D00035;hsa6532;0.984700;0;0;0;0 
D00035;hsa6531;0.971736;0;0;0;0 
D00035;hsa6529;0.878262;0;0;0;0 
D00035;hsa3359;0.783687;0;0;0;0 
D00035;hsa2554;0.721977;0;0;0;0 
D00035;hsa1135;0.717633;0;0;0;0 
D00035;hsa6331;0.707350;0;0;0;0 
D00035;hsa116443;0.686180;0;0;0;0 
D00035;hsa3782;0.684985;0;0;0;0 
D00110;hsa11254;0.889649;0;0;0;0 
D00110;hsa6534;0.857479;0;0;0;0 
D00110;hsa6323;0.851284;1;1;0;0 
D00110;hsa6328;0.826327;1;1;0;0 
D00110;hsa6329;0.809486;1;1;0;0 
D00110;hsa6326;0.783210;1;1;0;0 
D00110;hsa6334;0.771827;1;1;0;0 
D00110;hsa3359;0.735850;0;0;0;0 
D00110;hsa6335;0.735154;1;1;0;0 
D00110;hsa116443;0.702965;0;0;0;0 
D00136;hsa116443;0.929124;0;0;0;0 
D00136;hsa3757;0.859885;0;0;0;0 
D00136;hsa2554;0.826739;0;0;0;0 
D00136;hsa3763;0.767087;0;0;0;0 
D00136;hsa8913;0.762838;0;0;0;0 
D00136;hsa3767;0.758930;0;0;0;0 
D00136;hsa8911;0.747503;0;0;0;0 
D00136;hsa6323;0.729317;0;0;0;0 
D00136;hsa6331;0.722766;0;0;0;0 
D00136;hsa1135;0.708484;0;0;0;0 
D00195;hsa1141;0.966487;0;0;0;0 
D00195;hsa1145;0.885858;0;0;0;0 
D00195;hsa3359;0.869743;0;0;0;0 
D00195;hsa9312;0.781038;0;0;0;0 
D00195;hsa1144;0.774668;0;0;0;0 
D00195;hsa2554;0.772475;0;0;0;0 
D00195;hsa1140;0.709062;0;0;0;0 
D00195;hsa3752;0.706774;0;0;0;0 
D00195;hsa9177;0.698164;0;0;0;0 
D00195;hsa285242;0.689004;0;0;0;0 
D00219;hsa3767;0.954905;0;0;0;0 
D00219;hsa6833;0.920040;1;1;0;0 
D00219;hsa1080;0.792878;0;0;0;0 
D00219;hsa3757;0.743613;0;0;0;0 
D00219;hsa3782;0.733117;0;0;0;0 
D00219;hsa3763;0.720722;0;0;0;0 
D00219;hsa3781;0.679285;0;0;0;0 
D00219;hsa3778;0.660687;0;0;0;0 
D00219;hsa6530;0.657479;0;0;0;0 
D00219;hsa6331;0.651395;0;0;0;0 
D00225;hsa2741;0.882316;0;0;0;0 
D00225;hsa2570;0.880492;0;0;0;0 
D00225;hsa2743;0.836485;0;0;0;0 
D00225;hsa2742;0.822204;0;0;0;0 
D00225;hsa3736;0.727840;0;0;0;0 
D00225;hsa2890;0.718624;0;0;0;0 
D00225;hsa116443;0.705400;0;0;0;0 
D00225;hsa6530;0.700790;0;0;0;0 
D00225;hsa1135;0.698070;0;0;0;0 
D00225;hsa1141;0.679050;0;0;0;0 
D00227;hsa3782;0.814937;0;0;0;0 
D00227;hsa3781;0.788279;0;0;0;0 
D00227;hsa3758;0.784905;0;0;0;0 
D00227;hsa6833;0.778113;0;0;0;0 
D00227;hsa5026;0.750070;0;0;0;0 
D00227;hsa3757;0.704545;0;0;0;0 
D00227;hsa5024;0.698193;0;0;0;0 
D00227;hsa5027;0.695079;0;0;0;0 
D00227;hsa5025;0.693106;0;0;0;0 
D00227;hsa9127;0.686188;0;0;0;0 
D00228;hsa6531;0.947958;1;0;1;0 
D00228;hsa11254;0.850830;0;0;0;0 
D00228;hsa6534;0.828202;0;0;0;0 
D00228;hsa6529;0.800311;0;0;0;0 
D00228;hsa3359;0.784005;1;0;1;0 
D00228;hsa3782;0.766937;0;0;0;0 
D00228;hsa3758;0.736283;0;0;0;0 
D00228;hsa116443;0.730352;0;0;0;0 
D00228;hsa6331;0.709469;0;0;0;0 
D00228;hsa285242;0.691462;0;0;0;0 
D00234;hsa27133;0.822765;0;0;0;0 
D00234;hsa3783;0.775281;0;0;0;0 
D00234;hsa3776;0.740724;0;0;0;0 
D00234;hsa3758;0.731150;0;0;0;0 
D00234;hsa90134;0.719094;0;0;0;0 
D00234;hsa3744;0.717689;0;0;0;0 
D00234;hsa775;0.713586;0;0;0;0 
D00234;hsa9424;0.712692;0;0;0;0 
D00234;hsa81033;0.710219;0;0;0;0 
D00234;hsa8913;0.707433;0;0;0;0 
D00252;hsa6323;0.890235;1;1;0;0 
D00252;hsa6326;0.832212;1;1;0;0 
D00252;hsa6334;0.831545;1;1;0;0 
D00252;hsa6335;0.806706;1;1;0;0 
D00252;hsa8913;0.785250;0;0;0;0 
D00252;hsa8911;0.741712;0;0;0;0 
D00252;hsa8645;0.731286;0;0;0;0 
D00252;hsa8912;0.700484;0;0;0;0 
D00252;hsa3782;0.668822;0;0;0;0 
D00252;hsa3763;0.652037;0;0;0;0 
D00274;hsa27133;0.820102;0;0;0;0 
D00274;hsa3758;0.771093;0;0;0;0 
D00274;hsa3783;0.768458;0;0;0;0 
D00274;hsa3776;0.752690;0;0;0;0 
D00274;hsa3767;0.734890;0;0;0;0 
D00274;hsa3744;0.719874;0;0;0;0 
D00274;hsa3782;0.708509;0;0;0;0 
D00274;hsa90134;0.705674;0;0;0;0 
D00274;hsa81033;0.702087;0;0;0;0 
D00274;hsa3781;0.697842;0;0;0;0 
D00283;hsa170572;0.927938;0;0;0;0 
D00283;hsa200909;0.924720;0;0;0;0 
D00283;hsa6530;0.807926;0;0;0;0 
D00283;hsa6532;0.788612;0;0;0;0 
D00283;hsa1135;0.757935;0;0;0;0 
D00283;hsa3782;0.746146;0;0;0;0 
D00283;hsa1141;0.714398;0;0;0;0 
D00283;hsa3781;0.708379;0;0;0;0 
D00283;hsa3758;0.686013;0;0;0;0 
D00283;hsa6331;0.676444;0;0;0;0 
