drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00040;hsa5468;0.646305;0;0;0;0 
D00040;hsa2099;0.641399;0;0;0;0 
D00040;hsa5465;0.619128;0;0;0;0 
D00040;hsa7421;0.583517;0;0;0;0 
D00040;hsa8856;0.567576;0;0;0;0 
D00040;hsa367;0.563850;0;0;0;0 
D00040;hsa5241;0.554203;0;0;0;0 
D00040;hsa2908;0.487278;0;0;0;0 
D00040;hsa2100;0.425746;0;0;0;0 
D00040;hsa6096;0.420356;0;0;0;0 
D00066;hsa367;0.722147;0;0;0;0 
D00066;hsa2908;0.647510;0;0;0;0 
D00066;hsa2100;0.605880;0;0;0;0 
D00066;hsa4306;0.572177;1;0;1;0 
D00066;hsa8856;0.463354;0;0;0;0 
D00066;hsa7421;0.429389;0;0;0;0 
D00066;hsa6095;0.383766;0;0;0;0 
D00066;hsa2104;0.368144;0;0;0;0 
D00066;hsa2101;0.364354;0;0;0;0 
D00066;hsa3174;0.344095;0;0;0;0 
D00067;hsa2100;0.768082;1;1;0;0 
D00067;hsa5241;0.684775;0;0;0;0 
D00067;hsa367;0.682739;0;0;0;0 
D00067;hsa2908;0.517191;0;0;0;0 
D00067;hsa2101;0.450238;0;0;0;0 
D00067;hsa2104;0.448452;0;0;0;0 
D00067;hsa8856;0.438130;0;0;0;0 
D00067;hsa4306;0.436266;0;0;0;0 
D00067;hsa6095;0.405104;0;0;0;0 
D00067;hsa7421;0.400868;0;0;0;0 
D00075;hsa5241;0.770684;0;0;0;0 
D00075;hsa2099;0.718422;0;0;0;0 
D00075;hsa2908;0.694233;0;0;0;0 
D00075;hsa4306;0.604726;0;0;0;0 
D00075;hsa7421;0.440820;0;0;0;0 
D00075;hsa2100;0.403707;0;0;0;0 
D00075;hsa8856;0.397741;0;0;0;0 
D00075;hsa6095;0.372113;0;0;0;0 
D00075;hsa5468;0.365017;0;0;0;0 
D00075;hsa9970;0.331743;0;0;0;0 
D00088;hsa367;0.808296;0;0;0;0 
D00088;hsa5241;0.784484;0;0;0;0 
D00088;hsa2099;0.705543;0;0;0;0 
D00088;hsa4306;0.639044;0;0;0;0 
D00088;hsa7421;0.447437;0;0;0;0 
D00088;hsa2100;0.413674;0;0;0;0 
D00088;hsa8856;0.412548;0;0;0;0 
D00088;hsa6095;0.390016;0;0;0;0 
D00088;hsa5468;0.328679;0;0;0;0 
D00088;hsa9970;0.324473;0;0;0;0 
D00094;hsa7421;0.634305;0;0;0;0 
D00094;hsa5465;0.607785;0;0;0;0 
D00094;hsa5468;0.601762;0;0;0;0 
D00094;hsa6095;0.571536;0;0;0;0 
D00094;hsa8856;0.553636;0;0;0;0 
D00094;hsa2099;0.545655;0;0;0;0 
D00094;hsa9970;0.483342;0;0;0;0 
D00094;hsa9971;0.482166;0;0;0;0 
D00094;hsa367;0.441773;0;0;0;0 
D00094;hsa3174;0.384843;0;0;0;0 
D00105;hsa367;0.664468;0;0;0;0 
D00105;hsa5241;0.661332;0;0;0;0 
D00105;hsa2908;0.499786;0;0;0;0 
D00105;hsa2101;0.489627;0;0;0;0 
D00105;hsa2104;0.486195;0;0;0;0 
D00105;hsa8856;0.432338;1;0;1;0 
D00105;hsa2103;0.419702;0;0;0;0 
D00105;hsa4306;0.419276;0;0;0;0 
D00105;hsa6095;0.415556;0;0;0;0 
D00105;hsa3174;0.407878;0;0;0;0 
D00129;hsa8856;0.738637;0;0;0;0 
D00129;hsa2099;0.570959;0;0;0;0 
D00129;hsa9970;0.569815;0;0;0;0 
D00129;hsa367;0.555549;0;0;0;0 
D00129;hsa5468;0.549560;0;0;0;0 
D00129;hsa6095;0.515947;0;0;0;0 
D00129;hsa5465;0.492835;0;0;0;0 
D00129;hsa9971;0.488439;0;0;0;0 
D00129;hsa2908;0.465930;0;0;0;0 
D00129;hsa5241;0.452881;0;0;0;0 
D00143;hsa7421;0.677978;0;0;0;0 
D00143;hsa2099;0.662616;0;0;0;0 
D00143;hsa5241;0.578498;0;0;0;0 
D00143;hsa367;0.559347;0;0;0;0 
D00143;hsa6095;0.514109;0;0;0;0 
D00143;hsa9970;0.508539;0;0;0;0 
D00143;hsa2908;0.504544;0;0;0;0 
D00143;hsa4306;0.469525;0;0;0;0 
D00143;hsa5465;0.462427;0;0;0;0 
D00143;hsa2100;0.434106;0;0;0;0 
D00163;hsa7421;0.783013;0;0;0;0 
D00163;hsa8856;0.723427;0;0;0;0 
D00163;hsa367;0.642826;0;0;0;0 
D00163;hsa9970;0.640164;0;0;0;0 
D00163;hsa2099;0.558320;0;0;0;0 
D00163;hsa6095;0.506551;0;0;0;0 
D00163;hsa2908;0.498477;0;0;0;0 
D00163;hsa5241;0.489509;0;0;0;0 
D00163;hsa5468;0.466758;0;0;0;0 
D00163;hsa5465;0.432321;0;0;0;0 
D00182;hsa2099;0.817781;0;0;0;0 
D00182;hsa367;0.768502;0;0;0;0 
D00182;hsa2908;0.696272;0;0;0;0 
D00182;hsa4306;0.626892;0;0;0;0 
D00182;hsa2100;0.523629;0;0;0;0 
D00182;hsa6095;0.379492;0;0;0;0 
D00182;hsa8856;0.375681;0;0;0;0 
D00182;hsa7421;0.370968;0;0;0;0 
D00182;hsa2104;0.324527;0;0;0;0 
D00182;hsa3174;0.323080;0;0;0;0 
D00187;hsa8856;0.743099;0;0;0;0 
D00187;hsa2099;0.580604;0;0;0;0 
D00187;hsa9970;0.561893;0;0;0;0 
D00187;hsa367;0.560614;0;0;0;0 
D00187;hsa5468;0.529720;0;0;0;0 
D00187;hsa6095;0.495100;0;0;0;0 
D00187;hsa9971;0.491986;0;0;0;0 
D00187;hsa2908;0.472283;0;0;0;0 
D00187;hsa5465;0.470087;0;0;0;0 
D00187;hsa5241;0.466691;0;0;0;0 
D00188;hsa8856;0.754756;0;0;0;0 
D00188;hsa2099;0.571635;0;0;0;0 
D00188;hsa9970;0.564270;0;0;0;0 
D00188;hsa367;0.557133;0;0;0;0 
D00188;hsa5468;0.536357;0;0;0;0 
D00188;hsa6095;0.500904;0;0;0;0 
D00188;hsa9971;0.488617;0;0;0;0 
D00188;hsa5241;0.485824;0;0;0;0 
D00188;hsa2908;0.485207;0;0;0;0 
D00188;hsa5465;0.481057;0;0;0;0 
D00211;hsa7421;0.727474;0;0;0;0 
D00211;hsa2099;0.654087;0;0;0;0 
D00211;hsa9970;0.579796;0;0;0;0 
D00211;hsa367;0.538583;0;0;0;0 
D00211;hsa5241;0.518054;0;0;0;0 
D00211;hsa2908;0.485734;0;0;0;0 
D00211;hsa6095;0.481758;0;0;0;0 
D00211;hsa9971;0.460249;0;0;0;0 
D00211;hsa5465;0.449287;0;0;0;0 
D00211;hsa2100;0.444144;0;0;0;0 
D00246;hsa367;0.783257;0;0;0;0 
D00246;hsa5241;0.779300;0;0;0;0 
D00246;hsa2099;0.670767;0;0;0;0 
D00246;hsa4306;0.621671;0;0;0;0 
D00246;hsa7421;0.473203;0;0;0;0 
D00246;hsa8856;0.457109;0;0;0;0 
D00246;hsa6095;0.398402;0;0;0;0 
D00246;hsa2100;0.379254;0;0;0;0 
D00246;hsa9970;0.357645;0;0;0;0 
D00246;hsa5468;0.342858;0;0;0;0 
D00279;hsa5468;0.793215;0;0;0;0 
D00279;hsa6095;0.726193;0;0;0;0 
D00279;hsa8856;0.620368;0;0;0;0 
D00279;hsa5914;0.614978;0;0;0;0 
D00279;hsa7421;0.591429;0;0;0;0 
D00279;hsa2099;0.584421;0;0;0;0 
D00279;hsa5915;0.571040;0;0;0;0 
D00279;hsa6258;0.550677;0;0;0;0 
D00279;hsa6096;0.541869;0;0;0;0 
D00279;hsa5916;0.531888;0;0;0;0 
D00299;hsa8856;0.742400;0;0;0;0 
D00299;hsa367;0.581706;0;0;0;0 
D00299;hsa9970;0.572602;0;0;0;0 
D00299;hsa2099;0.569067;0;0;0;0 
D00299;hsa5468;0.527475;0;0;0;0 
D00299;hsa9971;0.499377;0;0;0;0 
D00299;hsa2908;0.478700;0;0;0;0 
D00299;hsa6095;0.477052;0;0;0;0 
D00299;hsa5241;0.475918;0;0;0;0 
D00299;hsa5465;0.471182;0;0;0;0 
D00312;hsa2100;0.780573;1;1;0;0 
D00312;hsa5241;0.687627;0;0;0;0 
D00312;hsa367;0.652315;0;0;0;0 
