drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00002;hsa8854;0.000106;0;0;0;0 
D00002;hsa2950;0.000095;0;0;0;0 
D00002;hsa219;0.000094;0;0;0;0 
D00002;hsa223;0.000093;0;0;0;0 
D00002;hsa501;0.000093;0;0;0;0 
D00002;hsa1621;0.000093;0;0;0;0 
D00002;hsa218;0.000092;0;0;0;0 
D00002;hsa224;0.000092;0;0;0;0 
D00002;hsa444;0.000092;0;0;0;0 
D00002;hsa3614;0.000082;0;0;0;0 
D00005;hsa4128;0.000535;1;0;1;0 
D00005;hsa9601;0.000132;0;0;0;0 
D00005;hsa1429;0.000130;0;0;0;0 
D00005;hsa2766;0.000130;0;0;0;0 
D00005;hsa51292;0.000130;0;0;0;0 
D00005;hsa5447;0.000109;1;0;1;0 
D00005;hsa79001;0.000107;0;0;0;0 
D00005;hsa2950;0.000079;0;0;0;0 
D00005;hsa57176;0.000065;0;0;0;0 
D00005;hsa7372;0.000065;0;0;0;0 
D00007;hsa32;0.000110;0;0;0;0 
D00007;hsa5091;0.000106;0;0;0;0 
D00007;hsa56922;0.000105;0;0;0;0 
D00007;hsa3141;0.000105;0;0;0;0 
D00007;hsa686;0.000105;0;0;0;0 
D00007;hsa64087;0.000105;0;0;0;0 
D00007;hsa1806;0.000096;0;0;0;0 
D00007;hsa5095;0.000092;0;0;0;0 
D00007;hsa5096;0.000092;0;0;0;0 
D00007;hsa4200;0.000064;0;0;0;0 
D00014;hsa4200;0.000062;0;0;0;0 
D00014;hsa2746;0.000061;0;0;0;0 
D00014;hsa3615;0.000059;0;0;0;0 
D00014;hsa55811;0.000059;0;0;0;0 
D00014;hsa3295;0.000059;0;0;0;0 
D00014;hsa4190;0.000059;0;0;0;0 
D00014;hsa64802;0.000059;0;0;0;0 
D00014;hsa112;0.000059;0;0;0;0 
D00014;hsa2597;0.000058;0;0;0;0 
D00014;hsa1725;0.000058;0;0;0;0 
D00018;hsa3156;0.000009;0;0;0;0 
D00018;hsa1636;0.000009;0;0;0;0 
D00018;hsa2595;0.000007;0;0;0;0 
D00018;hsa2548;0.000007;0;0;0;0 
D00018;hsa8972;0.000007;0;0;0;0 
D00018;hsa7153;0.000007;0;0;0;0 
D00018;hsa7155;0.000007;0;0;0;0 
D00018;hsa4128;0.000007;0;0;0;0 
D00018;hsa30;0.000007;0;0;0;0 
D00018;hsa4129;0.000007;0;0;0;0 
D00021;hsa18;0.000074;0;0;0;0 
D00021;hsa4942;0.000074;0;0;0;0 
D00021;hsa84706;0.000072;0;0;0;0 
D00021;hsa51;0.000072;0;0;0;0 
D00021;hsa51166;0.000072;0;0;0;0 
D00021;hsa2806;0.000072;0;0;0;0 
D00021;hsa2673;0.000072;0;0;0;0 
D00021;hsa9945;0.000072;0;0;0;0 
D00021;hsa64850;0.000072;0;0;0;0 
D00021;hsa64902;0.000072;0;0;0;0 
D00027;hsa32;0.000102;0;0;0;0 
D00027;hsa5091;0.000098;0;0;0;0 
D00027;hsa56922;0.000098;0;0;0;0 
D00027;hsa3141;0.000097;0;0;0;0 
D00027;hsa686;0.000097;0;0;0;0 
D00027;hsa64087;0.000097;0;0;0;0 
D00027;hsa7372;0.000089;0;0;0;0 
D00027;hsa7084;0.000089;0;0;0;0 
D00027;hsa151531;0.000089;0;0;0;0 
D00027;hsa7083;0.000089;0;0;0;0 
D00029;hsa10295;0.000254;0;0;0;0 
D00029;hsa586;0.000225;0;0;0;0 
D00029;hsa6897;0.000208;0;0;0;0 
D00029;hsa57176;0.000153;0;0;0;0 
D00029;hsa4329;0.000151;0;0;0;0 
