drug;hits;possible_hits;ndcg;recall;total_known_targets
D00049;0;1;0.000000;0.000000;1 
D00059;3;3;0.913402;1.000000;3 
D00079;3;3;0.871079;1.000000;3 
D00094;0;0;nan;nan;0 
D00095;6;6;1.000000;1.000000;6 
D00106;0;1;0.000000;0.000000;1 
D00110;0;2;0.000000;0.000000;2 
D00113;0;0;nan;nan;0 
D00136;6;10;0.576669;0.352941;17 
D00139;0;0;nan;nan;0 
D00180;0;0;nan;nan;0 
D00225;0;0;nan;nan;0 
D00227;0;0;nan;nan;0 
D00232;2;2;1.000000;1.000000;2 
D00234;0;0;nan;nan;0 
D00235;1;1;1.000000;1.000000;1 
D00241;0;0;nan;nan;0 
D00255;1;1;1.000000;1.000000;1 
D00270;10;10;1.000000;0.588235;17 
D00274;1;1;0.386853;1.000000;1 
D00281;2;10;0.212226;0.181818;11 
D00283;5;5;1.000000;1.000000;5 
D00295;0;0;nan;nan;0 
D00300;1;1;0.356207;1.000000;1 
D00301;0;0;nan;nan;0 
D00306;0;0;nan;nan;0 
D00318;0;0;nan;nan;0 
D00332;0;0;nan;nan;0 
D00336;0;0;nan;nan;0 
D00356;0;0;nan;nan;0 
D00364;0;0;nan;nan;0 
D00371;0;2;0.000000;0.000000;2 
D00380;0;0;nan;nan;0 
D00394;0;10;0.000000;0.000000;20 
D00397;2;3;0.765361;0.666667;3 
D00400;0;0;nan;nan;0 
D00410;0;0;nan;nan;0 
D00411;0;0;nan;nan;0 
D00415;2;2;0.877215;1.000000;2 
D00419;0;0;nan;nan;0 
D00422;0;0;nan;nan;0 
D00426;6;10;0.711618;0.428571;14 
D00432;0;0;nan;nan;0 
D00437;2;2;0.388958;1.000000;2 
D00440;0;0;nan;nan;0 
D00442;2;2;1.000000;1.000000;2 
D00443;0;0;nan;nan;0 
D00451;0;0;nan;nan;0 
D00454;8;10;0.835780;0.800000;10 
D00465;1;1;1.000000;1.000000;1 
D00480;8;10;0.855348;0.800000;10 
D00483;3;10;0.206416;0.272727;11 
D00493;0;0;nan;nan;0 
D00494;0;0;nan;nan;0 
D00498;1;1;1.000000;1.000000;1 
D00499;0;0;nan;nan;0 
D00503;0;0;nan;nan;0 
D00509;9;10;0.933746;0.428571;21 
D00513;0;0;nan;nan;0 
D00514;2;2;1.000000;1.000000;2 
D00520;2;2;1.000000;1.000000;2 
D00521;0;0;nan;nan;0 
D00522;0;0;nan;nan;0 
D00523;0;0;nan;nan;0 
D00524;3;3;1.000000;1.000000;3 
D00525;4;4;1.000000;1.000000;4 
D00528;0;5;0.000000;0.000000;5 
D00540;1;1;1.000000;1.000000;1 
D00542;0;1;0.000000;0.000000;1 
D00559;7;10;0.777872;0.538462;13 
D00560;1;3;0.135652;0.333333;3 
D00563;10;10;1.000000;0.625000;16 
D00574;0;0;nan;nan;0 
D00598;0;0;nan;nan;0 
D00601;0;0;nan;nan;0 
D00604;4;10;0.503607;0.307692;13 
D00606;0;0;nan;nan;0 
D00607;0;0;nan;nan;0 
D00609;3;4;0.753698;0.750000;4 
D00613;3;3;1.000000;1.000000;3 
D00627;0;0;nan;nan;0 
D00632;1;1;1.000000;1.000000;1 
D00635;0;0;nan;nan;0 
D00645;0;0;nan;nan;0 
D00646;3;3;1.000000;1.000000;3 
D00665;0;0;nan;nan;0 
D00666;0;0;nan;nan;0 
D00673;0;0;nan;nan;0 
D00674;4;4;0.982892;1.000000;4 
D00675;1;1;1.000000;1.000000;1 
D00676;8;8;1.000000;1.000000;8 
D00682;1;1;0.430677;1.000000;1 
D00683;2;2;1.000000;1.000000;2 
D00684;0;0;nan;nan;0 
D00687;0;0;nan;nan;0 
D00688;7;7;1.000000;1.000000;7 
D00715;4;4;1.000000;1.000000;4 
D00726;1;1;0.630930;1.000000;1 
D00760;0;0;nan;nan;0 
D00765;0;0;nan;nan;0 
D00769;0;0;nan;nan;0 
D00775;0;0;nan;nan;0 
D00779;3;3;1.000000;1.000000;3 
D00780;6;10;0.708441;0.352941;17 
D00790;6;10;0.661831;0.600000;10 
D00837;1;1;1.000000;1.000000;1 
D00838;1;1;1.000000;1.000000;1 
D00845;2;2;1.000000;1.000000;2 
D00954;0;0;nan;nan;0 
D00965;0;0;nan;nan;0 
D00987;6;10;0.708441;0.315789;19 
D00996;0;0;nan;nan;0 
D01020;0;0;nan;nan;0 
D01022;0;0;nan;nan;0 
D01024;0;0;nan;nan;0 
D01051;1;1;0.386853;1.000000;1 
D01071;0;0;nan;nan;0 
D01103;4;4;1.000000;1.000000;4 
D01118;4;4;1.000000;1.000000;4 
D01126;0;0;nan;nan;0 
D01164;7;10;0.772160;0.368421;19 
D01227;0;0;nan;nan;0 
D01236;0;0;nan;nan;0 
D01242;8;10;0.855348;0.800000;10 
D01269;4;4;1.000000;1.000000;4 
D01295;4;5;0.560191;0.800000;5 
D01297;0;0;nan;nan;0 
D01324;0;0;nan;nan;0 
D01332;0;0;nan;nan;0 
D01346;0;0;nan;nan;0 
