drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00049;hsa185;0.000000;0;0;0;0 
D00049;hsa5724;0.000000;0;0;0;0 
D00049;hsa1234;0.000000;0;0;0;0 
D00049;hsa6010;0.000000;0;0;0;0 
D00049;hsa6915;0.000000;0;0;0;0 
D00049;hsa2550;0.000000;0;0;0;0 
D00049;hsa9283;0.000000;0;0;0;0 
D00049;hsa7201;0.000000;0;0;0;0 
D00049;hsa9052;0.000000;0;0;0;0 
D00049;hsa3269;0.000000;0;0;0;0 
D00059;hsa1814;0.000000;1;1;1;0 
D00059;hsa1816;0.000000;1;1;1;0 
D00059;hsa3356;0.000000;0;0;0;0 
D00059;hsa3269;0.000000;0;0;0;0 
D00059;hsa3358;0.000000;0;0;0;0 
D00059;hsa1128;0.000000;0;0;0;0 
D00059;hsa1129;0.000000;0;0;0;0 
D00059;hsa1815;0.000000;1;1;1;0 
D00059;hsa148;0.000000;0;0;0;0 
D00059;hsa150;0.000000;0;0;0;0 
D00079;hsa5731;0.000000;1;0;1;0 
D00079;hsa5737;0.000000;0;0;0;0 
D00079;hsa5732;0.000000;1;1;1;0 
D00079;hsa6010;0.000000;0;0;0;0 
D00079;hsa6915;0.000000;0;0;0;0 
D00079;hsa5733;0.000000;1;0;1;0 
D00079;hsa9052;0.000000;0;0;0;0 
D00079;hsa154;0.000000;0;0;0;0 
D00079;hsa185;0.000000;0;0;0;0 
D00079;hsa153;0.000000;0;0;0;0 
D00094;hsa222545;0.000000;0;0;0;0 
D00094;hsa2550;0.000000;0;0;0;0 
D00094;hsa185;0.000000;0;0;0;0 
D00094;hsa1268;0.000000;0;0;0;0 
D00094;hsa338442;0.000000;0;0;0;0 
D00094;hsa6010;0.000000;0;0;0;0 
D00094;hsa7201;0.000000;0;0;0;0 
D00094;hsa6915;0.000000;0;0;0;0 
D00094;hsa1234;0.000000;0;0;0;0 
D00094;hsa9283;0.000000;0;0;0;0 
D00095;hsa155;0.000000;1;1;1;0 
D00095;hsa147;0.000000;1;1;1;0 
D00095;hsa146;0.000000;1;1;1;0 
D00095;hsa151;0.000000;1;1;1;0 
D00095;hsa150;0.000000;1;1;1;0 
D00095;hsa152;0.000000;1;1;1;0 
D00095;hsa3356;0.000000;0;0;0;0 
D00095;hsa3269;0.000000;0;0;0;0 
D00095;hsa3358;0.000000;0;0;0;0 
D00095;hsa3362;0.000000;0;0;0;0 
D00106;hsa136;0.000000;0;0;0;0 
D00106;hsa9934;0.000000;0;0;0;0 
D00106;hsa5032;0.000000;0;0;0;0 
D00106;hsa5029;0.000000;0;0;0;0 
D00106;hsa10161;0.000000;0;0;0;0 
D00106;hsa5030;0.000000;0;0;0;0 
D00106;hsa2846;0.000000;0;0;0;0 
D00106;hsa5031;0.000000;0;0;0;0 
