drug;hits;possible_hits;ndcg;recall;total_known_targets
D00035;0;0;nan;nan;0 
D00110;6;7;0.908375;0.857143;7 
D00136;0;10;0.000000;0.000000;10 
D00195;0;0;nan;nan;0 
D00219;1;1;0.630930;1.000000;1 
D00225;0;0;nan;nan;0 
D00227;0;0;nan;nan;0 
D00228;1;10;0.220092;0.062500;16 
D00234;0;0;nan;nan;0 
D00252;4;4;1.000000;1.000000;4 
D00274;0;1;0.000000;0.000000;1 
D00283;0;0;nan;nan;0 
D00293;0;0;nan;nan;0 
D00294;0;1;0.000000;0.000000;1 
D00303;4;6;0.775148;0.666667;6 
D00319;9;10;0.861138;0.391304;23 
D00326;0;1;0.000000;0.000000;1 
D00329;1;1;0.630930;1.000000;1 
D00331;0;0;nan;nan;0 
D00332;0;10;0.000000;0.000000;21 
D00335;1;1;1.000000;1.000000;1 
D00336;1;4;0.151020;0.250000;4 
D00338;9;10;0.921602;0.600000;15 
D00340;0;0;nan;nan;0 
D00345;0;0;nan;nan;0 
D00349;1;1;0.333333;1.000000;1 
D00351;0;0;nan;nan;0 
D00354;5;10;0.507539;0.135135;37 
D00358;6;9;0.492929;0.666667;9 
D00364;0;0;nan;nan;0 
D00367;1;1;1.000000;1.000000;1 
D00373;0;1;0.000000;0.000000;1 
D00379;1;1;1.000000;1.000000;1 
D00380;1;1;1.000000;1.000000;1 
D00392;0;0;nan;nan;0 
D00394;1;2;0.613147;0.500000;2 
D00418;9;10;0.889954;0.125000;72 
D00437;0;1;0.000000;0.000000;1 
D00438;3;4;0.633352;0.750000;4 
D00451;0;0;nan;nan;0 
D00456;4;4;1.000000;1.000000;4 
D00464;10;10;1.000000;0.666667;15 
D00474;9;10;0.921602;0.529412;17 
D00477;5;10;0.507539;0.500000;10 
D00480;0;0;nan;nan;0 
D00495;0;0;nan;nan;0 
D00499;1;10;0.138862;0.100000;10 
D00504;0;0;nan;nan;0 
D00512;4;4;1.000000;1.000000;4 
D00513;0;0;nan;nan;0 
D00519;0;0;nan;nan;0 
D00521;0;0;nan;nan;0 
D00524;0;10;0.000000;0.000000;27 
D00528;7;10;0.574792;0.194444;36 
D00530;0;0;nan;nan;0 
D00533;6;6;1.000000;1.000000;6 
