drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00035;hsa6530;0.000000;0;0;0;0 
D00035;hsa6532;0.000000;0;0;0;0 
D00035;hsa6531;0.000000;0;0;0;0 
D00035;hsa6529;0.000000;0;0;0;0 
D00035;hsa3758;0.000000;0;0;0;0 
D00035;hsa1135;0.000000;0;0;0;0 
D00035;hsa3359;0.000000;0;0;0;0 
D00035;hsa3767;0.000000;0;0;0;0 
D00035;hsa2554;0.000000;0;0;0;0 
D00035;hsa6331;0.000000;0;0;0;0 
D00110;hsa6329;0.000000;1;1;0;0 
D00110;hsa6328;0.000000;1;1;0;0 
D00110;hsa6323;0.000000;1;1;0;0 
D00110;hsa6335;0.000000;1;1;0;0 
D00110;hsa6326;0.000000;1;1;0;0 
D00110;hsa6334;0.000000;1;1;0;0 
D00110;hsa8645;0.000000;0;0;0;0 
D00110;hsa6332;0.000000;0;0;0;0 
D00110;hsa55800;0.000000;0;0;0;0 
D00110;hsa6330;0.000000;0;0;0;0 
D00136;hsa116443;0.000000;0;0;0;0 
D00136;hsa3763;0.000000;0;0;0;0 
D00136;hsa2554;0.000000;0;0;0;0 
D00136;hsa2557;0.000000;0;0;0;0 
D00136;hsa2559;0.000000;0;0;0;0 
D00136;hsa2556;0.000000;0;0;0;0 
D00136;hsa2555;0.000000;0;0;0;0 
D00136;hsa2558;0.000000;0;0;0;0 
D00136;hsa3782;0.000000;0;0;0;0 
D00136;hsa6331;0.000000;0;0;0;0 
D00195;hsa1141;0.000000;0;0;0;0 
D00195;hsa1145;0.000000;0;0;0;0 
D00195;hsa3359;0.000000;0;0;0;0 
D00195;hsa1144;0.000000;0;0;0;0 
D00195;hsa1140;0.000000;0;0;0;0 
D00195;hsa2555;0.000000;0;0;0;0 
D00195;hsa2559;0.000000;0;0;0;0 
D00195;hsa2557;0.000000;0;0;0;0 
D00195;hsa2556;0.000000;0;0;0;0 
D00195;hsa2558;0.000000;0;0;0;0 
D00219;hsa3767;0.000000;0;0;0;0 
D00219;hsa6833;0.000000;1;1;0;0 
D00219;hsa1080;0.000000;0;0;0;0 
D00219;hsa3778;0.000000;0;0;0;0 
D00219;hsa3757;0.000000;0;0;0;0 
D00219;hsa3782;0.000000;0;0;0;0 
D00219;hsa3781;0.000000;0;0;0;0 
D00219;hsa3763;0.000000;0;0;0;0 
