drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00040;hsa7421;0.005182;0;0;0;0 
D00040;hsa8856;0.003258;0;0;0;0 
D00040;hsa2099;0.003186;0;0;0;0 
D00040;hsa5241;0.003099;0;0;0;0 
D00040;hsa9971;0.003004;0;0;0;0 
D00040;hsa5468;0.002442;0;0;0;0 
D00040;hsa5465;0.002417;0;0;0;0 
D00040;hsa2908;0.002321;0;0;0;0 
D00040;hsa367;0.002311;0;0;0;0 
D00040;hsa4306;0.001660;0;0;0;0 
D00066;hsa2100;0.030524;0;0;0;0 
D00066;hsa367;0.018252;0;0;0;0 
D00066;hsa2908;0.011975;0;0;0;0 
D00066;hsa4306;0.011710;1;0;1;0 
D00066;hsa2101;0.008276;0;0;0;0 
D00066;hsa2103;0.008259;0;0;0;0 
D00066;hsa2104;0.008254;0;0;0;0 
D00066;hsa7421;0.001185;0;0;0;0 
D00066;hsa8856;0.000931;0;0;0;0 
D00066;hsa9971;0.000843;0;0;0;0 
D00067;hsa2100;0.032202;1;1;0;0 
D00067;hsa5241;0.031445;0;0;0;0 
D00067;hsa367;0.009114;0;0;0;0 
D00067;hsa2101;0.008413;0;0;0;0 
D00067;hsa2103;0.008403;0;0;0;0 
D00067;hsa2104;0.008394;0;0;0;0 
D00067;hsa2908;0.001343;0;0;0;0 
D00067;hsa4306;0.001083;0;0;0;0 
D00067;hsa7421;0.000907;0;0;0;0 
D00067;hsa8856;0.000698;0;0;0;0 
D00075;hsa2908;0.016458;0;0;0;0 
D00075;hsa4306;0.015953;0;0;0;0 
D00075;hsa5241;0.013375;0;0;0;0 
D00075;hsa2099;0.011276;0;0;0;0 
D00075;hsa7421;0.001444;0;0;0;0 
D00075;hsa8856;0.000985;0;0;0;0 
D00075;hsa2100;0.000881;0;0;0;0 
D00075;hsa9971;0.000852;0;0;0;0 
D00075;hsa6095;0.000849;0;0;0;0 
D00075;hsa9970;0.000560;0;0;0;0 
D00088;hsa4306;0.018521;0;0;0;0 
D00088;hsa367;0.017493;0;0;0;0 
D00088;hsa5241;0.015166;0;0;0;0 
D00088;hsa2099;0.003173;0;0;0;0 
D00088;hsa7421;0.001633;0;0;0;0 
D00088;hsa8856;0.001239;0;0;0;0 
D00088;hsa9971;0.001034;0;0;0;0 
D00088;hsa6095;0.001001;0;0;0;0 
D00088;hsa9970;0.000681;0;0;0;0 
D00088;hsa2100;0.000673;0;0;0;0 
D00094;hsa6095;0.003960;0;0;0;0 
D00094;hsa7421;0.003136;0;0;0;0 
D00094;hsa3174;0.002954;0;0;0;0 
D00094;hsa5465;0.002775;0;0;0;0 
D00094;hsa5468;0.002761;0;0;0;0 
D00094;hsa9971;0.002593;0;0;0;0 
D00094;hsa8856;0.002578;0;0;0;0 
D00094;hsa9970;0.002233;0;0;0;0 
D00094;hsa2099;0.000918;0;0;0;0 
D00094;hsa2908;0.000841;0;0;0;0 
D00105;hsa5241;0.031235;0;0;0;0 
D00105;hsa2101;0.017767;0;0;0;0 
D00105;hsa2103;0.017745;0;0;0;0 
D00105;hsa2104;0.017720;0;0;0;0 
D00105;hsa367;0.009135;0;0;0;0 
D00105;hsa2908;0.001406;0;0;0;0 
D00105;hsa7421;0.001209;0;0;0;0 
D00105;hsa4306;0.001143;0;0;0;0 
D00105;hsa8856;0.000937;1;0;1;0 
D00105;hsa9971;0.000905;0;0;0;0 
D00129;hsa8856;0.005137;0;0;0;0 
