drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00002;hsa219;0.187236;0;0;0;0 
D00002;hsa8854;0.178785;0;0;0;0 
D00002;hsa3614;0.139380;0;0;0;0 
D00002;hsa1429;0.114506;0;0;0;0 
D00002;hsa223;0.110689;0;0;0;0 
D00002;hsa10901;0.109964;0;0;0;0 
D00002;hsa64816;0.094507;0;0;0;0 
D00002;hsa51181;0.091529;0;0;0;0 
D00002;hsa501;0.085477;0;0;0;0 
D00002;hsa4329;0.085188;0;0;0;0 
D00005;hsa36;0.364654;0;0;0;0 
D00005;hsa2328;0.218905;0;0;0;0 
D00005;hsa4128;0.152227;1;0;1;0 
D00005;hsa64816;0.089859;0;0;0;0 
D00005;hsa1723;0.071013;0;0;0;0 
D00005;hsa1553;0.061698;0;0;0;0 
D00005;hsa5142;0.060828;0;0;0;0 
D00005;hsa3817;0.059314;0;0;0;0 
D00005;hsa1577;0.057132;0;0;0;0 
D00005;hsa1548;0.054980;0;0;0;0 
D00007;hsa32;0.179920;0;0;0;0 
D00007;hsa5144;0.035644;0;0;0;0 
D00007;hsa4200;0.034882;0;0;0;0 
D00007;hsa43;0.032702;0;0;0;0 
D00007;hsa5091;0.030801;0;0;0;0 
D00007;hsa3817;0.030446;0;0;0;0 
D00007;hsa56922;0.029824;0;0;0;0 
D00007;hsa10;0.028952;0;0;0;0 
D00007;hsa686;0.028332;0;0;0;0 
D00007;hsa2049;0.027301;0;0;0;0 
D00014;hsa1579;0.040709;0;0;0;0 
D00014;hsa284541;0.038073;0;0;0;0 
D00014;hsa1806;0.034662;0;0;0;0 
D00014;hsa7083;0.030832;0;0;0;0 
D00014;hsa1585;0.030043;0;0;0;0 
D00014;hsa1719;0.028811;0;0;0;0 
D00014;hsa4051;0.028671;0;0;0;0 
D00014;hsa7498;0.028202;0;0;0;0 
D00014;hsa4190;0.026808;0;0;0;0 
D00014;hsa8529;0.026712;0;0;0;0 
D00018;hsa2548;0.070511;0;0;0;0 
D00018;hsa8972;0.063842;0;0;0;0 
D00018;hsa2595;0.052058;0;0;0;0 
D00018;hsa4282;0.030069;0;0;0;0 
D00018;hsa444;0.029689;0;0;0;0 
D00018;hsa3615;0.029249;0;0;0;0 
D00018;hsa43;0.027597;0;0;0;0 
D00018;hsa1845;0.027536;0;0;0;0 
D00018;hsa189;0.027040;0;0;0;0 
D00018;hsa7298;0.026321;0;0;0;0 
D00021;hsa84706;0.085640;0;0;0;0 
D00021;hsa51166;0.061821;0;0;0;0 
D00021;hsa3035;0.055595;0;0;0;0 
D00021;hsa29968;0.053274;0;0;0;0 
D00021;hsa2806;0.052889;0;0;0;0 
D00021;hsa3067;0.043691;0;0;0;0 
D00021;hsa9601;0.039163;0;0;0;0 
D00021;hsa51181;0.038361;0;0;0;0 
D00021;hsa2673;0.037041;0;0;0;0 
D00021;hsa6897;0.036125;0;0;0;0 
D00027;hsa32;0.179689;0;0;0;0 
D00027;hsa5144;0.064273;0;0;0;0 
D00027;hsa5091;0.045525;0;0;0;0 
D00027;hsa56922;0.045365;0;0;0;0 
D00027;hsa3817;0.044368;0;0;0;0 
D00027;hsa7153;0.042586;0;0;0;0 
D00027;hsa5095;0.037489;0;0;0;0 
D00027;hsa2049;0.035645;0;0;0;0 
D00027;hsa55902;0.032301;0;0;0;0 
D00027;hsa4128;0.030726;0;0;0;0 
