drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00049;hsa8843;0.052854;1;0;1;0 
D00049;hsa9934;0.049144;0;0;0;0 
D00049;hsa1131;0.044625;0;0;0;0 
D00049;hsa64805;0.040236;0;0;0;0 
D00049;hsa5030;0.030825;0;0;0;0 
D00049;hsa1133;0.030822;0;0;0;0 
D00049;hsa5724;0.030579;0;0;0;0 
D00049;hsa9052;0.028721;0;0;0;0 
D00049;hsa57105;0.028079;0;0;0;0 
D00049;hsa3354;0.027873;0;0;0;0 
D00059;hsa1816;0.118349;1;1;1;0 
D00059;hsa1814;0.105451;1;1;1;0 
D00059;hsa3274;0.076245;0;0;0;0 
D00059;hsa147;0.067324;0;0;0;0 
D00059;hsa154;0.062092;0;0;0;0 
D00059;hsa148;0.060940;0;0;0;0 
D00059;hsa3360;0.056850;0;0;0;0 
D00059;hsa155;0.048041;0;0;0;0 
D00059;hsa146;0.046439;0;0;0;0 
D00059;hsa3362;0.046003;0;0;0;0 
D00079;hsa5729;0.115867;0;0;0;0 
D00079;hsa5732;0.110999;1;1;1;0 
D00079;hsa148;0.045409;0;0;0;0 
D00079;hsa146;0.041087;0;0;0;0 
D00079;hsa6915;0.040571;0;0;0;0 
D00079;hsa7201;0.033553;0;0;0;0 
D00079;hsa5733;0.033170;1;0;1;0 
D00079;hsa6755;0.028939;0;0;0;0 
D00079;hsa9283;0.028428;0;0;0;0 
D00079;hsa5032;0.027553;0;0;0;0 
D00094;hsa2913;0.061145;0;0;0;0 
D00094;hsa2912;0.059658;0;0;0;0 
D00094;hsa222545;0.055549;0;0;0;0 
D00094;hsa554;0.042258;0;0;0;0 
D00094;hsa338442;0.042156;0;0;0;0 
D00094;hsa3361;0.040269;0;0;0;0 
D00094;hsa135;0.039946;0;0;0;0 
D00094;hsa3358;0.039797;0;0;0;0 
D00094;hsa552;0.039324;0;0;0;0 
D00094;hsa1909;0.036047;0;0;0;0 
D00095;hsa155;0.187531;1;1;1;0 
D00095;hsa146;0.167912;1;1;1;0 
D00095;hsa147;0.165222;1;1;1;0 
D00095;hsa3274;0.098255;0;0;0;0 
D00095;hsa3363;0.083683;0;0;0;0 
D00095;hsa3360;0.068445;0;0;0;0 
D00095;hsa1816;0.067404;0;0;0;0 
D00095;hsa1812;0.061537;0;0;0;0 
D00095;hsa3362;0.054583;0;0;0;0 
D00095;hsa135;0.044955;0;0;0;0 
D00106;hsa5733;0.072941;0;0;0;0 
D00106;hsa9934;0.069880;0;0;0;0 
D00106;hsa3363;0.056597;0;0;0;0 
D00106;hsa5724;0.048349;0;0;0;0 
D00106;hsa1816;0.043121;0;0;0;0 
D00106;hsa59340;0.041520;0;0;0;0 
D00106;hsa11255;0.038667;0;0;0;0 
D00106;hsa10161;0.037425;0;0;0;0 
D00106;hsa3360;0.036127;0;0;0;0 
D00106;hsa10800;0.034584;0;0;0;0 
D00110;hsa1816;0.140197;0;0;0;0 
D00110;hsa1813;0.120083;0;0;0;0 
D00110;hsa4988;0.097930;0;0;0;0 
D00110;hsa3360;0.072424;0;0;0;0 
D00110;hsa150;0.071633;0;0;0;0 
D00110;hsa4985;0.070341;0;0;0;0 
D00110;hsa153;0.063456;0;0;0;0 
D00110;hsa152;0.061730;0;0;0;0 
D00110;hsa3274;0.059003;0;0;0;0 
D00110;hsa3350;0.057477;0;0;0;0 
D00113;hsa3269;0.202241;0;0;0;0 
D00113;hsa11255;0.137389;0;0;0;0 
D00113;hsa150;0.090297;0;0;0;0 
D00113;hsa151;0.071585;0;0;0;0 
D00113;hsa152;0.068449;0;0;0;0 
D00113;hsa59340;0.061379;0;0;0;0 
D00113;hsa1241;0.061111;0;0;0;0 
D00113;hsa3350;0.058892;0;0;0;0 
D00113;hsa1815;0.050777;0;0;0;0 
D00113;hsa1813;0.045031;0;0;0;0 
D00136;hsa152;0.278534;0;0;0;0 
D00136;hsa1815;0.178537;0;0;0;0 
D00136;hsa11255;0.110721;0;0;0;0 
D00136;hsa153;0.080373;0;0;0;0 
D00136;hsa3350;0.079048;0;0;0;0 
D00136;hsa3352;0.065530;0;0;0;0 
D00136;hsa134;0.060437;0;0;0;0 
D00136;hsa3351;0.058018;0;0;0;0 
D00136;hsa146;0.050353;1;0;0;1 
D00136;hsa1132;0.047068;0;0;0;0 
D00139;hsa151;0.054847;0;0;0;0 
D00139;hsa10161;0.049671;0;0;0;0 
D00139;hsa185;0.048652;0;0;0;0 
D00139;hsa146;0.044525;0;0;0;0 
D00139;hsa150;0.043630;0;0;0;0 
D00139;hsa1816;0.043159;0;0;0;0 
D00139;hsa2846;0.042715;0;0;0;0 
D00139;hsa1234;0.035913;0;0;0;0 
D00139;hsa3269;0.035278;0;0;0;0 
D00139;hsa5032;0.034436;0;0;0;0 
D00180;hsa5729;0.231868;0;0;0;0 
D00180;hsa6915;0.172771;0;0;0;0 
D00180;hsa5733;0.126767;0;0;0;0 
D00180;hsa5737;0.113209;0;0;0;0 
D00180;hsa146;0.060967;0;0;0;0 
D00180;hsa1268;0.055140;0;0;0;0 
