drug;hits;possible_hits;ndcg;recall;total_known_targets
D00035;0;0;nan;nan;0 
D00110;6;7;0.634442;0.857143;7 
D00136;1;10;0.094788;0.100000;10 
D00195;0;0;nan;nan;0 
D00219;0;1;0.000000;0.000000;1 
D00225;0;0;nan;nan;0 
D00227;0;0;nan;nan;0 
D00228;1;10;0.110046;0.062500;16 
D00234;0;0;nan;nan;0 
D00252;4;4;0.982892;1.000000;4 
D00274;0;1;0.000000;0.000000;1 
D00283;0;0;nan;nan;0 
D00293;0;0;nan;nan;0 
D00294;1;1;0.630930;1.000000;1 
D00303;4;6;0.761887;0.666667;6 
D00319;10;10;1.000000;0.434783;23 
D00326;0;1;0.000000;0.000000;1 
D00329;1;1;1.000000;1.000000;1 
D00331;0;0;nan;nan;0 
D00332;2;10;0.133052;0.095238;21 
D00335;0;1;0.000000;0.000000;1 
D00336;1;4;0.390380;0.250000;4 
D00338;8;10;0.848238;0.533333;15 
D00340;0;0;nan;nan;0 
D00345;0;0;nan;nan;0 
D00349;1;1;0.500000;1.000000;1 
D00351;0;0;nan;nan;0 
D00354;8;10;0.826333;0.216216;37 
D00358;1;9;0.148297;0.111111;9 
D00364;0;0;nan;nan;0 
D00367;1;1;1.000000;1.000000;1 
D00373;0;1;0.000000;0.000000;1 
D00379;0;1;0.000000;0.000000;1 
D00380;1;1;0.430677;1.000000;1 
D00392;0;0;nan;nan;0 
D00394;1;2;0.613147;0.500000;2 
D00418;8;10;0.855348;0.111111;72 
D00437;0;1;0.000000;0.000000;1 
D00438;4;4;0.982892;1.000000;4 
D00451;0;0;nan;nan;0 
D00456;1;4;0.168128;0.250000;4 
D00464;8;10;0.863015;0.533333;15 
D00474;7;10;0.796761;0.411765;17 
D00477;3;10;0.425208;0.300000;10 
D00480;0;0;nan;nan;0 
D00495;0;0;nan;nan;0 
D00499;1;10;0.138862;0.100000;10 
D00504;0;0;nan;nan;0 
D00512;4;4;0.934937;1.000000;4 
D00513;0;0;nan;nan;0 
D00519;0;0;nan;nan;0 
D00521;0;0;nan;nan;0 
D00524;0;10;0.000000;0.000000;27 
D00528;2;10;0.305235;0.055556;36 
D00530;0;0;nan;nan;0 
D00533;4;6;0.442647;0.666667;6 
D00536;2;10;0.208294;0.064516;31 
D00537;9;10;0.930569;0.290323;31 
D00538;5;5;0.989606;1.000000;5 
D00539;0;0;nan;nan;0 
D00542;3;10;0.297369;0.130435;23 
D00543;4;10;0.407317;0.250000;16 
D00544;4;10;0.352664;0.307692;13 
D00545;5;5;0.748636;1.000000;5 
D00546;5;10;0.502204;0.384615;13 
D00547;0;0;nan;nan;0 
D00548;0;0;nan;nan;0 
D00549;0;10;0.000000;0.000000;10 
D00550;1;1;1.000000;1.000000;1 
D00552;5;5;0.942773;1.000000;5 
D00553;5;6;0.636564;0.833333;6 
D00560;0;1;0.000000;0.000000;1 
D00563;3;7;0.479973;0.428571;7 
D00574;0;0;nan;nan;0 
D00593;1;2;0.306574;0.500000;2 
D00594;0;1;0.000000;0.000000;1 
D00607;0;0;nan;nan;0 
