drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00035;hsa6531;0.165779;0;0;0;0 
D00035;hsa6532;0.154312;0;0;0;0 
D00035;hsa6530;0.148589;0;0;0;0 
D00035;hsa6529;0.119853;0;0;0;0 
D00035;hsa1181;0.056224;0;0;0;0 
D00035;hsa55800;0.050847;0;0;0;0 
D00035;hsa2890;0.049363;0;0;0;0 
D00035;hsa6332;0.048805;0;0;0;0 
D00035;hsa1137;0.047985;0;0;0;0 
D00035;hsa7225;0.045513;0;0;0;0 
D00110;hsa6534;0.294542;0;0;0;0 
D00110;hsa11254;0.285891;0;0;0;0 
D00110;hsa6329;0.185744;1;1;0;0 
D00110;hsa6326;0.143306;1;1;0;0 
D00110;hsa6328;0.133226;1;1;0;0 
D00110;hsa6334;0.130349;1;1;0;0 
D00110;hsa6335;0.128855;1;1;0;0 
D00110;hsa6332;0.123197;0;0;0;0 
D00110;hsa6323;0.117393;1;1;0;0 
D00110;hsa8645;0.087864;0;0;0;0 
D00136;hsa116443;0.167769;0;0;0;0 
D00136;hsa40;0.074647;0;0;0;0 
D00136;hsa41;0.065865;0;0;0;0 
D00136;hsa2895;0.063022;1;0;0;1 
D00136;hsa11280;0.061089;0;0;0;0 
D00136;hsa776;0.056008;0;0;0;0 
D00136;hsa60598;0.054501;0;0;0;0 
D00136;hsa6336;0.046568;0;0;0;0 
D00136;hsa56659;0.046327;0;0;0;0 
D00136;hsa6326;0.042302;0;0;0;0 
D00195;hsa1141;0.311725;0;0;0;0 
D00195;hsa1140;0.196536;0;0;0;0 
D00195;hsa3359;0.195370;0;0;0;0 
D00195;hsa1144;0.184964;0;0;0;0 
D00195;hsa285242;0.159460;0;0;0;0 
D00195;hsa1145;0.140169;0;0;0;0 
D00195;hsa170572;0.114613;0;0;0;0 
D00195;hsa9177;0.109788;0;0;0;0 
D00195;hsa6336;0.062391;0;0;0;0 
D00195;hsa200909;0.054227;0;0;0;0 
D00219;hsa3772;0.114563;0;0;0;0 
D00219;hsa3766;0.094632;0;0;0;0 
D00219;hsa3767;0.077580;0;0;0;0 
D00219;hsa3773;0.049352;0;0;0;0 
D00219;hsa3760;0.046315;0;0;0;0 
D00219;hsa57657;0.045720;0;0;0;0 
D00219;hsa3761;0.045717;0;0;0;0 
D00219;hsa3764;0.042201;0;0;0;0 
D00219;hsa3763;0.040956;0;0;0;0 
D00219;hsa3768;0.040380;0;0;0;0 
D00225;hsa2570;0.397950;0;0;0;0 
D00225;hsa2741;0.313471;0;0;0;0 
D00225;hsa2742;0.299210;0;0;0;0 
D00225;hsa2743;0.241506;0;0;0;0 
D00225;hsa8001;0.236105;0;0;0;0 
D00225;hsa170572;0.092328;0;0;0;0 
D00225;hsa3359;0.083085;0;0;0;0 
D00225;hsa9177;0.082365;0;0;0;0 
D00225;hsa285242;0.059271;0;0;0;0 
D00225;hsa55799;0.049634;0;0;0;0 
D00227;hsa3781;0.098172;0;0;0;0 
D00227;hsa3782;0.092515;0;0;0;0 
D00227;hsa3780;0.077765;0;0;0;0 
D00227;hsa1181;0.077300;0;0;0;0 
D00227;hsa786;0.064355;0;0;0;0 
D00227;hsa10060;0.047274;0;0;0;0 
D00227;hsa6323;0.046616;0;0;0;0 
D00227;hsa6833;0.042381;0;0;0;0 
D00227;hsa1138;0.039402;0;0;0;0 
D00227;hsa55503;0.039117;0;0;0;0 
D00228;hsa11254;0.182179;0;0;0;0 
D00228;hsa6534;0.173802;0;0;0;0 
D00228;hsa6531;0.165624;1;0;1;0 
D00228;hsa6529;0.162905;0;0;0;0 
D00228;hsa116443;0.049138;0;0;0;0 
D00228;hsa116444;0.047172;0;0;0;0 
D00228;hsa8645;0.039513;0;0;0;0 
D00228;hsa3775;0.034809;0;0;0;0 
D00228;hsa3783;0.031507;0;0;0;0 
D00228;hsa8912;0.030523;0;0;0;0 
D00234;hsa90134;0.107932;0;0;0;0 
D00234;hsa81033;0.092326;0;0;0;0 
D00234;hsa3783;0.045892;0;0;0;0 
D00234;hsa782;0.035140;0;0;0;0 
D00234;hsa1080;0.034171;0;0;0;0 
D00234;hsa781;0.033151;0;0;0;0 
D00234;hsa6323;0.031707;0;0;0;0 
D00234;hsa6335;0.031570;0;0;0;0 
D00234;hsa6331;0.031280;0;0;0;0 
D00234;hsa6326;0.031074;0;0;0;0 
D00252;hsa6334;0.330746;1;1;0;0 
D00252;hsa6335;0.309496;1;1;0;0 
D00252;hsa6326;0.282194;1;1;0;0 
D00252;hsa11280;0.279282;0;0;0;0 
D00252;hsa6323;0.230607;1;1;0;0 
D00252;hsa41;0.222119;0;0;0;0 
D00252;hsa40;0.221107;0;0;0;0 
D00252;hsa778;0.093871;0;0;0;0 
D00252;hsa779;0.090598;0;0;0;0 
D00252;hsa776;0.084485;0;0;0;0 
D00274;hsa81033;0.126987;0;0;0;0 
D00274;hsa90134;0.112749;0;0;0;0 
D00274;hsa776;0.037505;0;0;0;0 
D00274;hsa10369;0.036329;0;0;0;0 
D00274;hsa3781;0.034241;0;0;0;0 
D00274;hsa6339;0.032382;0;0;0;0 
