drug;hits;possible_hits;ndcg;recall;total_known_targets
D00040;0;0;nan;nan;0 
D00066;1;1;1.000000;1.000000;1 
D00067;1;1;0.386853;1.000000;1 
D00075;0;0;nan;nan;0 
D00088;0;0;nan;nan;0 
D00094;0;0;nan;nan;0 
D00105;0;1;0.000000;0.000000;1 
D00129;0;0;nan;nan;0 
D00143;0;0;nan;nan;0 
D00163;0;0;nan;nan;0 
D00182;0;0;nan;nan;0 
D00187;0;0;nan;nan;0 
D00188;0;0;nan;nan;0 
D00211;0;0;nan;nan;0 
D00246;0;0;nan;nan;0 
D00279;0;0;nan;nan;0 
D00299;0;0;nan;nan;0 
D00312;1;1;0.500000;1.000000;1 
D00316;0;0;nan;nan;0 
D00327;1;1;1.000000;1.000000;1 
D00348;2;2;0.543771;1.000000;2 
D00443;2;3;0.765361;0.666667;3 
D00462;0;0;nan;nan;0 
D00506;1;1;1.000000;1.000000;1 
D00554;1;2;0.306574;0.500000;2 
D00565;0;0;nan;nan;0 
D00577;0;0;nan;nan;0 
D00585;0;0;nan;nan;0 
D00586;0;1;0.000000;0.000000;1 
D00596;0;0;nan;nan;0 
D00627;0;0;nan;nan;0 
D00690;1;1;1.000000;1.000000;1 
D00730;0;0;nan;nan;0 
D00898;1;1;0.430677;1.000000;1 
D00930;0;0;nan;nan;0 
D00950;1;1;0.630930;1.000000;1 
D00951;1;1;0.386853;1.000000;1 
D00954;0;0;nan;nan;0 
D00956;0;0;nan;nan;0 
D00961;0;0;nan;nan;0 
D00962;1;1;1.000000;1.000000;1 
D00965;0;0;nan;nan;0 
D01115;0;0;nan;nan;0 
D01132;0;0;nan;nan;0 
D01161;1;1;1.000000;1.000000;1 
D01217;0;0;nan;nan;0 
D01294;0;0;nan;nan;0 
D01387;0;0;nan;nan;0 
D01441;0;0;nan;nan;0 
D01689;0;0;nan;nan;0 
D02217;4;7;0.469303;0.571429;7 
D02367;0;0;nan;nan;0 
D04066;0;0;nan;nan;0 
D05341;0;0;nan;nan;0 
