drug;target;score;hit;kegg_hit;drugBank_hit;matador_hit
D00040;hsa4306;0.130211;0;0;0;0 
D00040;hsa6097;0.126676;0;0;0;0 
D00040;hsa6096;0.090750;0;0;0;0 
D00040;hsa367;0.070759;0;0;0;0 
D00040;hsa2100;0.069967;0;0;0;0 
D00040;hsa5241;0.064081;0;0;0;0 
D00040;hsa5916;0.047993;0;0;0;0 
D00040;hsa2908;0.046444;0;0;0;0 
D00040;hsa5915;0.038150;0;0;0;0 
D00040;hsa9971;0.031492;0;0;0;0 
D00066;hsa4306;0.117105;1;0;1;0 
D00066;hsa2908;0.097918;0;0;0;0 
D00066;hsa367;0.094688;0;0;0;0 
D00066;hsa2100;0.094594;0;0;0;0 
D00066;hsa2101;0.040450;0;0;0;0 
D00066;hsa2104;0.038323;0;0;0;0 
D00066;hsa9971;0.036277;0;0;0;0 
D00066;hsa3174;0.035441;0;0;0;0 
D00066;hsa2103;0.034833;0;0;0;0 
D00066;hsa6256;0.034765;0;0;0;0 
D00067;hsa2104;0.080420;0;0;0;0 
D00067;hsa2103;0.079046;0;0;0;0 
D00067;hsa2101;0.070330;0;0;0;0 
D00067;hsa4306;0.067803;0;0;0;0 
D00067;hsa2100;0.067144;1;1;0;0 
D00067;hsa5241;0.064331;0;0;0;0 
D00067;hsa2908;0.058264;0;0;0;0 
D00067;hsa3174;0.058054;0;0;0;0 
D00067;hsa6256;0.048603;0;0;0;0 
D00067;hsa6257;0.046871;0;0;0;0 
D00075;hsa4306;0.125586;0;0;0;0 
D00075;hsa2908;0.102194;0;0;0;0 
D00075;hsa5241;0.101065;0;0;0;0 
D00075;hsa2099;0.041425;0;0;0;0 
D00075;hsa2104;0.041108;0;0;0;0 
D00075;hsa2103;0.039566;0;0;0;0 
D00075;hsa2101;0.035639;0;0;0;0 
D00075;hsa5465;0.027448;0;0;0;0 
D00075;hsa3174;0.020862;0;0;0;0 
D00075;hsa5468;0.020679;0;0;0;0 
D00088;hsa5241;0.094294;0;0;0;0 
D00088;hsa367;0.084698;0;0;0;0 
D00088;hsa4306;0.076803;0;0;0;0 
D00088;hsa9970;0.040844;0;0;0;0 
D00088;hsa5465;0.036042;0;0;0;0 
D00088;hsa5468;0.030712;0;0;0;0 
D00088;hsa9971;0.030590;0;0;0;0 
D00088;hsa2104;0.028568;0;0;0;0 
D00088;hsa2103;0.026871;0;0;0;0 
D00088;hsa2101;0.024604;0;0;0;0 
D00094;hsa6095;0.341921;0;0;0;0 
D00094;hsa3174;0.227259;0;0;0;0 
D00094;hsa9970;0.194903;0;0;0;0 
D00094;hsa5465;0.178353;0;0;0;0 
D00094;hsa9971;0.162012;0;0;0;0 
D00094;hsa8856;0.154039;0;0;0;0 
D00094;hsa5468;0.135533;0;0;0;0 
D00094;hsa7421;0.095045;0;0;0;0 
D00094;hsa4306;0.091185;0;0;0;0 
D00094;hsa2104;0.089944;0;0;0;0 
D00105;hsa2104;0.130094;0;0;0;0 
D00105;hsa2103;0.127861;0;0;0;0 
D00105;hsa2101;0.121875;0;0;0;0 
D00105;hsa5241;0.086546;0;0;0;0 
D00105;hsa3174;0.078103;0;0;0;0 
D00105;hsa4306;0.073634;0;0;0;0 
D00105;hsa367;0.073465;0;0;0;0 
D00105;hsa2908;0.056923;0;0;0;0 
D00105;hsa7421;0.046782;0;0;0;0 
D00105;hsa6256;0.043691;0;0;0;0 
D00129;hsa2100;0.095686;0;0;0;0 
D00129;hsa2908;0.067463;0;0;0;0 
D00129;hsa8856;0.067067;0;0;0;0 
D00129;hsa367;0.061812;0;0;0;0 
D00129;hsa9970;0.056096;0;0;0;0 
D00129;hsa9971;0.055228;0;0;0;0 
D00129;hsa5916;0.052832;0;0;0;0 
D00129;hsa5915;0.048221;0;0;0;0 
D00129;hsa4306;0.042846;0;0;0;0 
D00129;hsa5241;0.039691;0;0;0;0 
D00143;hsa7421;0.110166;0;0;0;0 
D00143;hsa9970;0.097333;0;0;0;0 
D00143;hsa2100;0.060749;0;0;0;0 
D00143;hsa5468;0.060526;0;0;0;0 
D00143;hsa4306;0.058765;0;0;0;0 
D00143;hsa5465;0.047837;0;0;0;0 
D00143;hsa9971;0.041489;0;0;0;0 
D00143;hsa5241;0.039482;0;0;0;0 
D00143;hsa367;0.018256;0;0;0;0 
D00143;hsa5916;0.018086;0;0;0;0 
D00163;hsa4306;0.098761;0;0;0;0 
